row	tu	raw_bytes	payload_wire_bytes	definition_wire_bytes	context_wire_bytes	selector_wire_bytes	wire_bytes	cumulative_raw_bytes	cumulative_charged_bytes	cumulative_charged_ratio	vocabulary_assets	online_promoted_assets	online_published_assets	seed_published_assets	online_selected_tus	candidate_state_bytes	logical_state_bytes
pretrained-seed-online-k2	1	1836	268	0	0	1	269	1836	269	6.825278810408922	4476	0	0	0	0	319	319
pretrained-seed-online-k2	2	3726840	99452	21	0	1	99474	3728676	99743	37.38283388307951	4476	0	1	1	1	132646	132646
pretrained-seed-online-k2	3	3341805	56174	1231	0	1	57406	7070481	157149	44.99221121356165	4482	6	522	522	2	1051010	1051040
pretrained-seed-online-k2	4	3871485	24802	38	0	1	24841	10941966	181990	60.12399582394637	4546	70	528	522	3	1405266	1413488
pretrained-seed-online-k2	5	2894389	23827	374	0	1	24202	13836355	206192	67.10422809808334	4737	261	580	550	4	1811517	1827930
pretrained-seed-online-k2	6	3910918	40507	413	0	1	40921	17747273	247113	71.81845147766407	5367	891	632	556	5	2029921	2054524
pretrained-seed-online-k2	7	3977380	35420	952	0	1	36373	21724653	283486	76.63395370494486	6277	1801	968	617	6	2475173	2507966
pretrained-seed-online-k2	8	4423246	26987	986	0	1	27974	26147899	311460	83.9526712900533	7138	2662	1410	659	7	2723827	2764809
pretrained-seed-online-k2	9	3224620	17267	1049	0	1	18317	29372519	329777	89.067821588528	7726	3250	1974	760	8	3017672	3066842
pretrained-seed-online-k2	10	3022248	13783	901	0	1	14685	32394767	344462	94.04453031103576	8134	3658	2398	880	9	3204203	3261565
pretrained-seed-online-k2	11	3755417	16941	1109	0	1	18051	36150184	362513	99.72106931337635	8781	4305	2789	955	10	3473510	3539063
pretrained-seed-online-k2	12	3423516	10049	643	0	1	10693	39573700	373206	106.0371483845383	9201	4725	3048	992	11	3594332	3668077
pretrained-seed-online-k2	13	3591597	9104	605	0	1	9710	43165297	382916	112.72784892770215	9437	4961	3212	993	12	3724077	3806014
pretrained-seed-online-k2	14	3547473	7602	837	0	1	8440	46712770	391356	119.36132319422725	9821	5345	3515	994	13	3836909	3927038
pretrained-seed-online-k2	15	3893927	7386	761	0	1	8148	50606697	399504	126.67381803436261	10130	5654	3732	996	14	3919241	4017559
pretrained-seed-online-k2	16	3770999	12539	621	0	1	13161	54377696	412665	131.77200877224868	10549	6073	3911	1007	15	4212638	4319147
pretrained-seed-online-k2	17	3608859	12265	766	0	1	13032	57986555	425697	136.21555942372157	10815	6339	4123	1019	16	4446867	4561566
pretrained-seed-online-k2	18	2807366	2020	309	0	1	2330	60793921	428027	142.03291147521068	10989	6513	4187	1021	17	4447025	4569914
pretrained-seed-online-k2	19	3437381	8702	447	0	1	9150	64231302	437177	146.92287563160917	11188	6712	4290	1021	18	4510252	4641332
pretrained-seed-online-k2	20	3531244	7605	662	0	1	8268	67762546	445445	152.12326100865425	11470	6994	4459	1042	19	4681756	4821026
pretrained-seed-online-k2	21	3854245	11665	550	0	1	12216	71616791	457661	156.48436506497168	11893	7417	4593	1045	20	4865698	5013159
pretrained-seed-online-k2	22	4987004	24049	868	0	1	24918	76603795	482579	158.73835164812394	12144	7668	4835	1094	21	5151361	5307013
pretrained-seed-online-k2	23	2098275	2898	173	0	1	3072	78702070	485651	162.05478831506576	12241	7765	4862	1094	22	5145911	5309748
pretrained-seed-online-k2	24	3758634	4058	861	0	1	4920	82460704	490571	168.09127323058232	12368	7892	5063	1095	23	5168978	5341006
pretrained-seed-online-k2	25	4102983	8743	191	0	1	8935	86563687	499506	173.29859300989378	12697	8221	5089	1095	24	5285986	5466203
pretrained-seed-online-k2	26	2824953	2875	376	0	1	3252	89388640	502758	177.79655420699422	12972	8496	5149	1096	25	5420858	5609262
pretrained-seed-online-k2	27	3666182	7581	565	0	1	8147	93054822	510905	182.1372309920631	13136	8660	5280	1096	26	5527878	5724470
pretrained-seed-online-k2	28	3473988	7573	293	0	1	7867	96528810	518772	186.0717424995952	13368	8892	5321	1096	27	5634139	5838923
pretrained-seed-online-k2	29	3563242	3626	531	0	1	4158	100092052	522930	191.4062149809726	13577	9101	5422	1096	28	5677355	5890328
pretrained-seed-online-k2	30	3936287	6148	1008	0	1	7157	104028339	530087	196.24767066538135	13908	9432	5676	1098	29	5879729	6100893
pretrained-seed-online-k2	31	3971101	11115	934	0	1	12050	107999440	542137	199.210605437371	14251	9775	5871	1098	30	6006954	6236309
pretrained-seed-online-k2	32	3633439	3875	419	0	1	4295	111632879	546432	204.29418299074726	14398	9922	5943	1098	31	6087365	6324911
pretrained-seed-online-k2	33	1694908	3284	331	0	1	3616	113327787	550048	206.03254079643958	14611	10135	6010	1112	32	6140649	6386384
pretrained-seed-online-k2	34	3149329	2624	913	0	1	3538	116477116	553586	210.40473566889335	14795	10319	6241	1126	33	6172109	6426036
pretrained-seed-online-k2	35	2886351	2161	479	0	1	2641	119363467	556227	214.5948812265496	14939	10463	6303	1126	34	6170158	6432273
pretrained-seed-online-k2	36	3700722	5578	609	0	1	6188	123064189	562415	218.81384564778676	15229	10753	6453	1206	35	6346671	6616976
pretrained-seed-online-k2	37	3508974	3674	666	0	1	4341	126573163	566756	223.32919810288732	15429	10953	6562	1206	36	6362886	6641383
pretrained-seed-online-k2	38	3500367	4464	477	0	1	4942	130073530	571698	227.52140115935336	15704	11228	6641	1206	37	6452746	6739434
pretrained-seed-online-k2	39	3971550	5051	843	0	1	5895	134045080	577593	232.07531947236203	15812	11336	6789	1206	38	6512389	6807265
pretrained-seed-online-k2	40	2394412	2106	400	0	1	2507	136439492	580100	235.1999517324599	16066	11590	6851	1206	39	6539228	6842294
pretrained-seed-online-k2	41	3541553	4079	593	0	1	4673	139981045	584773	239.37672395955354	16281	11805	6944	1209	40	6706925	7018182
pretrained-seed-online-k2	42	4360803	11024	920	0	1	11945	144341848	596718	241.8929008342299	16535	12059	7108	1249	41	6858810	7178257
pretrained-seed-online-k2	43	4455883	5935	579	0	1	6515	148797731	603233	246.667093809523	16870	12394	7204	1249	42	6964267	7291905
pretrained-seed-online-k2	44	3528182	2635	451	0	1	3087	152325913	606320	251.23022991159783	17068	12592	7272	1249	43	7149379	7485207
pretrained-seed-online-k2	45	4160577	3720	967	0	1	4688	156486490	611008	256.1120148999686	17266	12790	7456	1254	44	7211623	7555641
pretrained-seed-online-k2	46	3447564	2671	931	0	1	3603	159934054	614611	260.2199667757329	17482	13006	7622	1264	45	7267543	7619753
pretrained-seed-online-k2	47	2968010	5781	701	0	1	6483	162902064	621094	262.2824628800149	17654	13178	7742	1269	46	7324544	7684942
pretrained-seed-online-k2	48	3175279	12458	545	0	1	13004	166077343	634098	261.91116041999817	17766	13290	7864	1343	47	7390114	7758704
pretrained-seed-online-k2	49	4578134	13225	427	0	1	13653	170655477	647751	263.4584539429503	17994	13518	7932	1346	48	7536691	7913469
pretrained-seed-online-k2	50	4614383	11213	1067	0	1	12281	175269860	660032	265.54751890817414	18366	13890	8124	1349	49	7729769	8114739
pretrained-seed-online-k2	51	4158627	7221	734	0	1	7956	179428487	667988	268.6103447966131	18674	14198	8272	1364	50	7920222	8313380
pretrained-seed-online-k2	52	3717490	1873	805	0	1	2679	183145977	670667	273.08034687855525	18813	14337	8427	1364	51	7922523	8323872
pretrained-seed-online-k2	53	3579788	1523	383	0	1	1907	186725765	672574	277.62858064688794	18999	14523	8490	1364	52	7922315	8331854
pretrained-seed-online-k2	54	4934852	10655	859	0	1	11515	191660617	684089	280.16912565470284	19247	14771	8613	1364	53	8056278	8474006
pretrained-seed-online-k2	55	2822997	4658	675	0	1	5334	194483614	689423	282.0962079884193	19467	14991	8726	1376	54	8237923	8663839
pretrained-seed-online-k2	56	3679603	3971	401	0	1	4373	198163217	693796	285.621734630929	19799	15323	8795	1386	55	8291738	8725842
pretrained-seed-online-k2	57	4156384	3709	796	0	1	4506	202319601	698302	289.73080558268487	20035	15559	8971	1386	56	8320637	8762933
pretrained-seed-online-k2	58	3892276	3738	1185	0	1	4924	206211877	703226	293.2369920907361	20247	15771	9211	1389	57	8474827	8925311
pretrained-seed-online-k2	59	4122406	3380	1077	0	1	4458	210334283	707684	297.2149758931953	20478	16002	9368	1392	58	8522479	8981154
pretrained-seed-online-k2	60	2236738	796	299	0	1	1096	212571021	708780	299.91114450182005	20594	16118	9399	1392	59	8488719	8955586
pretrained-seed-online-k2	61	2919850	1548	274	0	1	1823	215490871	710603	303.25071945938873	20718	16242	9430	1392	60	8468044	8943103
pretrained-seed-online-k2	62	3337365	1962	635	0	1	2598	218828236	713201	306.82547556719635	20928	16452	9542	1392	61	8502139	8985384
pretrained-seed-online-k2	63	3393617	6628	998	0	1	7627	222221853	720828	308.28693252759325	21228	16752	9672	1399	62	8594460	9085893
pretrained-seed-online-k2	64	4192631	4231	1056	0	1	5288	226414484	726116	311.8158586231401	21347	16871	9787	1399	63	8661777	9161402
pretrained-seed-online-k2	65	4091388	2102	338	0	1	2441	230505872	728557	316.3868743282955	21518	17042	9829	1399	64	8689037	9196853
pretrained-seed-online-k2	66	4506253	5243	1271	0	1	6515	235012125	735072	319.71306892386053	21689	17213	10015	1407	65	8771299	9287306
pretrained-seed-online-k2	67	3238369	3453	830	0	1	4284	238250494	739356	322.2405634092372	21881	17405	10185	1417	66	8848501	9372700
pretrained-seed-online-k2	68	4715745	5645	658	0	1	6304	242966239	745660	325.840515784674	21885	17409	10290	1426	67	8960646	9484933
pretrained-seed-online-k2	69	3527210	3446	392	0	1	3839	246493449	749499	328.8776222516641	21885	17409	10331	1426	68	9013697	9537984
pretrained-seed-online-k2	70	4179925	3683	425	0	1	4109	250673374	753608	332.63098852453794	21885	17409	10398	1426	69	9072844	9597131
pretrained-seed-online-k2	71	4390269	7691	435	0	1	8127	255063643	761735	334.84563923149125	21885	17409	10459	1430	70	9211515	9735802
pretrained-seed-online-k2	72	3612747	2350	435	0	1	2786	258676390	764521	338.3509282282632	21885	17409	10508	1430	71	9273269	9797556
pretrained-seed-online-k2	73	3544789	2623	42	0	1	2666	262221179	767187	341.79564956131946	21885	17409	10511	1430	72	9339623	9863910
pretrained-seed-online-k2	74	4062778	2547	422	0	1	2970	266283957	770157	345.75282312567435	21885	17409	10582	1447	73	9410117	9934404
pretrained-seed-online-k2	75	3342950	885	156	0	1	1042	269626907	771199	349.6204053687829	21885	17409	10596	1447	74	9428910	9953197
pretrained-seed-online-k2	76	4195677	2498	148	0	1	2647	273822584	773846	353.84635185812164	21885	17409	10609	1447	75	9497883	10022170
