row	tu	raw_bytes	payload_wire_bytes	definition_wire_bytes	context_wire_bytes	selector_wire_bytes	wire_bytes	cumulative_raw_bytes	cumulative_charged_bytes	cumulative_charged_ratio	vocabulary_assets	online_promoted_assets	online_published_assets	seed_published_assets	online_selected_tus	candidate_state_bytes	logical_state_bytes
pretrained-seed-online-k2	1	1111313	37793	0	0	1	37794	1111313	37794	29.40448219294068	4476	0	0	0	0	50721	50721
pretrained-seed-online-k2	2	1104640	10075	1035	0	1	11111	2215953	48905	45.311379204580305	4476	0	413	413	1	339774	339774
pretrained-seed-online-k2	3	1111427	2121	0	0	1	2122	3327380	51027	65.2082230975758	4540	64	413	413	2	299892	308084
pretrained-seed-online-k2	4	1123736	3954	462	0	1	4417	4451116	55444	80.28129283601471	4622	146	483	448	3	261534	277912
pretrained-seed-online-k2	5	1119581	2482	360	0	1	2843	5570697	58287	95.57357558289155	4748	272	525	449	4	222806	247374
pretrained-seed-online-k2	6	1109391	911	29	0	1	941	6680088	59228	112.78597960424123	4942	466	526	449	5	181941	214695
pretrained-seed-online-k2	7	1224270	2569	20	0	1	2590	7904358	61818	127.86499077938464	5190	714	527	450	6	143230	184168
pretrained-seed-online-k2	8	1126667	2801	0	0	1	2802	9031025	64620	139.75588053234293	5623	1147	527	450	7	104169	153292
pretrained-seed-online-k2	9	1369741	6469	39	0	1	6509	10400766	71129	146.22398740316888	6303	1827	531	454	8	77415	133706
pretrained-seed-online-k2	10	1168350	1736	76	0	1	1813	11569116	72942	158.6070576622522	6305	1829	544	466	9	85425	141726
pretrained-seed-online-k2	11	214310	1186	212	0	1	1399	11783426	74341	158.5050779516014	6325	1849	590	476	10	101025	157426
pretrained-seed-online-k2	12	858997	2798	568	0	1	3367	12642423	77708	162.69139599526432	6393	1917	787	552	11	248880	306357
pretrained-seed-online-k2	13	221150	693	109	0	1	803	12863573	78511	163.84421291284025	6488	2012	802	552	12	279117	337857
pretrained-seed-online-k2	14	919338	2176	845	0	1	3022	13782911	81533	169.04702390443134	6614	2138	1071	662	13	395734	461025
pretrained-seed-online-k2	15	1813167	21364	311	0	1	21676	15596078	103209	151.11160848375627	6847	2371	1133	695	14	480749	552909
pretrained-seed-online-k2	16	1343775	5572	651	0	1	6224	16939853	109433	154.7965695905257	7067	2591	1306	787	15	668931	749279
pretrained-seed-online-k2	17	840989	609	488	0	1	1098	17780842	110531	160.86746704544427	7077	2601	1406	804	16	761833	842659
pretrained-seed-online-k2	18	1361166	5705	636	0	1	6342	19142008	116873	163.78468936366826	7279	2803	1574	860	17	878723	967739
pretrained-seed-online-k2	19	1065261	2352	283	0	1	2636	20207269	119509	169.08575086395166	7399	2923	1631	884	18	935446	1032654
pretrained-seed-online-k2	20	1155706	3720	462	0	1	4183	21362975	123692	172.7110484105682	7603	3127	1757	944	19	985773	1091173
pretrained-seed-online-k2	21	1254613	2438	300	0	1	2739	22617588	126431	178.8927399134706	7858	3382	1798	948	20	1095593	1209184
pretrained-seed-online-k2	22	2156053	14996	781	0	1	15778	24773641	142209	174.20585898220224	8072	3596	2063	1088	21	1249773	1371554
pretrained-seed-online-k2	23	630003	679	199	0	1	879	25403644	143088	177.53860561332885	8240	3764	2100	1089	22	1269263	1398736
pretrained-seed-online-k2	24	1446429	2321	486	0	1	2808	26850073	145896	184.03570351483248	8424	3948	2224	1098	23	1362710	1500375
pretrained-seed-online-k2	25	1543572	1503	231	0	1	1735	28393645	147631	192.32847437191376	8671	4195	2259	1103	24	1450654	1596510
pretrained-seed-online-k2	26	210007	349	105	0	1	455	28603652	148086	193.15567980767932	8710	4234	2269	1104	25	1463677	1610668
pretrained-seed-online-k2	27	1341834	3829	505	0	1	4335	29945486	152421	196.46561825470243	8870	4394	2336	1111	26	1559191	1714370
pretrained-seed-online-k2	28	11192	171	0	0	1	172	29956678	152593	196.317511288198	8890	4414	2336	1111	27	1553676	1709971
pretrained-seed-online-k2	29	746326	800	267	0	1	1068	30703004	153661	199.80999733178882	8998	4522	2382	1113	28	1518256	1682739
pretrained-seed-online-k2	30	802893	826	283	0	1	1110	31505897	154771	203.564601895704	9156	4680	2426	1115	29	1591768	1761785
pretrained-seed-online-k2	31	102214	323	98	0	1	422	31608111	155193	203.66969515377627	9171	4695	2435	1115	30	1597619	1768015
pretrained-seed-online-k2	32	1150341	1231	258	0	1	1490	32758452	156683	209.07470497756617	9345	4869	2478	1124	31	1560563	1739149
pretrained-seed-online-k2	33	1697061	8522	659	0	1	9182	34455513	165865	207.73227021975703	9568	5092	2582	1177	32	1740798	1927575
pretrained-seed-online-k2	34	811031	655	206	0	1	862	35266544	166727	211.52269278521175	9718	5242	2605	1179	33	1777557	1971220
pretrained-seed-online-k2	35	846319	692	271	0	1	964	36112863	167691	215.3536146841512	9790	5314	2647	1180	34	1785750	1983269
pretrained-seed-online-k2	36	851146	507	308	0	1	816	36964009	168507	219.3618603381462	9929	5453	2699	1184	35	1787847	1993557
pretrained-seed-online-k2	37	724853	283	428	0	1	712	37688862	169219	222.72240114880717	10044	5568	2735	1184	36	1786637	2000526
