row	tu	raw_bytes	payload_wire_bytes	definition_wire_bytes	context_wire_bytes	selector_wire_bytes	wire_bytes	cumulative_raw_bytes	cumulative_charged_bytes	cumulative_charged_ratio	vocabulary_assets	online_promoted_assets	online_published_assets	seed_published_assets	online_selected_tus	candidate_state_bytes	logical_state_bytes
empty-frozen	1	1111313	37793	0	0	0	37793	1111313	37793	29.405260233376552	0	0	0	0	0	0	0
empty-frozen	2	1104640	32412	0	0	0	32412	2215953	70205	31.564033900719323	0	0	0	0	0	0	0
empty-frozen	3	1111427	1062	0	0	0	1062	3327380	71267	46.688930360475396	0	0	0	0	0	0	0
empty-frozen	4	1123736	2164	0	0	0	2164	4451116	73431	60.61630646457218	0	0	0	0	0	0	0
empty-frozen	5	1119581	2027	0	0	0	2027	5570697	75458	73.82513451191392	0	0	0	0	0	0	0
empty-frozen	6	1109391	704	0	0	0	704	6680088	76162	87.70893621491032	0	0	0	0	0	0	0
empty-frozen	7	1224270	2475	0	0	0	2475	7904358	78637	100.51703396619912	0	0	0	0	0	0	0
empty-frozen	8	1126667	2684	0	0	0	2684	9031025	81321	111.05403278365982	0	0	0	0	0	0	0
empty-frozen	9	1369741	6520	0	0	0	6520	10400766	87841	118.40445805489463	0	0	0	0	0	0	0
empty-frozen	10	1168350	2316	0	0	0	2316	11569116	90157	128.32188293754228	0	0	0	0	0	0	0
empty-frozen	11	214310	4605	0	0	0	4605	11783426	94762	124.34758658534011	0	0	0	0	0	0	0
empty-frozen	12	858997	22929	0	0	0	22929	12642423	117691	107.42047395297857	0	0	0	0	0	0	0
empty-frozen	13	221150	5097	0	0	0	5097	12863573	122788	104.76246050102615	0	0	0	0	0	0	0
empty-frozen	14	919338	23449	0	0	0	23449	13782911	146237	94.25050431833257	0	0	0	0	0	0	0
empty-frozen	15	1813167	41165	0	0	0	41165	15596078	187402	83.22258033532192	0	0	0	0	0	0	0
empty-frozen	16	1343775	35663	0	0	0	35663	16939853	223065	75.94133100217425	0	0	0	0	0	0	0
empty-frozen	17	840989	27212	0	0	0	27212	17780842	250277	71.04465052721585	0	0	0	0	0	0	0
empty-frozen	18	1361166	35499	0	0	0	35499	19142008	285776	66.98255976709031	0	0	0	0	0	0	0
empty-frozen	19	1065261	26182	0	0	0	26182	20207269	311958	64.77560761384545	0	0	0	0	0	0	0
empty-frozen	20	1155706	32134	0	0	0	32134	21362975	344092	62.08506736570452	0	0	0	0	0	0	0
empty-frozen	21	1254613	33918	0	0	0	33918	22617588	378010	59.83330599719584	0	0	0	0	0	0	0
empty-frozen	22	2156053	51322	0	0	0	51322	24773641	429332	57.70275917005954	0	0	0	0	0	0	0
empty-frozen	23	630003	17644	0	0	0	17644	25403644	446976	56.83446985967927	0	0	0	0	0	0	0
empty-frozen	24	1446429	34447	0	0	0	34447	26850073	481423	55.77231042139657	0	0	0	0	0	0	0
empty-frozen	25	1543572	36828	0	0	0	36828	28393645	518251	54.78743890508653	0	0	0	0	0	0	0
empty-frozen	26	210007	4471	0	0	0	4471	28603652	522722	54.720581877173714	0	0	0	0	0	0	0
empty-frozen	27	1341834	35797	0	0	0	35797	29945486	558519	53.61587698896546	0	0	0	0	0	0	0
empty-frozen	28	11192	151	0	0	0	151	29956678	558670	53.62141872661858	0	0	0	0	0	0	0
empty-frozen	29	746326	2833	0	0	0	2833	30703004	561503	54.68003554745032	0	0	0	0	0	0	0
empty-frozen	30	802893	25713	0	0	0	25713	31505897	587216	53.65299480940574	0	0	0	0	0	0	0
empty-frozen	31	102214	1810	0	0	0	1810	31608111	589026	53.661656701062434	0	0	0	0	0	0	0
empty-frozen	32	1150341	1669	0	0	0	1669	32758452	590695	55.45747297674773	0	0	0	0	0	0	0
empty-frozen	33	1697061	42146	0	0	0	42146	34455513	632841	54.44576599809431	0	0	0	0	0	0	0
empty-frozen	34	811031	26265	0	0	0	26265	35266544	659106	53.50663474463895	0	0	0	0	0	0	0
empty-frozen	35	846319	26229	0	0	0	26229	36112863	685335	52.693738098885945	0	0	0	0	0	0	0
empty-frozen	36	851146	20474	0	0	0	20474	36964009	705809	52.37112164905803	0	0	0	0	0	0	0
empty-frozen	37	724853	20777	0	0	0	20777	37688862	726586	51.87116459717088	0	0	0	0	0	0	0
empty-frozen	38	1144269	31568	0	0	0	31568	38833131	758154	51.22063723201355	0	0	0	0	0	0	0
empty-frozen	39	622239	19282	0	0	0	19282	39455370	777436	50.75063413580025	0	0	0	0	0	0	0
empty-frozen	40	1273377	26417	0	0	0	26417	40728747	803853	50.666909248332715	0	0	0	0	0	0	0
empty-frozen	41	650986	18875	0	0	0	18875	41379733	822728	50.295763605954825	0	0	0	0	0	0	0
empty-frozen	42	354545	7170	0	0	0	7170	41734278	829898	50.288442676087904	0	0	0	0	0	0	0
empty-frozen	43	1149413	33237	0	0	0	33237	42883691	863135	49.68364276735389	0	0	0	0	0	0	0
