corpus	TU	cold_finalratio	s0_amortized_40	byte_exact	z19ldm	secs
corpus8	34	116.8	4225	OK	NA	3
corpus7	50	102.1	3706	OK	NA	3
corpus13	72	148.3	4937	OK	NA	3
corpus14	72	148.1	4995	OK	NA	3
corpus16	84	397.6	13499	OK	NA	7
corpus10	99	208.8	6469	OK	NA	7
corpus15	153	267.3	8382	OK	NA	10
corpus23	297	257.5	8157	OK	NA	20
corpus22	364	417.8	13248	OK	NA	30
corpus11	259	529.0	13525	OK	NA	13
corpus24	621	459.5	13744	OK	NA	49
corpus17	780	125.8	4436	OK	NA	56
corpus3	689	165.5	5778	OK	NA	47
corpus2	622	283.6	9772	OK	NA	68
corpus9	857	750.4	15548	OK	NA	17
corpus4	700	384.9	12110	OK	NA	51
corpus12	650	2131.3	41102	OK	NA	62
corpus	1238	322.5	9910	OK	NA	73
corpus19	1205	537.5	16774	OK	NA	129
corpus5	1506	475.5	13137	OK	NA	83
corpus6	2207	76.6	2801	OK	NA	111
corpus21	1742	835.1	23915	OK	NA	183
corpus25	3798	996.0	30871	OK	NA	474
corpus20	11741	1197.3	30411	OK	NA	951
corpus18	9646	2039.7	64606	OK	NA	1823
