corpus	project	TU	LOC_src	LOC_ii	bytes_src	bytes_ii	z19_src	z19long_src	z19_ii	z19long_ii	snapshot_bytes
corpus	LLVM	1238	17233314	137913644	783835954	3620271340	76433822	74103335	52741803	7608807	7669786
corpus2	RocksDB	622	879340	110485751	32809668	3114320596	4267638	4159458	68639560	6337047	6348317
corpus3	DuckDB	689	1253161	69094918	63983867	1985715205	7333800	7269271	32032224	7167012	7194713
corpus4	abseil+protobuf	700	918167	90359789	34756832	2581008467	3970555	3782763	35565178	4119889	4149654
corpus5	OpenCV	1506	2077209	159014620	77963324	4630994774	9081338	8972186	21754252	6596295	6670767
corpus6	Godot	2207	6288358	175636352	364874847	5932762185	65762475	65161354	107597212	58289521	58467532
corpus7	fmt	50	69231	4931972	2526674	136350082	435868	435733	1960241	739921	742847
corpus8	spdlog	34	32543	3516541	1149610	98384472	198813	198813	680373	472193	474598
corpus9	Catch2	857	74985	36035922	2740336	947252235	249905	249816	8860567	847768	897463
corpus10	nlohmann-json	99	150463	10071362	5816059	293917707	406518	406367	4106705	812814	816815
corpus11	range-v3	259	101916	22769868	3544049	632049016	309363	309032	5267920	766091	777347
corpus12	Eigen	650	384476	108282245	15554674	3532268956	1881223	1877377	4647967	1402131	1412952
corpus13	re2	72	37814	4229003	1123171	110231455	214327	214279	882327	429535	433325
corpus14	LevelDB	72	136341	5410057	4771970	143868249	719832	719661	1416762	554104	557686
corpus15	simdjson	153	398960	16636934	16049094	468377342	647107	572413	3369690	1036075	1044085
corpus16	cereal	84	48681	11297707	1975723	326899429	244689	244555	892187	492465	495266
