corpus	project	TU	LOC_src	LOC_ii	bytes_src	bytes_ii	z19long_src	z19long_ii	z19long_ii_over_src
corpus	LLVM	1238	17233314	137913644	783835954	3620271340	74103335	7608807	0.1027
corpus2	RocksDB	622	879340	110485751	32809668	3114320596	4159458	6337047	1.5235
corpus3	DuckDB	689	1253161	69094918	63983867	1985715205	7269271	7167012	0.9859
corpus4	abseil+protobuf	700	918167	90359789	34756832	2581008467	3782763	4119889	1.0891
corpus5	OpenCV	1506	2077209	159014620	77963324	4630994774	8972186	6596295	0.7352
corpus6	Godot	2207	6288358	175636352	364874847	5932762185	65161354	58289521	0.8945
corpus7	fmt	50	69231	4931972	2526674	136350082	435733	739921	1.6981
corpus8	spdlog	34	32543	3516541	1149610	98384472	198813	472193	2.3751
corpus9	Catch2	857	74985	36035922	2740336	947252235	249816	847768	3.3936
corpus10	nlohmann-json	99	150463	10071362	5816059	293917707	406367	812814	2.0002
corpus11	range-v3	259	101916	22769868	3544049	632049016	309032	766091	2.4790
corpus12	Eigen	650	384476	108282245	15554674	3532268956	1877377	1402131	0.7469
corpus13	re2	72	37814	4229003	1123171	110231455	214279	429535	2.0046
corpus14	LevelDB	72	136341	5410057	4771970	143868249	719661	554104	0.7700
corpus15	simdjson	153	398960	16636934	16049094	468377342	572413	1036075	1.8100
corpus16	cereal	84	48681	11297707	1975723	326899429	244555	492465	2.0137
