corpus	k_projects	line_cov_pctB
llvm	1	4.83
llvm	2	5.06
llvm	3	5.13
llvm	4	5.17
llvm	5	5.18
llvm	6	5.18
llvm	7	5.18
llvm	8	5.19
llvm	9	5.19
llvm	10	5.19
llvm	11	5.19
llvm	12	5.19
llvm	13	5.19
llvm	14	5.19
rocksdb	1	4.19
rocksdb	2	4.77
rocksdb	3	6.63
rocksdb	4	6.73
rocksdb	5	7.44
rocksdb	6	7.45
rocksdb	7	7.46
rocksdb	8	7.47
rocksdb	9	7.47
rocksdb	10	7.47
rocksdb	11	7.73
rocksdb	12	7.73
rocksdb	13	7.73
rocksdb	14	7.73
duckdb	1	3.53
duckdb	2	4.01
duckdb	3	4.12
duckdb	4	4.14
duckdb	5	4.35
duckdb	6	4.35
duckdb	7	4.36
duckdb	8	4.39
duckdb	9	4.39
duckdb	10	4.64
duckdb	11	4.64
duckdb	12	4.65
duckdb	13	4.65
duckdb	14	5.27
abseil-protobuf	1	6.84
abseil-protobuf	2	7.41
abseil-protobuf	3	9.52
abseil-protobuf	4	12.40
abseil-protobuf	5	13.28
abseil-protobuf	6	13.29
abseil-protobuf	7	13.29
abseil-protobuf	8	14.12
abseil-protobuf	9	14.12
abseil-protobuf	10	14.12
abseil-protobuf	11	14.51
abseil-protobuf	12	14.51
abseil-protobuf	13	14.51
abseil-protobuf	14	14.51
opencv	1	3.11
opencv	2	3.66
opencv	3	5.21
opencv	4	6.77
opencv	5	6.80
opencv	6	6.80
opencv	7	6.81
opencv	8	6.83
opencv	9	6.83
opencv	10	6.83
opencv	11	6.83
opencv	12	6.83
opencv	13	6.84
opencv	14	6.84
fmt	1	36.11
fmt	2	38.31
fmt	3	42.52
fmt	4	42.80
fmt	5	48.89
fmt	6	48.90
fmt	7	48.91
fmt	8	48.91
fmt	9	48.91
fmt	10	48.91
fmt	11	48.99
fmt	12	54.31
fmt	13	54.31
fmt	14	54.31
spdlog	1	54.71
spdlog	2	62.38
spdlog	3	62.43
spdlog	4	62.48
spdlog	5	62.52
spdlog	6	62.54
spdlog	7	62.54
spdlog	8	62.55
spdlog	9	71.06
spdlog	10	71.06
spdlog	11	75.40
spdlog	12	75.40
spdlog	13	75.40
spdlog	14	75.40
catch2	1	33.04
catch2	2	38.19
catch2	3	38.28
catch2	4	38.32
catch2	5	38.33
catch2	6	38.34
catch2	7	38.34
catch2	8	38.35
catch2	9	38.35
catch2	10	38.36
catch2	11	38.36
catch2	12	40.77
catch2	13	40.77
catch2	14	40.77
json	1	22.21
json	2	24.29
json	3	28.14
json	4	28.34
json	5	31.53
json	6	36.50
json	7	36.50
json	8	36.51
json	9	36.51
json	10	36.52
json	11	36.52
json	12	36.52
json	13	37.90
json	14	37.90
range-v3	1	33.53
range-v3	2	37.57
range-v3	3	37.72
range-v3	4	37.79
range-v3	5	37.80
range-v3	6	37.80
range-v3	7	37.80
range-v3	8	37.81
range-v3	9	37.82
range-v3	10	37.83
range-v3	11	37.83
range-v3	12	37.83
range-v3	13	37.83
range-v3	14	37.83
eigen	1	25.24
eigen	2	26.99
eigen	3	27.05
eigen	4	27.09
eigen	5	27.12
eigen	6	27.12
eigen	7	27.12
eigen	8	27.12
eigen	9	27.13
eigen	10	27.13
eigen	11	27.13
eigen	12	27.13
eigen	13	27.13
eigen	14	27.13
re2	1	62.61
re2	2	76.54
re2	3	76.72
re2	4	76.74
re2	5	76.76
re2	6	76.77
re2	7	76.77
re2	8	76.77
re2	9	76.77
re2	10	76.77
re2	11	76.77
re2	12	76.77
re2	13	76.77
re2	14	76.77
leveldb	1	51.89
leveldb	2	52.75
leveldb	3	58.31
leveldb	4	58.39
leveldb	5	66.45
leveldb	6	66.46
leveldb	7	66.46
leveldb	8	66.46
leveldb	9	66.58
leveldb	10	66.58
leveldb	11	66.58
leveldb	12	66.58
leveldb	13	66.58
leveldb	14	66.59
simdjson	1	28.49
simdjson	2	33.45
simdjson	3	45.04
simdjson	4	47.66
simdjson	5	51.47
simdjson	6	51.47
simdjson	7	57.38
simdjson	8	57.39
simdjson	9	57.39
simdjson	10	57.39
simdjson	11	57.40
simdjson	12	57.40
simdjson	13	59.87
simdjson	14	59.87
cereal	1	58.92
cereal	2	61.71
cereal	3	61.85
cereal	4	61.96
cereal	5	68.04
cereal	6	73.33
cereal	7	73.33
cereal	8	76.82
cereal	9	76.82
cereal	10	76.83
cereal	11	76.83
cereal	12	76.83
cereal	13	76.83
cereal	14	76.83
