project	corpus	source_dir	fold	adapter
llvm	corpus	llvm-project	0	llvm
rocksdb	corpus2	rocksdb	1	cmake
duckdb	corpus3	duckdb	2	cmake
abseil-protobuf	corpus4	abseil-cpp+protobuf	3	cmake-pair
opencv	corpus5	opencv	4	cmake-codegen
godot	corpus6	godot	0	scons
fmt	corpus7	fmt	1	cmake
spdlog	corpus8	spdlog	2	cmake
catch2	corpus9	catch2	3	cmake
nlohmann-json	corpus10	json	4	cmake
range-v3	corpus11	range-v3	0	cmake
eigen	corpus12	eigen	1	cmake
re2	corpus13	re2	2	cmake
leveldb	corpus14	leveldb	3	cmake
simdjson	corpus15	simdjson	4	cmake
cereal	corpus16	cereal	0	cmake
gcc	corpus17	gcc	1	autotools-build
firefox	corpus18	gecko-dev	2	mach
qt6	corpus19	qtbase	3	cmake-codegen
clickhouse	corpus20	clickhouse	4	cmake-codegen
pytorch	corpus21	pytorch	0	cmake-codegen
folly	corpus22	folly	1	cmake
arrow	corpus23	arrow	2	cmake
bitcoin	corpus24	bitcoin	3	cmake-codegen
v8	corpus25	v8src	4	gn-ninja
