id	name	tus	raw_bytes	manifest_sha256	probe_tus	probe_mode	probe_raw_bytes	probe_wire_bytes	complete_wire_bytes	probe_p29_trajectory	probe_first_half_wire_bpr	probe_last_quarter_wire_bpr	p29_c_proxy_gbps	p29_f_proxy_gbps	loaded_interned_s	p29_source_sha256	p29_binary_sha256	p29_commit	libbsc_commit	prefix_identity	exact	probe_region_control_raw_bytes	probe_literal_raw_bytes	probe_array_control_raw_bytes	probe_array_values_raw_bytes	probe_source_control_raw_bytes	probe_source_files_raw_bytes	probe_blob_raw_bytes	probe_blob_patch_raw_bytes	probe_root_wire_bytes	probe_block_wire_bytes	probe_path_wire_bytes	probe_framing_wire_bytes	probe_region_control_wire_bytes	probe_region_other_wire_bytes	probe_literal_wire_bytes	probe_array_control_wire_bytes	probe_array_values_wire_bytes	probe_source_control_wire_bytes	probe_source_files_wire_bytes	probe_selector_wire_bytes	probe_blob_wire_bytes	probe_blob_patch_wire_bytes	probe_line_other_wire_bytes	probe_association_wire_bytes	probe_missing_request_wire_bytes	probe_blob_fallback_request_wire_bytes	probe_blob_fallback_reply_wire_bytes	probe_missing_other_wire_bytes
corpus	llvm	1238	3620271340	33392b9cdb4a21c8148ece5bc4862463d87cbe3a056bc78a2d904eac66996bdf	112	suffix-blind	404433872	1381054	7275808	0.0771721098587146	0.006414076331835085	0.0004949878033225583	4.029	5.689	3.1	89ed3b299332f90898b0bd86338052d67d686e93797d2e332080f7ed33c7c753	6cb0d9dbbf04f2e90459a49a715e55e06308cc05b382343a460c6dd62e5b526a	56c1744d1ef8c3ee6ce0c785e80b2ea4123bb720	baffa62c70b6ebbecc9af14ce550e965ea247680	True	True	962975	6107220	0	0	0	0	0	0	34519	14658	18764	896	497537	0	789070	0	0	0	0	112	0	0	0	0	25498	0	0	0
corpus2	rocksdb	622	3114320596	83fe864eb8006a7260cd77d54add1d34a6308332c0a3db14c7a84d96e2f26d79	112	suffix-blind	739716080	4160820	8533638	0.6061848613798474	0.007022650273858652	0.004257024282778154	3.107	3.76	2.9	89ed3b299332f90898b0bd86338052d67d686e93797d2e332080f7ed33c7c753	6cb0d9dbbf04f2e90459a49a715e55e06308cc05b382343a460c6dd62e5b526a	56c1744d1ef8c3ee6ce0c785e80b2ea4123bb720	baffa62c70b6ebbecc9af14ce550e965ea247680	True	True	4395258	13752617	86	53	0	0	0	0	727691	18231	17509	896	1844805	0	842912	68	56	0	0	112	0	0	0	0	708540	0	0	0
corpus3	duckdb	689	1985715205	bc40a2938860448eb56bbc1bdd9d2e63333c25f54ecc42189d02d0beaae66492	112	suffix-blind	363349979	1530297	7877084	0.05068702018813878	0.008237084394869086	0.0004175132630141323	1.68	2.708	2.0	89ed3b299332f90898b0bd86338052d67d686e93797d2e332080f7ed33c7c753	6cb0d9dbbf04f2e90459a49a715e55e06308cc05b382343a460c6dd62e5b526a	56c1744d1ef8c3ee6ce0c785e80b2ea4123bb720	baffa62c70b6ebbecc9af14ce550e965ea247680	True	True	867253	4989973	66219	635542	0	0	0	0	23892	8263	20933	760	447459	0	517468	511	491888	0	0	78	0	0	0	0	19045	0	0	0
corpus4	abseil	700	2581008467	5348f60dd573dd36e0aba6e7b9de72bd739bc921fcc6ef5de56f1f98481dfc2d	112	suffix-blind	318073203	1710623	5056453	0.3277325717037028	0.0085979546808577	0.002817829798949383	4.538	5.429	2.3	89ed3b299332f90898b0bd86338052d67d686e93797d2e332080f7ed33c7c753	6cb0d9dbbf04f2e90459a49a715e55e06308cc05b382343a460c6dd62e5b526a	56c1744d1ef8c3ee6ce0c785e80b2ea4123bb720	baffa62c70b6ebbecc9af14ce550e965ea247680	True	True	1822050	5824304	38	48	0	0	0	0	220520	32751	17339	892	810512	0	424036	41	44	0	0	111	0	0	0	0	204377	0	0	0
corpus5	opencv	1506	4630994774	73a378f36fc214e5e8cc2540e64098fab1bdf7127d4af3e1b0dd0eb03b37a637	112	suffix-blind	121562194	662740	6737137	0.31824888451253547	0.00843100627143562	0.0026831583412025768	7.406	7.56	3.7	89ed3b299332f90898b0bd86338052d67d686e93797d2e332080f7ed33c7c753	6cb0d9dbbf04f2e90459a49a715e55e06308cc05b382343a460c6dd62e5b526a	56c1744d1ef8c3ee6ce0c785e80b2ea4123bb720	baffa62c70b6ebbecc9af14ce550e965ea247680	True	True	549680	4100976	388	900	0	0	0	0	19941	9726	15089	896	278908	0	323164	148	274	0	0	112	0	0	0	0	14482	0	0	0
corpus6	godot	2207	5932762185	e01a44c95474e5728138aa4eaf918e67146ce21457b12731806470de8eb0bd15	112	suffix-blind	219324625	1074430	35085071	0.264937873896765	0.008054413290300452	0.002133919132618049	1.005	1.13	6.6	89ed3b299332f90898b0bd86338052d67d686e93797d2e332080f7ed33c7c753	6cb0d9dbbf04f2e90459a49a715e55e06308cc05b382343a460c6dd62e5b526a	56c1744d1ef8c3ee6ce0c785e80b2ea4123bb720	baffa62c70b6ebbecc9af14ce550e965ea247680	True	True	659274	6882301	1660	0	0	0	328092	0	15367	4609	12017	896	367771	0	639920	422	0	0	0	112	19746	0	0	0	13570	0	0	0
corpus7	fmt	50	136350082	70d4565e16d9bd4aed1ec151a092f198662badd7e23dde070fab1ec4d3ce69a6	50	complete-program	136350082	923382	923382	0.06989930021126702	0.011875921786140444	0.0008301186222149572	0.786	0.96	0.2	89ed3b299332f90898b0bd86338052d67d686e93797d2e332080f7ed33c7c753	6cb0d9dbbf04f2e90459a49a715e55e06308cc05b382343a460c6dd62e5b526a	56c1744d1ef8c3ee6ce0c785e80b2ea4123bb720	baffa62c70b6ebbecc9af14ce550e965ea247680	True	True	933600	2861293	269	1255	0	0	0	0	83984	12118	6073	320	479473	0	265386	91	1245	0	0	30	0	0	0	0	74662	0	0	0
corpus8	spdlog	34	98384472	a6a4b0404427fa483a8143f98f830e833699c9bb1b356fceee899d7277bcb959	34	complete-program	98384472	477951	477951	0.04867478291540832	0.009762099614284502	0.00047516807952388936	0.925	1.176	0.2	89ed3b299332f90898b0bd86338052d67d686e93797d2e332080f7ed33c7c753	6cb0d9dbbf04f2e90459a49a715e55e06308cc05b382343a460c6dd62e5b526a	56c1744d1ef8c3ee6ce0c785e80b2ea4123bb720	baffa62c70b6ebbecc9af14ce550e965ea247680	True	True	512231	1426119	269	1255	0	0	0	0	16021	1906	8808	272	284621	0	150042	91	1245	0	0	34	0	0	0	0	14911	0	0	0
corpus9	catch2	857	947252235	ebd0367f21cd340b52dc0d7cbdd3d7d1f3d340de3e0c7d8af8be5a7d23501305	112	suffix-blind	118479871	434406	907327	0.13643000498200825	0.0069483294994770505	0.0009479606282302888	7.095	7.482	0.9	89ed3b299332f90898b0bd86338052d67d686e93797d2e332080f7ed33c7c753	6cb0d9dbbf04f2e90459a49a715e55e06308cc05b382343a460c6dd62e5b526a	56c1744d1ef8c3ee6ce0c785e80b2ea4123bb720	baffa62c70b6ebbecc9af14ce550e965ea247680	True	True	510752	892875	0	0	0	0	0	0	14851	6775	14642	896	284985	0	100038	0	0	0	0	112	0	0	0	0	12107	0	0	0
corpus10	nlohmann-json	99	293917707	2fe6eb460dc1597f021e36e5c7fa845f786b3425e77ff7231ef2f556a8cbaec7	99	complete-program	293917707	1011863	1011863	0.09441007955670491	0.006448925981340355	0.0006088436149536442	1.347	1.692	0.4	89ed3b299332f90898b0bd86338052d67d686e93797d2e332080f7ed33c7c753	6cb0d9dbbf04f2e90459a49a715e55e06308cc05b382343a460c6dd62e5b526a	56c1744d1ef8c3ee6ce0c785e80b2ea4123bb720	baffa62c70b6ebbecc9af14ce550e965ea247680	True	True	1247700	5830508	2175	1464	0	0	0	0	33566	8367	10381	784	631555	0	298546	697	825	0	0	97	0	0	0	0	27045	0	0	0
