id	name	tu_count	raw_bytes
corpus	llvm	1238	3620271340
corpus2	rocksdb	622	3114320596
corpus3	duckdb	689	1985715205
corpus4	abseil	700	2581008467
corpus5	opencv	1506	4630994774
corpus6	godot	2207	5932762185
corpus7	fmt	50	136350082
corpus8	spdlog	34	98384472
corpus9	catch2	857	947252235
corpus10	nlohmann-json	99	293917707
corpus11	range-v3	259	632049016
corpus12	eigen	650	3532268956
corpus13	re2	72	110231455
corpus14	leveldb	72	143868249
corpus15	simdjson	153	468377342
corpus16	cereal	84	326899429
