corpus	kind	tus	raw_MiB	dict_z3_MiB	dict_ratio	toolchain_free_MiB	project_ship_z3_MiB	srccond_ratio	line_cov_pctB	line_cov_pctN	skel_cov_pctB	tok_cov_pctB
llvm	app	1238	3452.56	7.322	471.6	1.737	6.546	527.4	5.19	5.79	21.06	8.69
rocksdb	app	622	2970.05	4.512	658.3	2.549	3.276	906.7	7.73	12.95	37.36	28.96
duckdb	app	689	1893.73	7.875	240.5	1.902	7.042	268.9	5.27	10.36	8.75	22.11
abseil-protobuf	app	700	2461.44	3.204	768.2	2.589	2.356	1044.6	14.51	22.41	37.12	36.25
opencv	app	1506	4416.46	6.353	695.2	2.283	5.529	798.7	6.84	12.96	13.69	16.26
fmt	lib	50	130.03	0.713	182.5	1.689	0.327	398.1	54.31	68.03	71.60	82.70
spdlog	lib	34	93.83	0.513	182.8	1.611	0.168	559.3	75.40	86.29	82.56	93.56
catch2	lib	857	903.37	0.669	1350.4	1.733	0.266	3396.5	40.77	67.23	48.64	86.87
json	lib	99	280.30	0.857	327.0	2.266	0.387	723.5	37.90	68.11	56.60	78.41
range-v3	lib	259	602.77	0.707	852.5	1.699	0.323	1868.2	37.83	54.16	42.95	81.52
eigen	lib	650	3368.63	1.028	3277.7	1.626	0.665	5065.7	27.13	39.61	33.75	55.21
re2	lib	72	105.12	0.457	230.0	1.444	0.154	683.3	76.77	84.93	78.80	87.17
leveldb	lib	72	137.20	0.539	254.5	1.550	0.193	711.9	66.59	74.48	88.63	83.34
simdjson	lib	153	446.68	1.060	421.2	3.021	0.441	1013.9	59.87	68.49	62.06	83.56
cereal	lib	84	311.76	0.502	621.4	1.876	0.130	2396.3	76.83	84.85	83.94	87.13
