corpus	raw_bytes	tus	exact	p26_wire_bytes	wire_bytes	delta_vs_p26	p26_ratio	alpha_ratio	ordinary_candidate_wire	selected_wire	saving_vs_independent	selected_tus	ordinary_tus	c_gbps	f_gbps	log_sha256
abseil	2581008467	700	True	5864879	6114345	249466	440.07872404528723	422.12345999448837	2827789	2811983	15806	9	636	1.192	6.975	0f99677757cd8632d787fb3c7e6c9538ebf767d2f96c3657f6c4e70543d90c17
catch2	947252235	857	True	1006074	1080168	74094	941.5333613630806	876.9489884906792	399168	399081	87	1	237	2.93	10.126	6fe1ac35ae99105c08a639d29ceee7631a24b003cd2163335c55ad059380f8d6
cereal	326899429	84	True	512588	533424	20836	637.7430392439933	612.8322478928582	203511	203511	0	0	45	1.695	7.588	03dce9729135aaac4faba2fb4f7ca7d47bc3fdd248b3018f5fdaa312a54b00ff
duckdb	1985715205	689	True	9590734	9826832	236098	207.04517558301586	202.07073907440363	5380509	5353907	26602	11	547	0.493	4.231	395f4eadea6867860377ab382a34261af4a2da8a8a25370cac204054289ee87a
eigen	3532268956	650	True	1378045	1457074	79029	2563.2464513132736	2424.2207025861417	832255	832255	0	0	641	4.615	13.444	655fb437da1e977c6b35ad5db28dc9296c3d67cc4d9cdfc263ca498b40c9060f
fmt	136350082	50	True	1046398	1064642	18244	130.30422649890386	128.07129720600915	397814	397776	38	1	29	0.454	2.54	0840eb4df8f290512441d6caaa352f25f225b6511beda8ae711ae55097117533
godot	5932762185	2207	True	44731020	46002368	1271348	132.63194501265565	128.96645200960089	15165260	14941918	223342	61	2072	0.423	1.224	f1c7a6195eb4e5095e182f480be43a7d447cb33dc8be8331cf88c3bed71af4a5
leveldb	143868249	72	True	689713	711260	21547	208.59147065518556	202.27237437786462	266801	266801	0	0	67	0.699	3.689	a7303b8765a2abf9b0e1478a657f6db0107b604c1c5a55aae64ab4ea87260593
llvm	3620271340	1238	True	9330294	9817012	486718	388.01256852142063	368.77527907677	7142605	7135213	7392	8	1223	0.764	8.148	271c845dd3e4ae0336f9a7af5101405b9bbb4cb8bf83ab23e23fe6ffc8337595
nlohmann-json	293917707	99	True	1168818	1223193	54375	251.46576028089916	240.28727028359384	514083	512147	1936	4	91	0.642	4.065	915d5aaccc55e3910b39bafb3c1e71b665e8ca6a71b431cb6e1e3ac4c3bc1017
opencv	4630994774	1506	True	8567003	9154197	587194	540.5618247127964	505.8876025936519	6745245	6565844	179401	48	1278	0.921	8.071	a8967b92c639bcf231e401499001550084d2b671945730c1c08a5d0b17f81698
range-v3	632049016	259	True	874465	938562	64097	722.7836631540428	673.4227637598794	450597	449137	1460	6	240	1.716	8.061	a90dbdfb0141b6df7e4b6dad007ee0c8bbc2db443d9dc6c08423d0d0c4be0fa6
re2	110231455	72	True	488243	502801	14558	225.77170589235277	219.23475689189164	210554	210464	90	1	52	0.711	3.675	20452d46b94e90f35903f0dd16cbb4d1896678fee500f4c2c0f7c4ea5fbe2821
rocksdb	3114320596	622	True	9825414	10128108	302694	316.96583940381544	307.4928304477006	3824275	3823711	564	3	588	1.008	5.565	b681b270f2a6e66bf938bbe9acdfea245cb5adbd96e7eb73b015818656244a14
simdjson	468377342	153	True	1408733	1437600	28867	332.4812735983327	325.80505147468	559650	558695	955	1	132	0.997	4.855	d91778c95aa831ab216cf8354f56262727acaf8c47a92ddd14105426c7e52685
spdlog	98384472	34	True	539513	554812	15299	182.3579265003809	177.32938725189794	226909	226909	0	0	33	0.534	3.098	8c9c3e1a1ee67be1cdb7f886ddf33c3c315da26adbf6dc2553ab9d84fb4c434c
