corpus	raw_bytes	target_line_bytes	package_budget_raw	package_lines	package_raw_bytes	package_wire_bytes	hit_lines	hit_bytes	residual_lines	residual_bytes	residual_wire_bytes	literal_tus	front_tus	line_wire_bytes	literal_only_line_wire_bytes	baseline_line_wire_bytes	tu_front_gain	line_gain	raw_over_line_wire	exact
llvm	3620271340	40025224	0	0	0	0	0	0	771055	40025224	9063480	124	1114	9063480	9717852	9063480	1.072198758	1.000000000	399.435022751	OK
llvm	3620271340	40025224	65536	301	65536	5733	301	64935	770754	39960289	9058125	124	1114	9063858	9717852	9063480	1.072198758	0.999958296	399.418364674	OK
llvm	3620271340	40025224	131072	885	131072	14182	885	129793	770170	39895431	9050135	124	1114	9064317	9717852	9063480	1.072198758	0.999907660	399.398138878	OK
llvm	3620271340	40025224	262144	2641	262144	45142	2641	259109	768414	39766115	9027093	124	1114	9072235	9717852	9063480	1.072198758	0.999034968	399.049555043	OK
llvm	3620271340	40025224	524288	6816	524288	100133	6816	517078	764239	39508146	8975024	124	1114	9075157	9717852	9063480	1.072198758	0.998713300	398.921069905	OK
llvm	3620271340	40025224	1048576	18985	1048576	205843	18981	1029036	752074	38996188	8858926	124	1114	9064769	9717852	9063480	1.072198758	0.999857801	399.378223538	OK
llvm	3620271340	40025224	2097152	42535	2097152	429673	38943	1874982	732112	38150242	8653472	124	1114	9083145	9717852	9063480	1.072198758	0.997835001	398.570246319	OK
llvm	3620271340	40025224	4194304	82012	4194304	830723	42374	2004682	728681	38020542	8620095	124	1114	9450818	9717852	9063480	1.072198758	0.959015400	383.064337923	OK
rocksdb	3114320596	44701802	0	0	0	0	0	0	587613	44701802	5030939	34	587	5030939	5823864	5030939	1.157609742	1.000000000	619.033662702	OK
rocksdb	3114320596	44701802	65536	239	65536	5479	211	50569	587402	44651233	5026821	34	587	5032300	5823864	5030939	1.157609742	0.999729547	618.866243268	OK
rocksdb	3114320596	44701802	131072	719	131072	12426	594	101796	587019	44600006	5020904	34	587	5033330	5823864	5030939	1.157609742	0.999524967	618.739601020	OK
rocksdb	3114320596	44701802	262144	2324	262144	40211	2026	215906	585587	44485896	5001782	34	587	5041993	5823864	5030939	1.157609742	0.997807613	617.676501336	OK
rocksdb	3114320596	44701802	524288	6327	524288	95243	5835	461358	581778	44240444	4953217	34	587	5048460	5823864	5030939	1.157609742	0.996529437	616.885267190	OK
rocksdb	3114320596	44701802	1048576	17531	1048576	197985	16592	953586	571021	43748216	4846242	34	587	5044227	5823864	5030939	1.157609742	0.997365701	617.402943206	OK
rocksdb	3114320596	44701802	2097152	42282	2097151	429110	40413	1909743	547200	42792059	4610289	34	587	5039399	5823864	5030939	1.157609742	0.998321228	617.994446560	OK
rocksdb	3114320596	44701802	4194304	78058	4194304	819228	58362	2721750	529251	41980052	4463889	34	587	5283117	5823864	5030939	1.157609742	0.952267194	589.485448836	OK
duckdb	1985715205	54733427	0	0	0	0	0	0	637610	54733427	8929357	40	520	8929357	9535458	8929357	1.067877340	1.000000000	222.380537031	OK
duckdb	1985715205	54733427	65536	301	65536	5733	301	64935	637309	54668492	8923354	40	520	8929087	9535458	8929357	1.067877340	1.000030238	222.387261430	OK
duckdb	1985715205	54733427	131072	885	131072	14182	885	129793	636725	54603634	8914945	40	520	8929127	9535458	8929357	1.067877340	1.000025758	222.386265197	OK
