corpus	tus	raw_bytes	cold_p28_wire_bytes	cold_p29_wire_bytes	cold_saving_bytes	cold_p29_ratio	cold_p29_pipeline_gbps	cold_blob_count	cold_blob_inflated_bytes	cold_blob_wire_bytes	cold_log_sha256	cold_root_wire_bytes	cold_line_def_wire_bytes	cold_region_def_wire_bytes	cold_block_def_wire_bytes	cold_path_def_wire_bytes	cold_missing_wire_bytes	cold_framing_wire_bytes	bit0_p28_wire_bytes	bit0_p29_wire_bytes	bit0_saving_bytes	bit0_p29_ratio	bit0_p29_pipeline_gbps	bit0_blob_count	bit0_blob_inflated_bytes	bit0_blob_wire_bytes	bit0_log_sha256	bit0_root_wire_bytes	bit0_line_def_wire_bytes	bit0_region_def_wire_bytes	bit0_block_def_wire_bytes	bit0_path_def_wire_bytes	bit0_missing_wire_bytes	bit0_framing_wire_bytes	bit1_p28_wire_bytes	bit1_p29_wire_bytes	bit1_saving_bytes	bit1_p29_ratio	bit1_p29_pipeline_gbps	bit1_blob_count	bit1_blob_inflated_bytes	bit1_blob_wire_bytes	bit1_log_sha256	bit1_root_wire_bytes	bit1_line_def_wire_bytes	bit1_region_def_wire_bytes	bit1_block_def_wire_bytes	bit1_path_def_wire_bytes	bit1_missing_wire_bytes	bit1_framing_wire_bytes
llvm	1238	3620271340	9328055	9328055	0	388.10570263575846	4.04	0	0	0	d5ac34067e0596ed952c2e9f684c5dbc93e61a81f82cba49f79441680b1a0e7c	209724	6916932	1800879	99634	141145	149837	9904	4913411	4913411	0	736.814270167914	6.425	0	0	0	4b6f73276e8928b8b27c708538d0a4c837e64cbe4c1199adc4f426cab6c69165	209724	3498307	867080	99634	140452	88310	9904	5420734	5420734	0	667.8562976895748	5.82	0	0	0	621a9bb5533a12b291bbba304a9f4a6838337cfb9d9b92b4d34978ef14a45489	209724	3950234	922457	99634	140474	88307	9904
rocksdb	622	3114320596	9823481	9823481	0	317.0282098575851	3.407	0	0	0	419789188f1d661dc91d1fa9d44c01149556d14a830a8a2de6d064ba1c32f961	1388877	3522620	3443059	62912	58920	1342121	4972	6012706	6012706	0	517.9565732966155	4.966	0	0	0	6514860d07d6404b4d311ff01a7ba5fbf9a04d543e5e5fb632a34847f4a8b0ba	1388877	2023905	1814949	62912	58483	658608	4972	6011416	6011416	0	518.067722480028	3.831	0	0	0	6af528eddf1c4833c0831f2d535ce56d6d57df7d86667ded333adca4f50af21e	1388877	2045987	1791657	62912	58254	658757	4972
duckdb	689	1985715205	9589726	9589726	0	207.06693861743287	2.01	0	0	0	ff1c4d21522817b5408d4a65511a106277a6b994e256fda2878fb6cbd6180d17	504205	6438812	2016440	65350	98779	461144	4996	5906538	5906538	0	336.1893557613614	2.791	0	0	0	8cbbcd56d58a4cc55683fe3fa3fc7696810a0c1f0b922a705db1b42e608b24c1	504205	4018359	979897	65350	96794	236941	4992	4991893	4991893	0	397.7880144866887	4.607	0	0	0	abb8d2cb94c05efa081e7050445faaa970a545b24e04150bb81ae10e0229f13f	504205	3064835	1018424	65350	97146	236937	4996
abseil	700	2581008467	5863183	5863183	0	440.20602239432066	4.022	0	0	0	bdf857ddc64bf57f31067abef0981be350c40513262284f19ea4824e3888cda6	618119	2569042	1920620	112017	68778	569203	5404	3538606	3538606	0	729.3856583637738	6.098	0	0	0	0da1d703e72d2bb3f5786f11cbc6072e12e69d256597b6b70c3f613e54993a39	618119	1461904	988868	112017	68478	283816	5404	3604726	3604726	0	716.0068385225396	6.592	0	0	0	6fabd767fa41e840289f03fd819b49f9606001b93d96d9ae6e32e60f694070a4	618119	1536186	980912	112017	68338	283750	5404
opencv	1506	4630994774	8563234	8563234	0	540.7997462173754	6.198	0	0	0	bd82a1dada8d81ea22899a67a083ed6021d816322a2801c19afb5185e2d090dc	254450	5984214	1898915	45129	144891	223587	12048	5042880	5042880	0	918.3234132083254	7.288	0	0	0	0cef6ebb37ee3780f738f42f8e92241fa989ea57ef4b11393e31bc5ee9828659	254450	3518441	944340	45129	143801	124671	12048	4758921	4758921	0	973.1186489542482	7.228	0	0	0	20e830e0c7e710ff23c29b6c4b828061a29ec919b9f61904b3815cd8b4ca7295	254450	3199173	979601	45129	143831	124689	12048
godot	2207	5932762185	41693465	39589524	2103941	149.85687084795464	0.853	112	124407478	14617593	8f5b9cbe8c46719b4c5dff5b90736961d498baa20008f30c8d7ee1615a300c5a	327345	34538916	4164025	104273	185336	251973	17656	31311763	29211890	2099873	203.09408891379502	0.975	78	123613862	14550829	fa8621b7351d784ffd7208ee6b22d541954085781c354accc585ef1e934b8106	327345	26345181	2086998	104273	182981	147456	17656	13696024	13692116	3908	433.29768642041887	4.618	34	793616	66564	4d22e4e7757044363847db6820a216d8a62cf65de4e30d8d0d691a46dcff009b	327345	10806875	2105802	104273	182683	147482	17656
fmt	50	136350082	1046398	1046398	0	130.30422649890386	1.465	0	0	0	2102e6a0f580eb75d09e3936d300a5ff0741dc3bf63d7afef93f3acde8735379	92824	380928	479473	12118	6073	74662	320	613040	613040	0	222.4162893122798	2.326	0	0	0	4aa5b5d9bb7e577761c45c2df16137401a14dcde406a2d0cfc94038e8113e2e3	92824	231334	234543	12118	5743	36158	320	627974	627974	0	217.12695430065577	2.287	0	0	0	de88f8dc14dc3d8906261736d54bc5e82c27507d240663cd79d6a108f3a69fbb	92824	231666	248977	12118	5905	36164	320
spdlog	34	98384472	539513	539513	0	182.3579265003809	1.79	0	0	0	4c89aab5a378912e984ec6f8279797fd4d5e2751aca2e76b9e2c992b8a0acc55	15982	213013	284621	1906	8808	14911	272	301099	301099	0	326.75124128608866	2.104	0	0	0	8a3b944015edf3bfe8c5cd0ca8d4838b5f68b0bb2f69cc451533b4b2207e8eb4	15982	119863	146994	1906	8467	7615	272	293188	293188	0	335.5678677162776	2.109	0	0	0	1c9390528a50c3a1c3b18301e43c88b3003898f8b94a337c4e4ecf48cbdac461	15982	110727	148179	1906	8512	7610	272
catch2	857	947252235	1006039	1006039	0	941.5661172181198	6.997	0	0	0	5ad3a66ad9753d7178239372e7a91fc43c9d89ac1fb097cc5f758c460108c7eb	72758	325475	496757	20772	23988	61861	4428	619774	619774	0	1528.383305850197	7.513	0	0	0	65464d3369ff25b5148d59f62e4b416470d3a37bda38456bab754641e1327c7d	72758	211494	251867	20772	23673	34818	4392	611743	611743	0	1548.4480165690495	7.505	0	0	0	076ec5208bffb0e1db7e64ffca064367d063dec544307f250c455a29213e9f9a	72758	207477	247673	20772	23825	34846	4392
nlohmann-json	99	293917707	1168818	1168818	0	251.46576028089916	2.63	0	0	0	b46eca8b00bbb752345395c146167aadb0ecfcbe6296e9362a6920bff60cacc4	31200	459486	631555	8367	10381	27045	784	687318	687318	0	427.6298700164989	3.824	0	0	0	de88366155c340712e77b13b64a455ca6e242ca4a1ddf494d877c9d83e0acee8	31200	282298	340403	8367	10148	14122	780	684633	684633	0	429.3069527761589	3.588	0	0	0	8a1f8aedcf04eaa8ebbd0308e41d66305f2f0a3f6d4bbf2e3aa5dc39cc85f8c8	31200	284519	335454	8367	10194	14123	776
