group_tus	tus	groups	nonempty_groups	raw_bytes	bsc_blocks	bsc_wire_bytes	zstd3_wire_bytes	zstd10_wire_bytes	selected_wire_bytes	selected_bsc_groups	selected_zstd3_groups	selected_zstd10_groups	bsc_encode_seconds	bsc_decode_seconds	zstd3_encode_seconds	zstd10_encode_seconds	exact
1	689	689	558	31439473	558	3961730	5380509	4615637	3944747	323	12	223	1.77142	1.41379	0.143436	0.778977	true
2	689	345	285	31439473	285	3818087	5300575	4515345	3812002	216	1	68	1.56089	1.18799	0.120651	0.705119	true
4	689	173	147	31439473	147	3708355	5239836	4441867	3707080	132	1	14	1.45583	1.10431	0.122779	0.701353	true
8	689	87	74	31439473	74	3605624	5191090	4376026	3605567	73	0	1	1.45682	1.11063	0.118404	0.720829	true
10	689	69	60	31439473	60	3575419	5174384	4350828	3575388	59	1	0	1.43934	1.09698	0.123267	0.712668	true
16	689	44	38	31439473	38	3524816	5150253	4310620	3524816	38	0	0	1.3933	1.04047	0.110171	0.686802	true
25	689	28	26	31439473	26	3503566	5143715	4285163	3503566	26	0	0	1.43067	1.07827	0.117421	0.705389	true
32	689	22	20	31439473	20	3467784	5129121	4262271	3467784	20	0	0	1.38586	1.04974	0.109473	0.718286	true
50	689	14	14	31439473	14	3452624	5124236	4240862	3452624	14	0	0	1.4806	1.07004	0.112552	0.718744	true
64	689	11	11	31439473	11	3435826	5114455	4225712	3435826	11	0	0	1.53068	1.13131	0.109828	0.741766	true
100	689	7	7	31439473	7	3419486	5115171	4215351	3419486	7	0	0	1.56217	1.14167	0.109118	0.737543	true
128	689	6	6	31439473	6	3408322	5108635	4202076	3408322	6	0	0	1.53864	1.12462	0.107712	0.72995	true
200	689	4	4	31439473	4	3406456	5106651	4194766	3406456	4	0	0	1.6359	1.20536	0.107367	0.725301	true
500	689	2	2	31439473	2	3322036	5104122	4178251	3322036	2	0	0	1.82538	1.20066	0.107862	0.734577	true
full	689	1	1	31439473	1	3326694	5102726	4172238	3326694	1	0	0	1.86275	1.22513	0.107645	0.714327	true
