group_tus	first_tu	last_tu	raw_bytes	bsc_blocks	bsc_wire_bytes	zstd3_wire_bytes	zstd10_wire_bytes	selected_codec	selected_wire_bytes	cumulative_selected_wire_bytes	exact
1	1	1	1159572	1	155402	206322	177864	bsc	155402	155402	true
1	2	2	565571	1	52916	74872	63101	bsc	52916	208318	true
1	3	3	381757	1	35240	49261	41099	bsc	35240	243558	true
1	4	4	184576	1	7986	11260	10305	bsc	7986	251544	true
1	5	5	12266	1	2812	2976	2766	zstd10	2766	254310	true
1	6	6	72484	1	7912	10945	9250	bsc	7912	262222	true
1	7	7	46306	1	4070	5220	4233	bsc	4070	266292	true
1	8	8	10967	1	1786	2005	1746	zstd10	1746	268038	true
1	9	9	3856	1	1046	955	911	zstd10	911	268949	true
1	10	10	15294	1	3062	3334	3062	bsc	3062	272011	true
1	11	11	17251	1	3412	3749	3376	zstd10	3376	275387	true
1	12	12	2160	1	774	689	664	zstd10	664	276051	true
1	13	13	11868	1	3048	3251	3051	bsc	3048	279099	true
1	14	14	137972	1	18654	23418	20342	bsc	18654	297753	true
1	15	15	82183	1	7924	9728	8369	bsc	7924	305677	true
1	16	16	2008	1	660	638	603	zstd10	603	306280	true
1	17	17	5252	1	1270	1297	1198	zstd10	1198	307478	true
1	18	18	1085	1	524	501	481	zstd10	481	307959	true
1	19	19	78222	1	10570	12789	11388	bsc	10570	318529	true
1	20	20	1121679	1	79340	128219	105030	bsc	79340	397869	true
1	21	21	21511	1	3616	4107	3650	bsc	3616	401485	true
1	22	22	11270	1	2768	2974	2746	zstd10	2746	404231	true
1	23	23	461762	1	24846	39498	32639	bsc	24846	429077	true
1	24	24	31256	1	5572	6194	5607	bsc	5572	434649	true
1	25	25	47783	1	6396	7655	6739	bsc	6396	441045	true
1	26	26	22971	1	4054	4677	4206	bsc	4054	445099	true
1	27	27	6166	1	1468	1563	1426	zstd10	1426	446525	true
1	28	28	34515	1	8940	11098	10445	bsc	8940	455465	true
1	29	29	10508	1	2372	2550	2343	zstd10	2343	457808	true
1	30	30	196868	1	11040	17115	12430	bsc	11040	468848	true
1	31	31	11915	1	1902	2069	1877	zstd10	1877	470725	true
1	32	32	65859	1	8026	10873	9178	bsc	8026	478751	true
1	33	33	112385	1	17350	21798	18997	bsc	17350	496101	true
1	34	34	38227	1	4888	5788	5100	bsc	4888	500989	true
1	35	35	2504	1	950	928	885	zstd10	885	501874	true
1	36	36	64057	1	9126	11219	9686	bsc	9126	511000	true
1	37	37	13908	1	2826	3000	2743	zstd10	2743	513743	true
1	38	38	8243	1	1396	1365	1280	zstd10	1280	515023	true
1	39	39	29871	1	5630	6492	5850	bsc	5630	520653	true
1	40	40	56839	1	5398	6430	5495	bsc	5398	526051	true
1	41	41	16619	1	3194	3525	3176	zstd10	3176	529227	true
1	42	42	9674	1	2134	2252	2089	zstd10	2089	531316	true
1	43	43	43736	1	6288	7554	6770	bsc	6288	537604	true
1	44	44	8487	1	1884	1918	1746	zstd10	1746	539350	true
1	45	45	23359	1	4896	5527	4998	bsc	4896	544246	true
1	46	46	5421	1	1440	1481	1380	zstd10	1380	545626	true
1	47	47	14723	1	3154	3426	3127	zstd10	3127	548753	true
1	48	48	32512	1	4756	5598	5298	bsc	4756	553509	true
1	49	49	32850	1	6038	7205	6375	bsc	6038	559547	true
1	50	50	197262	1	24524	31617	27437	bsc	24524	584071	true
1	51	51	3754	1	1252	1230	1176	zstd10	1176	585247	true
1	52	52	5284	1	1324	1365	1252	zstd10	1252	586499	true
1	53	53	5060	1	1546	1609	1519	zstd10	1519	588018	true
1	54	54	11160	1	2352	2459	2290	zstd10	2290	590308	true
1	55	55	61547	1	8038	9616	8363	bsc	8038	598346	true
1	56	56	9815	1	1724	1909	1680	zstd10	1680	600026	true
1	57	57	17939	1	3388	3742	3293	zstd10	3293	603319	true
1	58	58	68305	1	6612	8382	7060	bsc	6612	609931	true
1	59	59	8156	1	1658	1842	1668	bsc	1658	611589	true
1	60	60	229	1	230	175	174	zstd10	174	611763	true
1	61	61	24287	1	3682	4290	3761	bsc	3682	615445	true
1	62	62	1073	1	450	368	365	zstd10	365	615810	true
1	63	63	19450	1	3318	3656	3326	bsc	3318	619128	true
1	64	64	19202	1	3700	4186	3746	bsc	3700	622828	true
1	65	65	14842	1	3248	3487	3159	zstd10	3159	625987	true
1	66	66	36027	1	5322	6342	5527	bsc	5322	631309	true
1	67	67	11421	1	2694	2828	2628	zstd10	2628	633937	true
1	68	68	97869	1	13628	18016	15412	bsc	13628	647565	true
1	69	69	38123	1	5534	6902	5862	bsc	5534	653099	true
1	70	70	25179	1	5424	6212	5621	bsc	5424	658523	true
1	71	71	199602	1	22720	30108	25657	bsc	22720	681243	true
1	72	72	8618	1	2074	2157	1973	zstd10	1973	683216	true
1	73	73	11480	1	2990	3186	2979	zstd10	2979	686195	true
1	74	74	7728	1	1814	1940	1783	zstd10	1783	687978	true
1	75	75	14422	1	2956	3195	2891	zstd10	2891	690869	true
1	76	76	18625	1	3116	3604	3274	bsc	3116	693985	true
1	77	77	5095	1	1492	1506	1433	zstd10	1433	695418	true
1	78	78	4866	1	1302	1224	1146	zstd10	1146	696564	true
1	79	79	828	1	370	294	286	zstd10	286	696850	true
1	80	80	3235	1	956	861	822	zstd10	822	697672	true
1	81	81	7733	1	1824	1919	1778	zstd10	1778	699450	true
1	82	82	16631	1	3176	3430	3116	zstd10	3116	702566	true
1	83	83	4697	1	1366	1326	1259	zstd10	1259	703825	true
1	84	84	7359	1	1714	1808	1674	zstd10	1674	705499	true
1	85	85	11967	1	2560	2733	2545	zstd10	2545	708044	true
1	86	86	6017	1	1356	1321	1255	zstd10	1255	709299	true
1	87	87	8869	1	1734	1938	1783	bsc	1734	711033	true
1	88	88	50885	1	7630	9057	8024	bsc	7630	718663	true
1	89	89	63783	1	6268	7467	6495	bsc	6268	724931	true
1	90	90	23967	1	4646	5593	5055	bsc	4646	729577	true
1	91	91	32321	1	7112	8174	7480	bsc	7112	736689	true
1	92	92	50356	1	8924	11228	9904	bsc	8924	745613	true
1	93	93	20719	1	4452	5199	4741	bsc	4452	750065	true
1	94	94	28222	1	4992	6026	5336	bsc	4992	755057	true
1	95	95	8227	1	2006	2065	1936	zstd10	1936	756993	true
1	96	96	95551	1	18332	22368	19656	bsc	18332	775325	true
1	97	97	22344	1	4836	5497	4934	bsc	4836	780161	true
1	98	98	7472	1	952	1007	921	zstd10	921	781082	true
1	99	99	2601	1	990	999	976	zstd10	976	782058	true
1	100	100	3048	1	972	970	913	zstd10	913	782971	true
1	101	101	24495	1	4036	4748	4232	bsc	4036	787007	true
1	102	102	12111	1	2054	2231	2012	zstd10	2012	789019	true
1	103	103	9597	1	2410	2572	2411	bsc	2410	791429	true
1	104	104	8839	1	1738	1899	1729	zstd10	1729	793158	true
1	105	105	1860	1	854	798	767	zstd10	767	793925	true
1	106	106	936	1	286	219	216	zstd10	216	794141	true
1	107	107	8754	1	1794	1871	1707	zstd10	1707	795848	true
