group_tus	tus	groups	nonempty_groups	raw_bytes	bsc_blocks	bsc_wire_bytes	zstd3_wire_bytes	zstd10_wire_bytes	selected_wire_bytes	selected_bsc_groups	selected_zstd3_groups	selected_zstd10_groups	bsc_encode_seconds	bsc_decode_seconds	zstd3_encode_seconds	zstd10_encode_seconds	exact
1	2207	2207	2133	96195716	2133	11704384	15167393	13092300	11636298	1098	30	1005	5.58817	4.4503	0.406665	2.09127	true
2	2207	1104	1087	96195716	1087	11084058	14770823	12640640	11066927	830	2	255	4.73531	3.68215	0.364567	1.93852	true
4	2207	552	545	96195716	545	10522003	14425272	12247759	10520436	514	0	31	4.29074	3.2844	0.346397	1.92154	true
8	2207	276	274	96195716	274	10064270	14145742	11928288	10064137	272	0	2	4.26735	3.25923	0.344372	1.97478	true
10	2207	221	219	96195716	219	9931951	14071422	11834387	9931951	219	0	0	4.02375	3.09169	0.328804	1.94403	true
16	2207	138	137	96195716	137	9689361	13930219	11660837	9689361	137	0	0	3.92715	2.94226	0.309644	1.85187	true
25	2207	89	89	96195716	89	9498891	13822962	11508638	9498891	89	0	0	3.80585	2.8387	0.295523	1.84702	true
32	2207	69	69	96195716	69	9433855	13795855	11452358	9433855	69	0	0	3.7756	2.81141	0.295409	1.83091	true
50	2207	45	45	96195716	45	9314711	13728548	11337643	9314711	45	0	0	3.85591	2.8571	0.290303	1.88456	true
64	2207	35	35	96195716	35	9274995	13704927	11288977	9274995	35	0	0	3.9006	2.95728	0.287035	1.89543	true
100	2207	23	23	96195716	23	9184069	13654564	11207250	9184069	23	0	0	4.10898	2.96506	0.290868	1.95907	true
128	2207	18	18	96195716	18	9177298	13662502	11185088	9177298	18	0	0	4.19076	3.01054	0.290069	1.97839	true
200	2207	12	12	96195716	12	9109224	13626874	11130396	9109224	12	0	0	4.40208	3.06103	0.28618	1.96995	true
500	2207	5	5	96195716	5	9025991	13616442	11093530	9025991	5	0	0	5.17076	3.27588	0.304416	2.00318	true
full	2207	1	1	96195716	2	8967267	13605830	11066146	8967267	1	0	0	5.79542	3.53647	0.291882	2.14954	true
