corpus	tus	raw_bytes	baseline_wire_bytes	candidate_wire_bytes	wire_delta_bytes	baseline_ratio	candidate_ratio	candidate_wins	baseline_root_plus_block_wire_bytes	candidate_root_plus_block_wire_bytes	missing_delta_bytes	framing_delta_bytes	root_slice_copies	root_slice_copied_regions	exact
llvm	1238	3620271340	11908351	11992497	84146	304.0111380660513	301.87802757007154	False	284215	397492	-29131	0	25488	4737436	True
rocksdb	622	3114320596	11390768	11671259	280491	273.4074292444548	266.83673081027507	False	1436737	1738762	-21530	-4	14702	3587251	True
duckdb	689	1985715205	12442305	12547601	105296	159.59383771736827	158.25457033579568	False	552210	680799	-22777	-516	12775	2276499	True
abseil	700	2581008467	7072905	7148650	75745	364.914906534161	361.04837514775517	False	703619	813596	-34076	-156	19437	3212417	True
opencv	1506	4630994774	10811760	10882381	70621	428.32940927286586	425.5497738959884	False	288352	371813	-12840	0	9200	6008577	True
godot	2207	5932762185	79906920	80032124	125204	74.24591243161419	74.12976050716834	False	404743	558916	-28969	0	24834	5827908	True
fmt	50	136350082	1388886	1383888	-4998	98.17226323830754	98.52681864428335	True	102063	101126	-4021	-40	1156	145146	True
spdlog	34	98384472	857116	861484	4368	114.78548061172583	114.2034814343621	False	17357	22260	-535	0	275	115033	True
catch2	857	947252235	1385816	1394330	8514	683.5339143147431	679.3601478846471	False	87501	106922	-9763	-1144	3087	1355964	True
nlohmann-json	99	293917707	1601207	1611728	10521	183.56009372929296	182.36185448164952	False	37216	50344	-2599	-8	1682	331763	True
range-v3	259	632049016	1303599	1326030	22431	484.8492642292607	476.6475992247536	False	45552	72230	-4247	0	6106	989456	True
eigen	650	3532268956	2017939	2026972	9033	1750.4339605904836	1742.6333249793288	False	34820	44455	-602	0	942	4611675	True
re2	72	110231455	766284	771228	4944	143.85195958678506	142.92978859688705	False	17204	23665	-1513	-4	1196	141224	True
leveldb	72	143868249	1002755	1003880	1125	143.47298093751715	143.31219767302863	False	55825	59945	-2987	-8	1340	166092	True
simdjson	153	468377342	1920187	1930887	10700	243.9227752297042	242.57107847326125	False	36724	49768	-2340	-4	1940	592228	True
cereal	84	326899429	847595	849710	2115	385.6788076852742	384.71882053877204	False	12233	15415	-911	-156	191	369970	True
