corpus	tus	raw_bytes	exact	s1_wire_bytes	s1_ratio	s1_root_wire_bytes	s1_line_def_wire_bytes	s1_region_def_wire_bytes	s1_block_def_wire_bytes	s1_path_def_wire_bytes	s1_missing_wire_bytes	s1_framing_wire_bytes	p9_wire_bytes	p9_ratio	p9_root_wire_bytes	p9_line_def_wire_bytes	p9_region_def_wire_bytes	p9_block_def_wire_bytes	p9_path_def_wire_bytes	p9_missing_wire_bytes	p9_framing_wire_bytes	p21_wire_bytes	p21_ratio	p21_root_wire_bytes	p21_line_def_wire_bytes	p21_region_def_wire_bytes	p21_block_def_wire_bytes	p21_path_def_wire_bytes	p21_missing_wire_bytes	p21_framing_wire_bytes	p9_saving_bytes	p21_saving_vs_p9_bytes	p21_saving_vs_s1_bytes
llvm	1238	3620271340	True	11908351	304.0111380660513	211136	9134533	2159586	73079	141145	178968	9904	10265567	352.66160554015187	211136	7480539	2311941	73079	0	178968	9904	10160230	356.31785304072844	211136	7375202	2311941	73079	0	178968	9904	1642784	105337	1748121
rocksdb	622	3114320596	True	11390768	273.4074292444548	1389952	5456154	3070345	46785	58920	1363636	4976	10042861	310.10292744268787	1389952	4187957	3049555	46785	0	1363636	4976	10043263	310.09051500493416	1389952	4188359	3049555	46785	0	1363636	4976	1347907	-402	1347505
duckdb	689	1985715205	True	12442305	159.59383771736827	504710	9100265	2203553	47500	98779	481986	5512	11343131	175.05882679129775	504710	7900271	2403152	47500	0	481986	5512	10374004	191.4126122372808	504710	6931144	2403152	47500	0	481986	5512	1099174	969127	2068301
abseil	700	2581008467	True	7072905	364.914906534161	619091	3980602	1711652	84528	68778	602694	5560	6179175	417.6946707286976	619091	3147332	1719970	84528	0	602694	5560	6175917	417.91501844989176	619091	3144074	1719970	84528	0	602694	5560	893730	3258	896988
opencv	1506	4630994774	True	10811760	428.32940927286586	255081	8168761	1961281	33271	144891	236427	12048	8984047	515.4686717467083	255081	6390405	2056815	33271	0	236427	12048	8981229	515.6304080432644	255081	6387587	2056815	33271	0	236427	12048	1827713	2818	1830531
godot	2207	5932762185	True	79906920	74.24591243161419	328500	74231133	4787110	76243	185336	280942	17656	77014967	77.03388595881628	328500	67150090	9161536	76243	0	280942	17656	61694666	96.16329205834424	328500	51829789	9161536	76243	0	280942	17656	2891953	15320301	18212254
fmt	50	136350082	True	1388886	98.17226323830754	92824	850346	351511	9239	6073	78533	360	1245100	109.50934222150832	92824	704926	359218	9239	0	78533	360	1244155	109.5925202245701	92824	703981	359218	9239	0	78533	360	143786	945	144731
spdlog	34	98384472	True	857116	114.78548061172583	15982	621094	194139	1375	8808	15446	272	747577	131.6044661620141	15982	517399	197103	1375	0	15446	272	746571	131.78180240057543	15982	516393	197103	1375	0	15446	272	109539	1006	110545
catch2	857	947252235	True	1385816	683.5339143147431	72785	863504	337917	14716	23988	67334	5572	1197539	790.9990697588972	72785	695644	341488	14716	0	67334	5572	1197783	790.8379355859951	72785	695888	341488	14716	0	67334	5572	188277	-244	188033
nlohmann-json	99	293917707	True	1601207	183.56009372929296	31200	1065815	457389	6016	10381	29614	792	1382004	212.67500455859752	31200	851682	462700	6016	0	29614	792	1381972	212.67992911578526	31200	851650	462700	6016	0	29614	792	219203	32	219235
range-v3	259	632049016	True	1303599	484.8492642292607	32160	906962	295808	13392	26474	26731	2072	1097867	575.7063615173787	32160	724452	299060	13392	0	26731	2072	1098147	575.559570804273	32160	724732	299060	13392	0	26731	2072	205732	-280	205452
eigen	650	3532268956	True	2017939	1750.4339605904836	32050	1296681	634183	2770	13025	34030	5200	1842590	1917.0129849830944	32050	1082886	685654	2770	0	34030	5200	1843320	1916.2538007508192	32050	1083616	685654	2770	0	34030	5200	175349	-730	174619
re2	72	110231455	True	766284	143.85195958678506	12930	555403	174479	4274	6729	11965	504	662952	166.27365932978557	12930	457375	175904	4274	0	11965	504	663005	166.26036756887203	12930	457428	175904	4274	0	11965	504	103332	-53	103279
leveldb	72	143868249	True	1002755	143.47298093751715	48699	656085	239136	7126	9204	41941	564	885220	162.52259212399179	48699	543311	243579	7126	0	41941	564	885371	162.49487390031976	48699	543462	243579	7126	0	41941	564	117535	-151	117384
simdjson	153	468377342	True	1920187	243.9227752297042	29792	1275116	561678	6932	18194	27295	1180	1683053	278.2903105249805	29792	1050521	567333	6932	0	27295	1180	1682048	278.45658506772696	29792	1049516	567333	6932	0	27295	1180	237134	1005	238139
cereal	84	326899429	True	847595	385.6788076852742	10911	618159	198301	1322	7375	10855	672	730229	447.66700446024464	10911	505916	200553	1322	0	10855	672	729751	447.96023438131635	10911	505438	200553	1322	0	10855	672	117366	478	117844
