project	schema	stage	receiver_initial_state	learning_mode	description	build_repetitions	tus_per_build	total_tus	raw_bytes_per_build	curve_sha256	log_sha256	tu50_wire_bytes	tu50_decimal_mb	tu50_seconds_1gbit	tu100_wire_bytes	tu100_decimal_mb	tu100_seconds_1gbit	tu150_wire_bytes	tu150_decimal_mb	tu150_seconds_1gbit	tu200_wire_bytes	tu200_decimal_mb	tu200_seconds_1gbit	tu250_wire_bytes	tu250_decimal_mb	tu250_seconds_1gbit	tu300_wire_bytes	tu300_decimal_mb	tu300_seconds_1gbit	build1_incremental_wire_bytes	build1_cumulative_wire_bytes	build2_incremental_wire_bytes	build2_cumulative_wire_bytes	build3_incremental_wire_bytes	build3_cumulative_wire_bytes	build4_incremental_wire_bytes	build4_cumulative_wire_bytes	full_build_wire_bytes	full_build_decimal_mb	full_build_seconds_1gbit	full_build_ratio	four_build_cumulative_wire_bytes	four_build_cumulative_decimal_mb	four_build_cumulative_seconds_1gbit	four_build_cumulative_ratio	exact
llvm	p25-cold	p25	cold	incremental_online_empty_start	key-map material baseline	4	1238	4952	3620271340	c9124d93ea016c0c888ccceca44770b8be1a05c35daf9fb938d792f2498174ac	47d909226a0910f87d05741a5ca47661d923698a812cd627fe6ea74afc795187	1272049	1.272049	0.010176392	1652257	1.652257	0.013218056	2411362	2.411362	0.019290896	3052195	3.052195	0.02441756	3302271	3.302271	0.026418168	3536037	3.536037	0.028288296	9605794	9605794	66378	9672172	19866	9692038	19866	9711904	9605794	9.605794	0.076846352	376.88413263911343	9711904	9.711904	0.077695232	1491.0655377153646	True
llvm	p26-cold	p26	cold	incremental_online_empty_start	direct ordinals plus compressed zlib-member recovery	4	1238	4952	3620271340	8e1e6c6b03ff7fde70b7a16c395fae6a1659271b4a651d46a413bb300b50c6ee	458b2751de50ff2901ef3ca6e0a0ce445556e3c98582bc42c3457ec99ca786d6	1239252	1.239252	0.009914016	1608036	1.608036	0.012864288	2352589	2.352589	0.018820712	2975657	2.975657	0.023805256	3216130	3.21613	0.02572904	3440994	3.440994	0.027527952	9330294	9330294	66378	9396672	19866	9416538	19866	9436404	9330294	9.330294	0.074642352	388.01256852142063	9436404	9.436404	0.075491232	1534.5978574041553	True
llvm	p27-cold	p27	cold	incremental_online_empty_start	P26 plus canonical-MO factoring	4	1238	4952	3620271340	8e1e6c6b03ff7fde70b7a16c395fae6a1659271b4a651d46a413bb300b50c6ee	8f65c2d1086b816e0eb0bd3e5bae49b8657d8608fce13beed2a98d84894769de	1239252	1.239252	0.009914016	1608036	1.608036	0.012864288	2352589	2.352589	0.018820712	2975657	2.975657	0.023805256	3216130	3.21613	0.02572904	3440994	3.440994	0.027527952	9330294	9330294	66378	9396672	19866	9416538	19866	9436404	9330294	9.330294	0.074642352	388.01256852142063	9436404	9.436404	0.075491232	1534.5978574041553	True
llvm	p28-cold	p28	cold	incremental_online_empty_start	P27 plus S1 chain 1024	4	1238	4952	3620271340	a88dc7d7a3b6bcdf1d5624341b8cae340fce66a286a8695d132d8f7efb6be051	4b87341762c56976200bd64ae83d522854667d8d594ccf0166ea89b4d43e52cd	1239144	1.239144	0.009913152	1607925	1.607925	0.0128634	2352317	2.352317	0.018818536	2975306	2.975306	0.023802448	3215731	3.215731	0.025725848	3440573	3.440573	0.027524584	9328055	9328055	66372	9394427	19860	9414287	19860	9434147	9328055	9.328055	0.07462444	388.10570263575846	9434147	9.434147	0.075473176	1534.9649904755565	True
llvm	p29-cold	p29	cold	incremental_online_empty_start	P28 plus selected blob zstd-9/LDM workers	4	1238	4952	3620271340	a88dc7d7a3b6bcdf1d5624341b8cae340fce66a286a8695d132d8f7efb6be051	4b54f27bd204b76d0096cc667ca54abe93a9b0dcb826ab38f1a7d238850d354d	1239144	1.239144	0.009913152	1607925	1.607925	0.0128634	2352317	2.352317	0.018818536	2975306	2.975306	0.023802448	3215731	3.215731	0.025725848	3440573	3.440573	0.027524584	9328055	9328055	66372	9394427	19860	9414287	19860	9434147	9328055	9.328055	0.07462444	388.10570263575846	9434147	9.434147	0.075473176	1534.9649904755565	True
rocksdb	p25-cold	p25	cold	incremental_online_empty_start	key-map material baseline	4	622	2488	3114320596	106487d65e9032f7d1cf59afd9e3e5d91a1e0a326c37bc83463594e1000d8e80	4a683bd908a25692f30fba874fcd36d243c0c42559aedb5239b69e546f38c982	2314028	2.314028	0.018512224	5478209	5.478209	0.043825672	6933515	6.933515	0.05546812	7747128	7.747128	0.061977024	8356654	8.356654	0.066853232	8704662	8.704662	0.069637296	11959971	11959971	33349	11993320	10010	12003330	10010	12013340	11959971	11.959971	0.095679768	260.3953300555662	12013340	12.01334	0.09610672	1036.954118005484	True
rocksdb	p26-cold	p26	cold	incremental_online_empty_start	direct ordinals plus compressed zlib-member recovery	4	622	2488	3114320596	34f7bb835d674b9540334259a5b9aca5a2fe315914771c15b0fbb9f6aa8fee94	80b4881bd22fb05cae3b93e6d97d4e3c8505b83406e5b71bf75b5ec950c0f2b3	2003070	2.00307	0.01602456	4435634	4.435634	0.035485072	5570118	5.570118	0.044560944	6229582	6.229582	0.049836656	6805267	6.805267	0.054442136	7126122	7.126122	0.057008976	9825414	9825414	33349	9858763	10010	9868773	10010	9878783	9825414	9.825414	0.078603312	316.96583940381544	9878783	9.878783	0.079030264	1261.0138702307763	True
rocksdb	p27-cold	p27	cold	incremental_online_empty_start	P26 plus canonical-MO factoring	4	622	2488	3114320596	34f7bb835d674b9540334259a5b9aca5a2fe315914771c15b0fbb9f6aa8fee94	ed14e8408f282899f371b48e24282a6b66d680734c87ae0c797425aa78413bbf	2003070	2.00307	0.01602456	4435634	4.435634	0.035485072	5570118	5.570118	0.044560944	6229582	6.229582	0.049836656	6805267	6.805267	0.054442136	7126122	7.126122	0.057008976	9825414	9825414	33349	9858763	10010	9868773	10010	9878783	9825414	9.825414	0.078603312	316.96583940381544	9878783	9.878783	0.079030264	1261.0138702307763	True
rocksdb	p28-cold	p28	cold	incremental_online_empty_start	P27 plus S1 chain 1024	4	622	2488	3114320596	f79ff256e6e686aed45450d4f6639814450d94b2f576afc067240bd3088c404f	5c11b44749044a2135af609819b5cf288ac344e3ffbcb759bdde37f91ac43137	2003070	2.00307	0.01602456	4435639	4.435639	0.035485112	5569929	5.569929	0.044559432	6229228	6.229228	0.049833824	6804894	6.804894	0.054439152	7125523	7.125523	0.057004184	9823481	9823481	33343	9856824	10004	9866828	10004	9876832	9823481	9.823481	0.078587848	317.0282098575851	9876832	9.876832	0.079014656	1261.2629620509897	True
rocksdb	p29-cold	p29	cold	incremental_online_empty_start	P28 plus selected blob zstd-9/LDM workers	4	622	2488	3114320596	f79ff256e6e686aed45450d4f6639814450d94b2f576afc067240bd3088c404f	9ae5022bc9d5f1060b68eba402720c6d8b540a299e6307125452c140d9d57fb2	2003070	2.00307	0.01602456	4435639	4.435639	0.035485112	5569929	5.569929	0.044559432	6229228	6.229228	0.049833824	6804894	6.804894	0.054439152	7125523	7.125523	0.057004184	9823481	9823481	33343	9856824	10004	9866828	10004	9876832	9823481	9.823481	0.078587848	317.0282098575851	9876832	9.876832	0.079014656	1261.2629620509897	True
duckdb	p25-cold	p25	cold	incremental_online_empty_start	key-map material baseline	4	689	2756	1985715205	32609ac4a285569520dde135e5f6a70c1ec90da79165ecd09bf8f3a16c1fee86	3a689865ed34f863c2979e213bed7e66e8b4741c290638024a33582724edc939	1663727	1.663727	0.013309816	1813620	1.81362	0.01450896	1898106	1.898106	0.015184848	2538363	2.538363	0.020306904	2640490	2.64049	0.02112392	3345363	3.345363	0.026762904	10311810	10311810	27155	10338965	11082	10350047	11082	10361129	10311810	10.31181	0.08249448	192.5670861856454	10361129	10.361129	0.082889032	766.6018654916853	True
duckdb	p26-cold	p26	cold	incremental_online_empty_start	direct ordinals plus compressed zlib-member recovery	4	689	2756	1985715205	e4b7311c9d9dccdba7beff26b70c89bc84fdbc0efc41b3af9b860eb197895c37	381ba268a98dab959e92f36f9a48c75fb384274fbbe4c63eb2e6d4e76ea56619	1636194	1.636194	0.013089552	1781177	1.781177	0.014249416	1862283	1.862283	0.014898264	2491377	2.491377	0.019931016	2590488	2.590488	0.020723904	3288923	3.288923	0.026311384	9590734	9590734	27155	9617889	11082	9628971	11082	9640053	9590734	9.590734	0.076725872	207.04517558301586	9640053	9.640053	0.077120424	823.9436878614672	True
duckdb	p27-cold	p27	cold	incremental_online_empty_start	P26 plus canonical-MO factoring	4	689	2756	1985715205	e4b7311c9d9dccdba7beff26b70c89bc84fdbc0efc41b3af9b860eb197895c37	b78814a5ea15ace6d542a25aa37f5a17d5bb001c4a14ff11fc468e2427d835c7	1636194	1.636194	0.013089552	1781177	1.781177	0.014249416	1862283	1.862283	0.014898264	2491377	2.491377	0.019931016	2590488	2.590488	0.020723904	3288923	3.288923	0.026311384	9590734	9590734	27155	9617889	11082	9628971	11082	9640053	9590734	9.590734	0.076725872	207.04517558301586	9640053	9.640053	0.077120424	823.9436878614672	True
duckdb	p28-cold	p28	cold	incremental_online_empty_start	P27 plus S1 chain 1024	4	689	2756	1985715205	089550feea727c897a018fb1986fb0221ec6f4b008ce235b8dcddd6a0927a005	1cb44e146fc10e0a39c54c2b68408f71a1e3cbae2631f4946500d306bbcfb393	1636194	1.636194	0.013089552	1781171	1.781171	0.014249368	1862265	1.862265	0.01489812	2491331	2.491331	0.019930648	2590440	2.59044	0.02072352	3288839	3.288839	0.026310712	9589726	9589726	27149	9616875	11076	9627951	11076	9639027	9589726	9.589726	0.076717808	207.06693861743287	9639027	9.639027	0.077112216	824.0313903052663	True
