corpus	tus	raw_bytes	cold_direct_wire_bytes	cold_p26_wire_bytes	cold_saving_bytes	cold_direct_ratio	cold_p26_ratio	cold_p26_pipeline_gbps	cold_blob_count	cold_blob_deflated_bytes	cold_blob_inflated_bytes	cold_blob_wire_bytes	cold_log_sha256	bit0_direct_wire_bytes	bit0_p26_wire_bytes	bit0_saving_bytes	bit0_direct_ratio	bit0_p26_ratio	bit0_p26_pipeline_gbps	bit0_blob_count	bit0_blob_deflated_bytes	bit0_blob_inflated_bytes	bit0_blob_wire_bytes	bit0_log_sha256	bit1_direct_wire_bytes	bit1_p26_wire_bytes	bit1_saving_bytes	bit1_direct_ratio	bit1_p26_ratio	bit1_p26_pipeline_gbps	bit1_blob_count	bit1_blob_deflated_bytes	bit1_blob_inflated_bytes	bit1_blob_wire_bytes	bit1_log_sha256
llvm	1238	3620271340	9330294	9330294	0	388.01256852142063	388.01256852142063	4.368	0	0	0	0	d32a021c4135fdbada3fca5c8a68932e993c87ffc91fad834056b07ba00f51d4	4915650	4915650	0	736.478663045579	736.478663045579	7.818	0	0	0	0	6e8d0f7b08eac71f3c2d5153de15be66d90e1c4acd1a893522be54dd157128a4	5422973	5422973	0	667.5805577494116	667.5805577494116	6.361	0	0	0	0	f829c32da86d6199a2aea1efca33db674a34db4c28025281cb903d4630cc0394
rocksdb	622	3114320596	9825414	9825414	0	316.96583940381544	316.96583940381544	4.218	0	0	0	0	91e83a785706b1f423b64c63da0faa9f083c55f6a2578c59f4f453d4aa317c5e	6014639	6014639	0	517.7901110939492	517.7901110939492	6.344	0	0	0	0	81354af48dd210f200524724f196ff3359d829b52403d84fa891a9ad2ada2c28	6013349	6013349	0	517.9011888383661	517.9011888383661	6.31	0	0	0	0	f93565ca0a8600aa863263e43f852e502d7aecb290dea1563e178aa1d3ca5f76
duckdb	689	1985715205	9590734	9590734	0	207.04517558301586	207.04517558301586	2.245	0	0	0	0	2d26a9330043e4a9d4a0650357e76c132e0cf56eb95b904381af720119110702	5907546	5907546	0	336.131992031886	336.131992031886	3.037	0	0	0	0	40b366592b3862ada223852ec4d6cbe5511a81b068faddbd956a158b188beab9	4992901	4992901	0	397.70770640154893	397.70770640154893	5.223	0	0	0	0	36b824e14560b891c71715239fe3cfb157c2a6a794c26e829ddda9e623272740
abseil	700	2581008467	5864879	5864879	0	440.07872404528723	440.07872404528723	5.388	0	0	0	0	7ce79ebfd5f8ad96a2b1398ea7f9fe2ee1462331b5d2dcdde5252223dd2df872	3540302	3540302	0	729.0362423883612	729.0362423883612	8.006	0	0	0	0	42c3bae0ea6ad82d491aff634c42907257bfb2a1d29e028e350ee3a18ad73fcc	3606422	3606422	0	715.6701204129744	715.6701204129744	7.877	0	0	0	0	57e13fd28f55ffb3d2f692d38be8a1a72c619ddff59d9440f3e9b57eb2c36f25
opencv	1506	4630994774	8567003	8567003	0	540.5618247127964	540.5618247127964	7.271	0	0	0	0	342197e026aa966c61f3de2b92cf3a445cd3b4d16a3c27e6f7a8112b520cb354	5045734	5045734	0	917.8039853071922	917.8039853071922	11.003	0	0	0	0	a1323db78abd9f1868ea3a519ac349decaf96511c8f474920483fcba2f138f8f	4761390	4761390	0	972.614042117953	972.614042117953	11.411	0	0	0	0	bfc38879f786bd4566e5b62700ad81111e491ce3591e0babd27fbf1a5163406f
godot	2207	5932762185	56079250	44731020	11348230	105.79246664318799	132.63194501265565	1.11	112	31189526	124407478	19756636	b94c51587a19aab644cf4976fc3d1f7b0f5f77e26bc684d73c7e6a5fb0ddd73c	45679086	34340572	11338514	129.8791789529239	172.76247422436646	1.266	78	31082936	123613862	19677055	204858147a61f78a9f5427ce358dcbc27804d100ce498a2d8cdc6e55e33f42b0	13715947	13707613	8334	432.54484615608385	432.8078262057734	5.339	34	106590	793616	79581	63edd4e603e80c956df70635577a8c0f28f95e7141cab54397086bc9b375e834
fmt	50	136350082	1046398	1046398	0	130.30422649890386	130.30422649890386	1.93	0	0	0	0	d3ffec97e43f6f406dab1c3ade28929379e5895d3002ad0436dceae297f3c7c7	613040	613040	0	222.4162893122798	222.4162893122798	2.888	0	0	0	0	f7ebb5624a9aee295ae56b47e5e27ef92586f71dcb9e4d240056185e174436f3	627974	627974	0	217.12695430065577	217.12695430065577	2.843	0	0	0	0	77a5ed382fec862912cc6dc2f6f0536fddd6448be23b6a00030fbe1ed3b4adee
spdlog	34	98384472	539513	539513	0	182.3579265003809	182.3579265003809	2.063	0	0	0	0	0faa1deab09b4f7c5b1b9e46c29afb9880b631de7f6209dccec66a6f34ed5b23	301099	301099	0	326.75124128608866	326.75124128608866	3.162	0	0	0	0	ed15789011fe91a4132079a7e0129791d48d687f017397fd3a38213b388453b2	293188	293188	0	335.5678677162776	335.5678677162776	3.262	0	0	0	0	8eaec0ada2f830be66924a45198d520afe8d1a031a7893f96eae88e767435fdd
catch2	857	947252235	1006074	1006074	0	941.5333613630806	941.5333613630806	10.168	0	0	0	0	970a308734f4fe179f9a6934952bcf536b49bdd2b1d6242de53995df18a0a63d	619809	619809	0	1528.2969995595417	1528.2969995595417	11.466	0	0	0	0	64676178ccda6a8df8899e24a2348a8c6667b89e38faea42f479747b6b3a37dd	611778	611778	0	1548.359429400861	1548.359429400861	11.723	0	0	0	0	5c2039122be0f2ae4f277687bd21575abac631504ec2f0e36abdd25c3a212382
nlohmann-json	99	293917707	1168818	1168818	0	251.46576028089916	251.46576028089916	3.097	0	0	0	0	5d2df75629966e4f941da34c113c38a8d4296011be566b2bd44db9d724d9e90d	687318	687318	0	427.6298700164989	427.6298700164989	4.8	0	0	0	0	92c9d4bd49f63b26b4537109652844f73d932de6dfc43e8053de886826170f1e	684633	684633	0	429.3069527761589	429.3069527761589	4.916	0	0	0	0	f1abde3b1235df776c4bbdee66c79670f9ea159054e6f187f5658a94614c1580
