corpus	corpus_id	project	tus	raw_ii_bytes	z19long_ii_bytes	cold_110pct_gate_bytes	p29_cold_bytes	p29_over_z19long	cold_pass	tu100_eligible	z6long_tu100_bytes	p29_tu100_bytes	p29_over_z6long_tu100	tu100_pass	tu200_eligible	z6long_tu200_bytes	p29_tu200_bytes	p29_over_z6long_tu200	tu200_pass	raw_source_bytes	z19long_source_bytes	source_110pct_gate_bytes	source_basis	candidate_source_bytes	source_pass
llvm	corpus	LLVM	1238	3620271340	7608807	8369687	9328055	1.2259550018813725	false	true	1593762	1607925	1.008886521325016	false	true	2884547	2975306	1.031463865903381	false	159248971	23389162	25728078	built llvm/ subtree		
rocksdb	corpus2	RocksDB	622	3114320596	6337047	6970751	9823481	1.550166978404926	false	true	3840198	4435639	1.1550547654053254	false	true	5414625	6229228	1.1504449523281852	false	32809668	4159458	4575403	filtered project source set		
duckdb	corpus3	DuckDB	689	1985715205	7167012	7883713	9589726	1.3380368276207715	false	true	2129543	1781171	0.8364099715291027	true	true	2847389	2491331	0.8749528076423699	true	63983867	7269271	7996198	filtered project source set		
abseil	corpus4	abseil+protobuf	700	2581008467	4119889	4531877	5863183	1.4231410118088132	false	true	1645017	1743408	1.0598115399415324	false	true	2329125	2480140	1.0648376536252884	false	34756832	3782763	4161039	filtered project source set		
opencv	corpus5	OpenCV	1506	4630994774	6596295	7255924	8563234	1.2981884527602237	false	true	639458	622144	0.972923944965893	true	true	1493491	1609831	1.0778980254986472	false	77963324	8972186	9869404	filtered project source set		
godot	corpus6	Godot	2207	5932762185	58289521	64118473	39589524	0.6791876707993535	true	true	1290414	1362035	1.0555023426590227	false	true	2211547	2372213	1.072648693425914	false	364874847	65161354	71677489	filtered project source set		
fmt	corpus7	fmt	50	136350082	739921	813913	1046398	1.4142023270051802	false	false	952554	1046398	1.0985182992250309		false	952554	1046398	1.0985182992250309		2526674	435733	479306	filtered project source set		
spdlog	corpus8	spdlog	34	98384472	472193	519412	539513	1.142568822494192	false	false	588456	539513	0.9168281060945933		false	588456	539513	0.9168281060945933		1149610	198813	218694	filtered project source set		
catch2	corpus9	Catch2	857	947252235	847768	932544	1006039	1.1866914061394156	false	true	532201	463168	0.8702877296359834	true	true	617728	589210	0.9538340499378367	true	2740336	249816	274797	filtered project source set		
nlohmann-json	corpus10	nlohmann-json	99	293917707	812814	894095	1168818	1.4379895031335583	false	false	1063308	1168818	1.0992280693834713		false	1063308	1168818	1.0992280693834713		5816059	406367	447003	filtered project source set		
range-v3	corpus11	range-v3	259	632049016	766091	842700	874082	1.1409636714176252	false	true	619941	554725	0.8948028925333217	true	true	897361	783889	0.873549218207611	true	3544049	309032	339935	filtered project source set		
eigen	corpus12	Eigen	650	3532268956	1402131	1542344	1377958	0.9827598134553761	true	true	768113	692626	0.9017240952828555	true	true	1159213	1085704	0.9365871500750941	true	15554674	1877377	2065114	filtered project source set		
re2	corpus13	re2	72	110231455	429535	472488	488243	1.1366780355500716	false	false	533747	488243	0.9147461250367683		false	533747	488243	0.9147461250367683		1123171	214279	235706	filtered project source set		
leveldb	corpus14	LevelDB	72	143868249	554104	609514	685350	1.2368616721770642	false	false	706226	685350	0.9704400574320402		false	706226	685350	0.9704400574320402		4771970	719661	791627	filtered project source set		
simdjson	corpus15	simdjson	153	468377342	1036075	1139682	1408595	1.3595492604299881	false	true	1162921	1211900	1.042117220344288	false	false	1328709	1408595	1.0601230216699067		16049094	572413	629654	filtered project source set		
cereal	corpus16	cereal	84	326899429	492465	541711	512588	1.0408617871320804	true	false	619374	512588	0.8275904380874883		false	619374	512588	0.8275904380874883		1975723	244555	269010	filtered project source set		
