corpus	report	tus	raw_bytes	online_budget	publication	row	pretraining_valid	selected	charged_wire_bytes	charged_ratio	model_wire_bytes	definition_wire_bytes	payload_wire_bytes	context_wire_bytes	selector_wire_bytes	promoted_assets	published_assets	selected_tus	c50_ratio	h200_fraction	final_window_ratio	exact
abseil	/tmp/cross-hybrid-installed-full-abseil.json	700	2581008467	524288	first-use	pretrained-online-k2	True	True	7510940	343.63321594900236	79138	57028	7330876	43198	700	15389	9487	697	207.68988938878036	0.17965858924088526	1216.6185628362136	True
catch2	/tmp/cross-hybrid-installed-full-catch2.json	857	947252235	524288	first-use	pretrained-online-k2	True	True	981891	964.7223928114221	79138	37366	844412	20118	857	11352	5088	855	1081.7612760824607	0.06625158398280263	3641.133109509233	True
cereal	/tmp/cross-hybrid-installed-full-cereal.json	84	326899429	524288	first-use	empty-online-k2	True	True	151522	2157.4387151700744	0	8687	140726	2025	84	13807	2792	49	1327.2450840417937	0.7563121745312072	5663.799065099333	True
duckdb	/tmp/cross-hybrid-installed-full-duckdb.json	689	1985715205	524288	first-use	pretrained-online-k2	True	True	5242891	378.74432350395995	79138	51793	5072468	38803	689	14583	9476	688	830.4310691950996	0.10217444600772949	84.48939702492021	True
eigen	/tmp/cross-hybrid-installed-full-eigen.json	650	3532268956	524288	first-use	pretrained-online-k2	True	True	1140650	3096.715869022049	79138	18281	1030372	12209	650	17235	5404	630	2387.6013758742674	0.09796932490437459	4463.8288308122665	True
fmt	/tmp/cross-hybrid-installed-full-fmt.json	50	136350082	524288	first-use	pretrained-online-k2	True	True	929416	146.70511590073767	79138	26536	820656	3036	50	11163	5181	50	101.8294789630886		146.70511590073767	True
godot	/tmp/cross-hybrid-installed-full-godot.json	2207	5932762185	524288	first-use	pretrained-online-k2	True	True	5247034	1130.6887252874672	79138	42515	5024169	99005	2207	11369	6761	2186	1582.72923128926	0.022998235011842127	704.1653414583294	True
leveldb	/tmp/cross-hybrid-installed-full-leveldb.json	72	143868249	524288	first-use	pretrained-online-k2	True	True	577535	249.10741167201988	79138	33953	460250	4122	72	13207	5658	72	303.8067832384894	0.8703309164484235	300.6858928136419	True
llvm	/tmp/cross-hybrid-installed-full-llvm.json	1238	3620271340	524288	first-use	pretrained-online-k2	True	True	3432366	1054.7451349885182	79138	58547	3224090	69353	1238	17409	10927	1232	918.7460672778035	0.06254074977705953	1052.8181971033987	True
nlohmann-json	/tmp/cross-hybrid-installed-full-nlohmann-json.json	99	293917707	524288	first-use	pretrained-online-k2	True	True	502142	585.3278694074585	79138	35076	382643	5186	99	14288	6300	99	401.9740452284883	0.6439311973810411	1013.14556339916	True
opencv	/tmp/cross-hybrid-installed-full-opencv.json	1506	4630994774	524288	first-use	empty-online-k2	True	True	4820749	960.6380199425442	0	46459	4720634	52150	1506	13897	6195	1481	743.6826491649	0.01669688452988956	1392.4071321819993	True
range-v3	/tmp/cross-hybrid-installed-full-range-v3.json	259	632049016	524288	first-use	pretrained-online-k2	True	True	621391	1017.1518673427842	79138	52928	474751	14315	259	13084	6668	259	850.2704096752233	0.2454638296596921	1647.9894118977375	True
re2	/tmp/cross-hybrid-installed-full-re2.json	72	110231455	524288	first-use	pretrained-online-k2	True	True	243561	452.58253579185504	79138	22601	138299	3451	72	10025	3757	71	303.44069237225165	0.8583874267104612	822.9152419395193	True
rocksdb	/tmp/cross-hybrid-installed-full-rocksdb.json	622	3114320596	524288	first-use	empty-online-k2	True	True	14479861	215.07945387044808	0	66054	14376603	36582	622	25328	19707	606	152.60045284680493	0.38803320716310735	119.08724941560132	True
simdjson	/tmp/cross-hybrid-installed-full-simdjson.json	153	468377342	524288	first-use	pretrained-online-k2	True	True	533104	878.585307932411	79138	39128	407887	6798	153	13710	7817	153	569.8465930931112	0.3870737496093481	1945.8737911755818	True
spdlog	/tmp/cross-hybrid-installed-full-spdlog.json	34	98384472	524288	first-use	pretrained-online-k2	True	True	275140	357.5796758014102	79138	8781	185576	1611	34	6904	1929	32	227.28129873812563		357.5796758014102	True
