corpus	tus	raw_bytes	regions	exact	p24_wire_bytes	p25_cold_wire_bytes	direct_cold_wire_bytes	direct_cold_ratio	direct_cold_pipeline_gbps	direct_cold_preloaded_regions	direct_cold_preloaded_raw_bytes	direct_cold_log_sha256	direct_bit0_wire_bytes	direct_bit0_ratio	direct_bit0_pipeline_gbps	direct_bit0_preloaded_regions	direct_bit0_preloaded_raw_bytes	direct_bit0_log_sha256	direct_bit1_wire_bytes	direct_bit1_ratio	direct_bit1_pipeline_gbps	direct_bit1_preloaded_regions	direct_bit1_preloaded_raw_bytes	direct_bit1_log_sha256	direct_cold_delta_vs_p24_bytes	direct_cold_delta_vs_p25_bytes
llvm	1238	3620271340	62318	True	9332043	9605794	9330294	388.01256852142063	4.8	0	0	ee4f262464d43222241d0e2e1da47304ba71bd28a2ca55c419054c41712eee40	4915650	736.478663045579	6.54	31159	27641008	59fa1ab920e69b93df884fd80362a649c124f7e14072a3dfde9de34e688c4d06	5422973	667.5805577494116	6.69	31159	24401461	d0c1fe97bd1e848998a47dc2018b0d604734c4095f4b64ddc179ddb71d697a4d	-1749	-275500
rocksdb	622	3114320596	641506	True	9829948	11959971	9825414	316.96583940381544	4.05	0	0	0c737a1e1c289c60ad283a9fba4ea72ac92f9d263f3a36b8a76a216f3b72db75	6014639	517.7901110939492	4.67	320753	54943698	053977116bb273f26719c91f5ba2818636bb5f0e47ed4307136b82467f41d143	6013349	517.9011888383661	4.88	320753	54786083	f3d0041fcda801be4b1b30c913318b760eec8ceb48d9b67b139be532d4953b20	-4534	-2134557
duckdb	689	1985715205	210074	True	9593739	10311810	9590734	207.04517558301586	2.65	0	0	f2d6f700cac8c5ba2899fe5a635813f628efac100609924e0d06b1d33cbc9e5f	5907546	336.131992031886	2.88	105037	38911378	2957c8b8fe94412bd6cf974002bc8b19ba1510c5d716229879de29df2f771b8e	4992901	397.70770640154893	4.3	105037	55177480	8f9a236f8e8734161c6e9737ce8a1ee972538afda8767bc21244d6026f3f1358	-3005	-721076
abseil	700	2581008467	278290	True	5870313	6799689	5864879	440.07872404528723	5.04	0	0	5747697b973ca918b1fbcf4e1458c4ccfc42f203cb419f237785ad917da9057b	3540302	729.0362423883612	4.29	139145	31114125	1ac84ce299a894424c93422ab44ade05cd98f91793518df366ea2eec56b13278	3606422	715.6701204129744	6.38	139145	30941411	22830c9bd242b574eb96e141d77d8617fe654e7d91da77fafec138fba96d65f4	-5434	-934810
opencv	1506	4630994774	94534	True	8564847	8947689	8564687	540.7079994867296	5.87	0	0	e65187146a3ef8d8b635338c57d2e6bc79079d0adadf50d6978d052171a11ea0	5044333	918.0588938121255	7.03	47267	36742736	7be205f9be13a7093475e9023260f471801eee39940f93df538ac9f63e2d7753	4760374	972.8216257798232	6.72	47267	38930271	93d04c08b7238722fed80e7a1c7b667f7ee970c4dd466e5768911778dc1997c0	-160	-383002
godot	2207	5932762185	102838	True	56078855	56538339	56079250	105.79246664318799	1.68	0	0	5c52c44ad3007fc7eb1a87731b9115ad915773e67050f51197707174aeaf414f	45679086	129.8791789529239	1.87	51419	95933308	acc3fbe7b7a3a660a66941e25fea6fdbaa925c762c4f06b6e2c973af6c4452a0	13715947	432.54484615608385	4.47	51419	251260942	dac9b043d47ca2099926acd248980f3ea9d90a1b48b8aab289f2c408431469c6	395	-459089
fmt	50	136350082	38937	True	1047430	1183376	1046398	130.30422649890386	1.85	0	0	88298a92f8c3368885f7d39d1136c28d7471847f249177197d62c668fc1e8897	613040	222.4162893122798	2.42	19468	4987715	797a573a72836939f2cb58a5aa3630c11e37732566cd51fe116bddda30a83877	627974	217.12695430065577	2.34	19469	4643605	f60a7e30ad6583362cfbf647e858296ff20c1c79a1bced7b3b5fa6e9d7306aee	-1032	-136978
spdlog	34	98384472	8630	True	539517	565995	539513	182.3579265003809	1.96	0	0	018108b6f3c1fee2288bcd911e5de95a1526d0b03f4a11c62bfb53da9a2eb403	301099	326.75124128608866	2.4	4315	2326419	b9253b9548588e0322bf1909e8473e0f3d5207dac4f4bb4b5f3591114f626092	293188	335.5678677162776	2.4	4315	2294234	f1c8649748f675c81e2890fff6c1fda97169bd9a406e99377eece5a6db42cc59	-4	-26482
catch2	857	947252235	30135	True	1006627	1109107	1006074	941.5333613630806	6.71	0	0	8a48b0b3c6c994b93561686527d802e2b7159c39a637e7af8f6ae321944b38ee	619809	1528.2969995595417	7.71	15067	5254744	597fa551719cfa2a855bf89ee6c4eaeceb507b7a57a6c544fd2f19cb34a32ea4	611778	1548.359429400861	7.52	15068	5464296	5bcc617f6414a6e032722d3c93f660d3d4fce05292c30d39041c61a1d6e50a99	-553	-103033
nlohmann-json	99	293917707	15653	True	1169044	1217739	1168818	251.46576028089916	2.93	0	0	7b4c46ac9169fe372c5bac681173e9f4538e8171a4f4fc7109d3468a34c404a2	687318	427.6298700164989	3.83	7826	7608222	a11a6191508e12b7a73c4430d3ac8880f1aabe9135e6d01ec4b4ec2f2575e6a5	684633	429.3069527761589	3.7	7827	7758287	2f56c7cdc78f110fe22779803e213cd8683816eeac612d6af68fa403a1974f18	-226	-48921
