corpus	raw_bytes	array_lines	array_text_bytes	array_values	baseline_line_wire_bytes	generated_array_line_wire_bytes	line_saving_bytes	line_change_fraction	structural_wire_bytes	cold_projection_wire_bytes	cold_projection_ratio	half_cold_projection_wire_bytes	half_cold_projection_ratio	exact	strict_array_line_wire_bytes	envelope_extension_saving_bytes
abseil	2581008467	428	31621	5118	3141417	3138190	3227	-0.0010272434382319062	7510940	10649130	242.36801194088156	9080035.0	284.25093812964377	True	3142117	3927
catch2	947252235	0	0	0	690999	691243	-244	0.0003531119437221175	981891	1673134	566.1544353291488	1327512.5	713.5542866827996	True	691243	0
cereal	326899429	39	2709	624	501387	500995	392	-0.000781831200250549	151522	652517	500.98224107571144	402019.5	813.1432156897862	True	501351	356
duckdb	1985715205	75330	16331125	3389019	7886760	6914109	972651	-0.12332706967119578	5242891	12157000	163.33924529077896	8699945.5	228.24455681935018	True	7828026	913917
eigen	3532268956	3	244	43	1077395	1078330	-935	0.0008678339884629072	1140650	2218980	1591.8435299101388	1679815.0	2102.7726005542277	True	1078036	-294
fmt	136350082	104	7998	1255	699964	699008	956	-0.0013657845260612866	929416	1628424	83.73131444881678	1278920.0	106.61345666656241	True	699336	328
godot	5932762185	1466584	175147421	38397333	67067667	51805645	15262022	-0.22756154616202773	5247034	57052679	103.98744264051123	31149856.5	190.4587324503405	True	51870999	65354
leveldb	143868249	5	365	52	539025	539172	-147	0.0002727146236258804	577535	1116707	128.83258455440864	847121.0	169.83199448484928	True	539092	-80
llvm	3620271340	25496	1883929	304676	7465094	7362680	102414	-0.01371905028925291	3432366	10795046	335.36414203329934	7113706.0	508.9149509411831	True	7464814	102134
nlohmann-json	293917707	143	10233	1202	846646	846478	168	-0.00019843004041830703	502142	1348620	217.93960270498732	925381.0	317.61804813368764	True	846396	-82
opencv	4630994774	606	42418	9126	6383300	6380541	2759	-0.0004322215781805694	4820749	11201290	413.4340575058766	8011019.5	578.0780803242334	True	6382755	2214
range-v3	632049016	2	145	32	720302	720583	-281	0.0003901141465663116	621391	1341974	470.9845466454641	981682.5	643.8426028782218	True	720599	16
re2	110231455	0	0	0	453417	453470	-53	0.00011689019158955816	243561	697031	158.14426474575737	470296.0	234.38739644819432	True	453470	0
rocksdb	3114320596	18	1628	250	4178290	4178690	-400	9.573294338105498e-05	14479861	18658551	166.91117096927837	16569206.0	187.95834851712266	True	4178911	221
simdjson	468377342	163	12104	3148	1045296	1044406	890	-0.0008514334695627346	533104	1577510	296.9092696718246	1055307.0	443.8304133299599	True	1045053	647
spdlog	98384472	104	7998	1255	513222	512060	1162	-0.002264127414647099	275140	787200	124.9802743902439	531170.0	185.22219251840278	True	513142	1082
