corpus	raw_bytes	array_lines	array_text_bytes	array_values	baseline_line_wire_bytes	generated_array_line_wire_bytes	line_saving_bytes	line_change_fraction	structural_wire_bytes	cold_projection_wire_bytes	cold_projection_ratio	half_cold_projection_wire_bytes	half_cold_projection_ratio	exact
abseil	2581008467	24	1325	341	3141417	3142117	-700	0.0002228293792259084	7510940	10653057	242.2786686488207	9081998.5	284.1894839555413	True
catch2	947252235	0	0	0	690999	691243	-244	0.0003531119437221175	981891	1673134	566.1544353291488	1327512.5	713.5542866827996	True
cereal	326899429	32	2160	512	501387	501351	36	-7.180082451274661e-05	151522	652873	500.7090643969041	402197.5	812.7833440038787	True
duckdb	1985715205	8299	701757	182305	7886760	7828026	58734	-0.0074471646151271775	5242891	13070917	151.91858421256902	9156904.0	216.85443082072283	True
eigen	3532268956	0	0	0	1077395	1078036	-641	0.0005949535685612073	1140650	2218686	1592.0544664724978	1679668.0	2102.956629524406	True
fmt	136350082	3	181	48	699964	699336	628	-0.0008971889982913872	929416	1628752	83.71445253789405	1279084.0	106.599787035097	True
godot	5932762185	1465845	174431128	38253925	67067667	51870999	15196668	-0.2265870974757479	5247034	57118033	103.86846103401355	31182533.5	190.2591457169444	True
leveldb	143868249	0	0	0	539025	539092	-67	0.00012429850192474667	577535	1116627	128.8418146793871	847081.0	169.8400141190748	True
llvm	3620271340	2193	113328	25135	7465094	7464814	280	-3.7507900101485525e-05	3432366	10897180	332.22093605868673	7164773.0	505.28765391450645	True
nlohmann-json	293917707	7	784	224	846646	846396	250	-0.00029528279824153625	502142	1348538	217.9528548694957	925340.0	317.63212116627403	True
opencv	4630994774	393	28124	6673	6383300	6382755	545	-8.537903592187313e-05	4820749	11203504	413.3523560129045	8012126.5	577.9982098385491	True
range-v3	632049016	1	75	17	720302	720599	-297	0.00041232705170890505	621391	1341990	470.9789312886087	981690.5	643.8373560709816	True
re2	110231455	0	0	0	453417	453470	-53	0.00011689019158955816	243561	697031	158.14426474575737	470296.0	234.38739644819432	True
rocksdb	3114320596	0	0	0	4178290	4178911	-621	0.0001486253945992555	14479861	18658772	166.9091940241298	16569316.5	187.95709503165082	True
simdjson	468377342	115	8764	2567	1045296	1045053	243	-0.000232470037195176	533104	1578157	296.78754521888504	1055630.5	443.6944006449226	True
spdlog	98384472	3	181	48	513222	513142	80	-0.00015587796314264768	275140	788282	124.80872581132132	531711.0	185.03373449110512	True
