corpus	tus	raw_bytes	regions	exact	p24_cold_wire_bytes	p24_cold_ratio	keymap_cold_wire_bytes	keymap_cold_ratio	keymap_cold_association_wire_bytes	keymap_cold_log_sha256	bit0_wire_bytes	bit0_ratio	bit0_pipeline_gbps	bit0_preloaded_regions	bit0_preloaded_raw_bytes	bit0_association_wire_bytes	bit0_missing_reply_wire_bytes	bit0_log_sha256	bit0_root_wire_bytes	bit0_line_def_wire_bytes	bit0_region_def_wire_bytes	bit0_block_def_wire_bytes	bit0_path_def_wire_bytes	bit0_missing_wire_bytes	bit0_framing_wire_bytes	bit0_control_wire_bytes	bit0_literal_wire_bytes	bit0_array_control_wire_bytes	bit0_array_values_wire_bytes	bit0_source_control_wire_bytes	bit0_source_files_wire_bytes	bit0_selector_wire_bytes	bit0_literal_raw_bytes	bit0_array_values_raw_bytes	bit0_source_reused_raw_bytes	bit0_source_package_raw_bytes	bit0_source_package_files	bit0_public_lines	bit0_literal_ops	bit0_publish_ops	bit0_public_ref_ops	bit0_array_ops	bit0_marker_ops	bit0_source_copy_ops	bit0_source_patch_ops	bit1_wire_bytes	bit1_ratio	bit1_pipeline_gbps	bit1_preloaded_regions	bit1_preloaded_raw_bytes	bit1_association_wire_bytes	bit1_missing_reply_wire_bytes	bit1_log_sha256	bit1_root_wire_bytes	bit1_line_def_wire_bytes	bit1_region_def_wire_bytes	bit1_block_def_wire_bytes	bit1_path_def_wire_bytes	bit1_missing_wire_bytes	bit1_framing_wire_bytes	bit1_control_wire_bytes	bit1_literal_wire_bytes	bit1_array_control_wire_bytes	bit1_array_values_wire_bytes	bit1_source_control_wire_bytes	bit1_source_files_wire_bytes	bit1_selector_wire_bytes	bit1_literal_raw_bytes	bit1_array_values_raw_bytes	bit1_source_reused_raw_bytes	bit1_source_package_raw_bytes	bit1_source_package_files	bit1_public_lines	bit1_literal_ops	bit1_publish_ops	bit1_public_ref_ops	bit1_array_ops	bit1_marker_ops	bit1_source_copy_ops	bit1_source_patch_ops	harder_half_bit	harder_half_ratio
llvm	1238	3620271340	62318	True	9332043	387.93984768394233	9605794	376.88413263911343	273751	da5edce377d130bb8b78dc7f8b4e2bc073e93875c788e7987a9bd43fe1657840	5191478	697.3488744438482	6.75	31159	27641008	273751	117769	f6dfb0d08e17f5cd73754cd88b89ce2c5e5e48a782df23d6c7fa5fa8306eed6f	211136	3498307	867080	73079	140452	391520	9904	867080	3487591	1813	7665	0	0	1238	17036893	25608	974019	0	0	21466	115550	21466	380328	2238	30208	13861	9910	5698874	635.2608146802334	5.43	31159	24401461	273751	117839	48fc5e785d54a79aa1556d09ee5b2f21191cb82754644a1e4531fdf4d1ce55a5	211136	3950234	922457	73079	140474	391590	9904	922457	3692422	496	256078	0	0	1238	18048137	279076	1084851	0	0	24941	121391	24941	413492	23259	30105	14251	11688	1	635.2608146802334
rocksdb	622	3114320596	641506	True	9829948	316.81964095842625	11959971	260.3953300555662	2130023	a2dd16c28e8a4cf53745baa33480eea8c91937db5a529beab0c7409169252a85	8149022	382.1710870335115	4.15	320753	54943698	2130023	679949	335e4e0de343037fbbc20793c0e23a9bff8702b93740481055bf0ce7a88aef23	1389952	2023905	1814949	46785	58483	2809972	4976	1814949	2022926	96	262	0	0	621	15787982	245	1708578	0	0	117053	138730	117053	596703	17	114992	22810	17664	8147792	382.2287800179484	4.5	320753	54786083	2130023	680158	9702173a57e6753970e5bd5cd1259e1c937d9b0b2695a347ac15af71678e3ebc	1389952	2045987	1791657	46785	58254	2810181	4976	1791657	2045301	40	25	0	0	621	15970288	5	1594887	0	0	117090	139088	117090	593017	1	115012	21952	15897	0	382.1710870335115
duckdb	689	1985715205	210074	True	9593739	206.98032383411723	10311810	192.5670861856454	718071	ea52bbb908b48ba7a5b44c16d6f56bb6cc3605e2e2ca3b46e0276bfd091354a1	6628753	299.5608985581451	3.54	105037	38911378	718071	257910	bc905f9663290e98b140d70acdb85951dc8f12a93216608c498913ff7ff163a4	504710	4018359	979897	47500	96794	975981	5512	979897	2772536	8606	1236658	0	0	559	16998891	3530104	1079463	0	0	49649	110362	49649	394547	90926	48001	15101	11202	5714128	347.50975214415917	4.01	105037	55177480	718071	257930	965919136bdb2f963d1861b16b87a91d39ed52045b904e64565e5e8a6ab97769	504710	3064835	1018424	47500	97146	976001	5512	1018424	2987515	3650	73110	0	0	560	17324503	171904	1196575	0	0	51917	120601	51917	399216	8477	48044	16357	12261	0	299.5608985581451
abseil	700	2581008467	278290	True	5870313	439.6713543213113	6799689	379.57742876181544	929376	c2346c6f3a78bab55ec4b9de17304f0c3bee7d47f3bb3e7e30558779f9bc6c1c	4476656	576.5483135179473	5.38	139145	31114125	929376	318851	a6cfe1bce3cd8b97205351ee2639ee3d039efccf2066144827a437c136c6d798	619091	1461904	988868	84528	68478	1248227	5560	988868	1460752	139	362	0	0	651	11030121	538	1652454	0	0	48208	83432	48208	353794	42	52136	22800	16182	4542746	568.1604181699792	6.07	139145	30941411	929376	318755	aa31d4c01a2a806e9c5ea8151e8eba93e3ba04eef1d70a5aabbfe1937e33278e	619091	1536186	980912	84528	68338	1248131	5560	980912	1530469	220	4846	0	0	651	11422779	5392	1399359	0	0	48868	84705	48868	350464	445	52447	19961	13152	1	568.1604181699792
opencv	1506	4630994774	94534	True	8564847	540.6978985147078	8947689	517.5632248729253	382842	80708c22507d3bbd1eab7348212dd3ff2d4a30f54899a02d9e179fe755b2758f	5427308	853.2765735793878	6.64	47267	36742736	382842	137484	b93159fb647852e9764ae33acf87413cb04bff47961fa894e477881c537b9410	255081	3518441	944340	33271	143801	520326	12048	944340	3511846	1118	3971	0	0	1506	27339320	10692	1354096	0	0	35195	118119	35195	367390	688	38071	18707	14176	5143292	900.3950726499681	6.18	47267	38930271	382842	137445	798fafdacb7768572bc62b70a2e7128ba2f60290d3823d573aa892730a6be0a7	255081	3199173	979601	33271	143831	520287	12048	979601	3194496	848	2323	0	0	1506	24267398	10075	1509953	0	0	37973	127029	37973	396944	407	38107	20633	15661	0	853.2765735793878
godot	2207	5932762185	102838	True	56078855	105.79321180862199	56538339	104.93343614144732	459484	de741fb292b72c9c25adb7f018988e48ed72c9c251fd326de53a8db09281c697	46138332	128.58640370874267	2.0	51419	95933308	459484	176582	87c74648883b976d313cbc328eeaf6fb45b248d35ae50830c2c9d7c0ba7213a4	328500	42809534	2087352	76243	182981	636066	17656	2087352	8360844	494620	33951863	0	0	2207	59612797	36038213	1244972	0	0	123471	263350	123471	833032	1377797	44348	17225	12651	14175153	418.5324973211929	4.34	51419	251260942	459484	176568	8eb0b3294a2d4122d9716e138391ab261605e9b497ff51d7af938e0fbc99467f	328500	10825223	2108796	76243	182683	636052	17656	2108796	7855696	40887	2926433	0	0	2207	55109042	2990736	1705358	0	0	122199	262821	122199	834066	112731	44369	23924	16288	0	128.58640370874267
fmt	50	136350082	38937	True	1047430	130.17584182236521	1183376	115.22126695150146	135946	69fa777508e5b0d00ee07142720371b5a9dd52fa062883840aade91a6048284c	750302	181.72693395459427	2.21	19468	4987715	135946	40313	26831ea77ebe936dea3fc7400c5662dae07bb5b9803630bcbaed46daadc2cb35	92824	231334	234543	9239	5743	176259	360	234543	229971	88	1245	0	0	30	1519362	1255	943962	0	0	9549	12604	9549	65010	104	7663	13502	9725	765234	178.18089891458038	2.28	19469	4643605	135946	40317	e2ee3c61c36adf66a8a3785fe7f649600e44cd88d3cb9920629053601172a0e9	92824	231666	248977	9239	5905	176263	360	248977	230300	91	1245	0	0	30	1645291	1255	980102	0	0	10552	12970	10552	70233	104	7796	13706	9852	1	178.18089891458038
spdlog	34	98384472	8630	True	539517	182.35657449162863	565995	173.8256910396735	26478	abf03b31d3ff2b47e76eda8f257c56c831fe7301e0cd3084540648dedb40d4f4	327631	300.2904853325845	2.37	4315	2326419	26478	8200	28d483c4b7753f74d0441e1a0f9748885d549720279fd102b1ae7534db185afb	15982	119863	146994	1375	8467	34678	272	146994	118493	91	1245	0	0	34	714824	1255	934269	0	0	2686	4228	2686	35808	104	3093	12653	10000	319714	307.72650556434814	2.67	4315	2294234	26478	8189	3f18bb615cf1752b543a17b47367548dfb97947aa67d9d65b0af840f93d00fd7	15982	110727	148179	1375	8512	34667	272	148179	110693	0	0	0	0	34	759779	0	927777	0	0	2894	4444	2894	36200	0	3105	12918	9532	0	300.2904853325845
catch2	857	947252235	30135	True	1006627	941.0161211650393	1109107	854.0674930371912	102480	4b66d6cb1cccbd266ae14c0bb6bfe98b0db1583c3676759ebabcd2150c594c34	722946	1310.2669286502726	6.24	15067	5254744	102480	40359	2f6624ffb0e268c5eb191f00bb64dcfb59d84d630dbaa637fa3025aaa3b07846	72785	211494	251867	14716	23673	142839	5572	251867	211253	0	0	0	0	241	1889415	0	1067653	0	0	11526	8538	11526	64556	0	7455	14615	11336	714887	1325.0377122538248	6.42	15068	5464296	102480	40359	815d71e490d2726be00fa7becd881343cafccf8bf709f0e1469a1690f0d87ce3	72785	207477	247673	14716	23825	142839	5572	247673	207236	0	0	0	0	241	1778633	0	1021452	0	0	11448	8551	11448	62827	0	7433	13504	11103	0	1310.2669286502726
nlohmann-json	99	293917707	15653	True	1169044	251.41714683108592	1217739	241.36346704835765	48695	d72c4447f333a31b19fdb13c062ef964ff53fa6e9b68a5767f15f19fd4b7f9a0	736294	399.18525344495544	3.44	7826	7608222	48695	16742	46289232a9523acf9f6d342f611ebf1a1797e0b7afafd0eb1b7b80827f9f1d80	31200	282298	340403	6016	10148	65437	792	340403	280915	588	699	0	0	96	3359801	1285	1498500	0	0	16327	13514	16327	104484	151	4874	19730	16267	733630	400.63479819527555	3.33	7827	7758287	48695	16760	22090149f0befec115057f3e30686a12a20e09c4be225a3f70f9bf45586dfc34	31200	284519	335454	6016	10194	65455	792	335454	283888	254	282	0	0	95	3222131	531	1502600	0	0	15539	13064	15539	104311	34	4862	20010	15718	0	399.18525344495544
