corpus	tus	raw_bytes	exact	p21_wire_bytes	p24_wire_bytes	saving_bytes	p21_ratio	p24_ratio	p24_pipeline_gbps	p21_log_sha256	p24_log_sha256	p21_root_wire_bytes	p24_root_wire_bytes	p21_line_def_wire_bytes	p24_line_def_wire_bytes	p21_region_def_wire_bytes	p24_region_def_wire_bytes	p21_block_def_wire_bytes	p24_block_def_wire_bytes	p21_path_def_wire_bytes	p24_path_def_wire_bytes	p21_missing_wire_bytes	p24_missing_wire_bytes	p21_framing_wire_bytes	p24_framing_wire_bytes	p24_control_wire_bytes	p24_literal_wire_bytes	p24_array_control_wire_bytes	p24_array_values_wire_bytes	p24_source_control_wire_bytes	p24_source_files_wire_bytes	p24_selector_wire_bytes	p24_literal_raw_bytes	p24_array_values_raw_bytes	p24_source_reused_raw_bytes	p24_source_package_raw_bytes	p24_source_package_files	p24_public_lines	p24_literal_ops	p24_publish_ops	p24_public_ref_ops	p24_array_ops	p24_marker_ops	p24_source_copy_ops	p24_source_patch_ops
llvm	1238	3620271340	True	10160230	9332043	828187	356.31785304072844	387.93984768394233	5.37	c8353bc6c13b190eb32b7210b04d533b54a4b50b483d88afb79c4a34d4bf05e5	21bec758332ab711679bc66a78db1a2a09c7cd84dc6179bbac952c5db5e8b5fc	211136	211136	7375202	6916932	2311941	1800879	73079	73079	0	141145	178968	178968	9904	9904	1800879	6649726	2264	263704	0	0	1238	33646832	304684	1803269	0	0	62637	230847	62637	820679	25497	59463	24347	18885
rocksdb	622	3114320596	True	10043263	9829948	213315	310.09051500493416	316.81964095842625	2.01	371e3043c69380fe97aedc00c25cb914e3cbb415d802a9cd53edf2d42893c88d	f6b2e6fcec0fe544e5d2dca0367f3c1ab4eb1f68db1d80f56015cb1e1477580d	1389952	1389952	4188359	3522620	3049555	3443059	46785	46785	0	58920	1363636	1363636	4976	4976	3443059	3521608	117	274	0	0	621	30118741	250	2962834	0	0	208626	255539	208626	1332755	18	162270	39927	29524
duckdb	689	1985715205	True	10374004	9593739	780265	191.4126122372808	206.98032383411723	1.07	a5584aec769de3fde00faf5527cc1872bf5b0efc9834d16065a7d9db9946b435	f39acf440228323790738232fecef0c4274adadd3385815a7ff00dfe172c5aa4	504710	504710	6931144	6438812	2403152	2016440	47500	47500	0	98779	481986	481986	5512	5512	2016440	5118367	12001	1307884	0	0	560	31439473	3701352	1997254	0	0	115723	215958	115723	856374	99357	79229	27182	20727
abseil	700	2581008467	True	6175917	5870313	305604	417.91501844989176	439.6713543213113	3.37	061654411eacca9c96e06f625f66b4d4c1bea209c3feb11d169f1bff721b8465	a5946ff7b2e95af2147fd52bee68c00efdac8346b53c640294e0a0c9b9bb3f90	619091	619091	3144074	2569042	1719970	1920620	84528	84528	0	68778	602694	602694	5560	5560	1920620	2563162	304	4925	0	0	651	20987587	5674	2748207	0	0	100841	154629	100841	770534	465	75976	38334	25528
opencv	1506	4630994774	True	8981229	8564847	416382	515.6304080432644	540.6978985147078	5.36	89878090fd389da7cf9342891c3bdffaa3c9c10a684fa80cd2e8f02c85341f3c	9bcd10a1b6f2949b8895443bc9aa05214a93fd3d4f30751f8270eb30d0ccc071	255081	255081	6387587	5984214	2056815	1898915	33271	33271	0	144891	236427	236427	12048	12048	1898915	5975794	1652	5262	0	0	1506	48638416	19554	2476812	0	0	92524	228368	92524	814254	1027	72610	33809	25054
godot	2207	5932762185	True	61694666	56078855	5615811	96.16329205834424	105.79321180862199	1.59	55797e82540b40abab180ce6fdb6b0d5ed2b8884ffd30b7854b49709b0383605	26d0e3079acbdbb5ac96adb1329288fc974afb0fb015d634ec0cb49c95391ca0	328500	328500	51829789	51023239	9161536	4166939	76243	76243	0	185336	280942	280942	17656	17656	4166939	13673063	535215	36812754	0	0	2207	96196134	38949170	2656036	0	0	264689	467805	264689	1844145	1487486	85580	36950	25130
fmt	50	136350082	True	1244155	1047430	196725	109.5925202245701	130.17584182236521	1.25	06fe3921f4d69e2a69af00e89243b4b6daf66523f1a86ad66f51076a5077f518	4d6cb7f8c4a9be7c166d1dad6e8304983b148716b23b0f11c1a6f14b240cd283	92824	92824	703981	380928	359218	479473	9239	9239	0	6073	78533	78533	360	360	479473	379562	91	1245	0	0	30	2861293	1255	1731804	0	0	23961	22866	23961	146487	104	11953	24021	17541
spdlog	34	98384472	True	746571	539517	207054	131.78180240057543	182.35657449162863	1.9	68f3011de06ec3149812e5a1818b1cae2afb4f593ff118a55d7741ef82bc9196	c1880208ee4f6efff41f6dd062e7657fb69628aee3201267675c641a2dc69b4f	15982	15982	516393	213013	197103	284621	1375	1375	0	8808	15446	15446	272	272	284621	211643	91	1245	0	0	34	1426119	1255	1661480	0	0	6516	8471	6516	77698	104	5496	22488	17595
catch2	857	947252235	True	1197783	1006627	191156	790.8379355859951	941.0161211650393	5.91	8153023e01a4b7a8d44b26f48cc4b6bf7b5b2563c0a261cc620d5823118885cd	d99cf1350122a365c0b17674c81ef87dc9b1617ad155c1429364a0bfb293c61a	72785	72785	695888	325475	341488	496757	14716	14716	0	23988	67334	67334	5572	5572	496757	325225	0	0	0	0	250	3277560	0	1812025	0	0	25371	14411	25371	142975	0	10891	24089	19313
nlohmann-json	99	293917707	True	1381972	1169044	212928	212.67992911578526	251.41714683108592	3.06	0a5bc88e8e4bea790971b0ebdeb25849caaf387c3d6e1dffca51aa55390bc315	9d8eb88d8bd1cc9ad42b00a32833a4f28a3d82d636febc4ab5384657e20e7b6c	31200	31200	851650	459486	462700	631555	6016	6016	0	10381	29614	29614	792	792	631555	457867	697	825	0	0	97	5830508	1464	2302156	0	0	34768	21882	34768	234188	174	7537	30305	24286
