corpus	tus	raw_bytes	cold_p26_wire_bytes	cold_p27_wire_bytes	cold_saving_bytes	cold_p26_ratio	cold_p27_ratio	cold_p27_pipeline_gbps	cold_blob_count	cold_blob_wire_bytes	cold_mo_selected_tus	cold_mo_members	cold_mo_member_raw_bytes	cold_mo_new_originals	cold_log_sha256	bit0_p26_wire_bytes	bit0_p27_wire_bytes	bit0_saving_bytes	bit0_p26_ratio	bit0_p27_ratio	bit0_p27_pipeline_gbps	bit0_blob_count	bit0_blob_wire_bytes	bit0_mo_selected_tus	bit0_mo_members	bit0_mo_member_raw_bytes	bit0_mo_new_originals	bit0_log_sha256	bit1_p26_wire_bytes	bit1_p27_wire_bytes	bit1_saving_bytes	bit1_p26_ratio	bit1_p27_ratio	bit1_p27_pipeline_gbps	bit1_blob_count	bit1_blob_wire_bytes	bit1_mo_selected_tus	bit1_mo_members	bit1_mo_member_raw_bytes	bit1_mo_new_originals	bit1_log_sha256
llvm	1238	3620271340	9330294	9330294	0	388.01256852142063	388.01256852142063	3.828	0	0	0	0	0	0	17d0c8e1b5f1beeaab0bf0ada85c094a3465e94c755573f8e53b7080b1ac2f51	4915650	4915650	0	736.478663045579	736.478663045579	6.034	0	0	0	0	0	0	01cac619f9e9859479ed262b4e6de53a11627b9590924e9a960807b155e7f489	5422973	5422973	0	667.5805577494116	667.5805577494116	5.495	0	0	0	0	0	0	a8c8bff66f0bc86b0254645e57e327170934a847b6262e18cc78ac4c43fdd69c
rocksdb	622	3114320596	9825414	9825414	0	316.96583940381544	316.96583940381544	3.312	0	0	0	0	0	0	6a8d4b1a1a9e4956e644ad5aa34ba06f8ab6dc93a71c8740d31084db2bd0fc30	6014639	6014639	0	517.7901110939492	517.7901110939492	4.609	0	0	0	0	0	0	99e9ff24652ed0b8403deb87b4b4935a013695760be211048ed217d5bf87e962	6013349	6013349	0	517.9011888383661	517.9011888383661	4.827	0	0	0	0	0	0	8beb1865c8a3207232296c144f8d3eb086dc96d31c67119b61226197e708ce06
duckdb	689	1985715205	9590734	9590734	0	207.04517558301586	207.04517558301586	2.084	0	0	0	0	0	0	6f7515fb429080e30c3e897350214114348fc74e4e1cd92fb1bcc8fb78fcf4a6	5907546	5907546	0	336.131992031886	336.131992031886	2.627	0	0	0	0	0	0	ae5a0be37a585cdaee16699027d10e542050432b9e1511dcc1d9a55651e39945	4992901	4992901	0	397.70770640154893	397.70770640154893	3.444	0	0	0	0	0	0	235882bda8aa19459a11854eedbf3900b192c74960766bfb16c0e721e34cdae2
abseil	700	2581008467	5864879	5864879	0	440.07872404528723	440.07872404528723	3.683	0	0	0	0	0	0	c714b200322e64a0202273a54bedfd3c74a0fed0a5f0a23bc06184569067bef7	3540302	3540302	0	729.0362423883612	729.0362423883612	6.148	0	0	0	0	0	0	6c48fbbab1420d188ca2ffd0a4e46e11e902d1af53c83a7aba6eddce484b77fb	3606422	3606422	0	715.6701204129744	715.6701204129744	6.166	0	0	0	0	0	0	af5f8535661fd11fb91c5db52c2d2ce36b66cab9ef4703b287081fad4a287916
opencv	1506	4630994774	8564687	8564687	0	540.7079994867296	540.7079994867296	6.198	0	0	0	0	0	0	fe8b285e1d28db66bbf627ae4eac3d7694a06c7a45a78c976db0c0c65df58b5b	5044333	5044333	0	918.0588938121255	918.0588938121255	7.149	0	0	0	0	0	0	1342198d71892f13b378031b23bed7d344cae227cdb8d402c1a48d7a6a20d86e	4760374	4760374	0	972.8216257798232	972.8216257798232	7.103	0	0	0	0	0	0	86e414fb8d1d059fb25d9cdd85862fd29f0c16ffe2c84221ca863a5ab264a8ea
godot	2207	5932762185	44731020	41695954	3035066	132.63194501265565	142.2862799829451	1.015	112	16721527	4	107	114059263	34542	086de1fa4debef3c5a97c821a5031afc2515bca1d02da9a90c7799d23784c56a	34340572	31314252	3026320	172.76247422436646	189.45885039821485	1.12	78	16650702	3	76	113934528	34429	527e35ca2d0d19b14ad9166f51fef6211d0d282b46b029fcd88959c106a4aac7	13707613	13698513	9100	432.8078262057734	433.0953429032772	4.497	34	70472	1	31	124735	161	d216c104bd1602e97d089f274d5efc21faaa4d029ee0dffcdb10dc1d8033d1e3
fmt	50	136350082	1046398	1046398	0	130.30422649890386	130.30422649890386	1.251	0	0	0	0	0	0	2d307c56d3e1eeed063d371308474916dc076fbcab79a1b7ec64f4178e611a45	613040	613040	0	222.4162893122798	222.4162893122798	2.434	0	0	0	0	0	0	ae167a5594aab3a197ae724177e70d8229f9d93069da8ebafb2b3892623a164f	627974	627974	0	217.12695430065577	217.12695430065577	2.233	0	0	0	0	0	0	bb9673510d0121c4c6907755b5a89597d4c58ae5f8d5861ca965e5ae0660685c
spdlog	34	98384472	539513	539513	0	182.3579265003809	182.3579265003809	1.745	0	0	0	0	0	0	6ccbb360b3c6fc80d928c513aa0f715eb010b9f6bd51db05302d1d7b5ccdf9b6	301099	301099	0	326.75124128608866	326.75124128608866	2.447	0	0	0	0	0	0	e1623e5e09bd062790ff515a0cf8b5f8bd5dc7969cd6443e14c803ec80717e45	293188	293188	0	335.5678677162776	335.5678677162776	2.55	0	0	0	0	0	0	c665abae3461867cd9b05c6902fbdcb2cc3bd4b348bc7e24c4271747119ffa7f
catch2	857	947252235	1006074	1006074	0	941.5333613630806	941.5333613630806	6.861	0	0	0	0	0	0	bb48dc2151ef672f4a833da5e9ce9c12df89237f015e8fd39480b2de47a3e91c	619809	619809	0	1528.2969995595417	1528.2969995595417	7.549	0	0	0	0	0	0	1ee8c36f45b41e90e1b1766264a16164754ffd9695de616dec963f35fef36b52	611778	611778	0	1548.359429400861	1548.359429400861	7.638	0	0	0	0	0	0	50ce2375b40fd40a206edef26c3152de85c12675efdadb5ea79b9a0d748622c9
nlohmann-json	99	293917707	1168818	1168818	0	251.46576028089916	251.46576028089916	2.824	0	0	0	0	0	0	187f19779098eebd167571263f50c45d9ae88ba60de2899d267017cec4d76715	687318	687318	0	427.6298700164989	427.6298700164989	3.862	0	0	0	0	0	0	f6ad06e98e908b626c545aa298cadf3f028464c9c6efe3ff3396f07d0a2fa75d	684633	684633	0	429.3069527761589	429.3069527761589	3.745	0	0	0	0	0	0	17684c2fa103b325aafed4511a47f8c79cc15953008d5abf973c65a13596054f
