corpus	report	tus	raw_bytes	online_budget	publication	row	pretraining_valid	selected	charged_wire_bytes	charged_ratio	model_wire_bytes	definition_wire_bytes	payload_wire_bytes	selector_wire_bytes	promoted_assets	published_assets	selected_tus	c50_ratio	h200_fraction	final_window_ratio	exact
llvm	/tmp/online-bootstrap-llvm-z3-firstuse512k.json	1238	3620271340	524288	first-use	empty-online-k2	True	False	4635624	780.9674253131833	0	59950	4574436	1238	19028	12140	1228	631.1069655373069	0.06254074977705953	921.4249389820015	True
llvm	/tmp/online-bootstrap-llvm-z3-firstuse512k.json	1238	3620271340	524288	first-use	pretrained-online-k2	True	True	4417664	819.4990248239794	79138	59480	4277808	1238	17409	11033	1224	668.5511308415803	0.06254074977705953	927.5766833873093	True
rocksdb	/tmp/online-bootstrap-rocksdb-z3-firstuse512k.json	622	3114320596	524288	first-use	empty-online-k2	True	True	16574832	187.8945497607457	0	67261	16506949	622	25328	20043	593	131.64593145230484	0.39494535809183595	109.85738019578325	True
duckdb	/tmp/online-bootstrap-duckdb-z3-firstuse512k-empty.json	689	1985715205	524288	first-use	empty-online-k2	True	False	7323010	271.161066965633	0	56476	7265845	689	16979	11741	685	408.82268204066094	0.10217444600772949	72.97236932221023	True
duckdb	/tmp/online-bootstrap-duckdb-z3-firstuse512k-pre.json	689	1985715205	524288	first-use	pretrained-online-k2	True	True	6873100	288.91114708064777	79138	53092	6740181	689	14583	9488	680	462.7304032671962	0.10217444600772949	73.74475515055569	True
abseil	/tmp/online-bootstrap-abseil-z3-firstuse512k.json	700	2581008467	524288	first-use	empty-online-k2	True	False	9222174	279.8698514038013	0	62632	9158842	700	17763	11865	696	171.1865899388092	0.2046810526793983	1018.6981565723723	True
abseil	/tmp/online-bootstrap-abseil-z3-firstuse512k.json	700	2581008467	524288	first-use	pretrained-online-k2	True	True	9057215	284.9671192524413	79138	59018	8918359	700	15389	9736	693	174.68375997412235	0.2046810526793983	1028.2345451565689	True
opencv	/tmp/online-bootstrap-opencv-z3-firstuse512k.json	1506	4630994774	524288	first-use	empty-online-k2	True	True	7245168	639.1839049142822	0	50574	7193088	1506	13897	6558	1473	475.22799395828906	0.01669688452988956	936.1179287411684	True
godot	/tmp/online-bootstrap-godot-z3-firstuse512k.json	2207	5932762185	524288	first-use	empty-online-k2	True	False	8634807	687.0752507844124	0	46260	8586340	2207	12622	8276	2170	916.804640075009	0.022998235011842127	410.20808495426695	True
godot	/tmp/online-bootstrap-godot-z3-firstuse512k.json	2207	5932762185	524288	first-use	pretrained-online-k2	True	True	7899272	751.0517659095674	79138	44712	7773215	2207	11369	6959	2173	995.8482880056572	0.022998235011842127	529.3908153668581	True
fmt	/tmp/online-bootstrap-fmt-z3-firstuse512k.json	50	136350082	524288	first-use	empty-online-k2	True	False	1209222	112.75851911394268	0	30157	1179015	50	13645	7065	48	74.50590378465998		112.75851911394268	True
fmt	/tmp/online-bootstrap-fmt-z3-firstuse512k.json	50	136350082	524288	first-use	pretrained-online-k2	True	True	1116040	122.1731138668865	79138	26691	1010161	50	11163	5219	48	82.59587055587659		122.1731138668865	True
spdlog	/tmp/online-bootstrap-spdlog-z3-firstuse512k.json	34	98384472	524288	first-use	empty-online-k2	True	False	462996	212.49529585568774	0	10840	452122	34	9263	2809	31	125.93217267900812		212.49529585568774	True
spdlog	/tmp/online-bootstrap-spdlog-z3-firstuse512k.json	34	98384472	524288	first-use	pretrained-online-k2	True	True	380252	258.7349231562227	79138	7886	293194	34	6904	1692	27	157.26626115961935		258.7349231562227	True
catch2	/tmp/online-bootstrap-catch2-z3-firstuse512k.json	857	947252235	524288	first-use	empty-online-k2	True	False	1177453	804.4926081975246	0	38998	1137598	857	13522	6089	820	792.0595207089527	0.06625158398280263	3472.104990583804	True
catch2	/tmp/online-bootstrap-catch2-z3-firstuse512k.json	857	947252235	524288	first-use	pretrained-online-k2	True	True	1156614	818.9873501444735	79138	38899	1037720	857	11352	5336	852	806.7309560855333	0.06625158398280263	3666.476583474197	True
nlohmann-json	/tmp/online-bootstrap-nlohmann-json-z3-firstuse512k.json	99	293917707	524288	first-use	empty-online-k2	True	False	819926	358.46857765212957	0	42429	777398	99	17396	8900	96	231.0887492158806	0.6439311973810411	731.2246923322053	True
nlohmann-json	/tmp/online-bootstrap-nlohmann-json-z3-firstuse512k.json	99	293917707	524288	first-use	pretrained-online-k2	True	True	722970	406.5420515374082	79138	35968	607765	99	14288	6446	97	271.5591225884041	0.6439311973810411	740.1566883628055	True
range-v3	/tmp/online-bootstrap-range-v3-z3-firstuse512k.json	259	632049016	524288	first-use	empty-online-k2	True	False	890225	709.9879423741189	0	57628	832338	259	15285	8403	256	579.1078785057605	0.2454638296596921	1310.574883097348	True
range-v3	/tmp/online-bootstrap-range-v3-z3-firstuse512k.json	259	632049016	524288	first-use	pretrained-online-k2	True	True	778550	811.8284194977844	79138	56143	643010	259	13084	6954	256	657.2429607983953	0.2454638296596921	1521.4315323950614	True
eigen	/tmp/online-bootstrap-eigen-z3-firstuse512k.json	650	3532268956	524288	first-use	empty-online-k2	True	False	2492788	1416.9953305295116	0	23464	2468674	650	19720	8141	632	1234.4423462082707	0.09796932490437459	1783.3605329194154	True
eigen	/tmp/online-bootstrap-eigen-z3-firstuse512k.json	650	3532268956	524288	first-use	pretrained-online-k2	True	True	1408832	2507.2322008585834	79138	18296	1310748	650	17235	5404	625	1768.1939347821087	0.09796932490437459	4376.098306332842	True
re2	/tmp/online-bootstrap-re2-z3-firstuse512k.json	72	110231455	524288	first-use	empty-online-k2	True	False	391804	281.34336300803466	0	27908	363824	72	12614	5938	70	173.29952648016925	0.8583874267104612	504.2645751139639	True
re2	/tmp/online-bootstrap-re2-z3-firstuse512k.json	72	110231455	524288	first-use	pretrained-online-k2	True	True	327644	336.43666601555344	79138	23236	225198	72	10025	3892	69	212.4741349623441	0.8583874267104612	693.3775218365927	True
leveldb	/tmp/online-bootstrap-leveldb-z3-firstuse512k.json	72	143868249	524288	first-use	empty-online-k2	True	False	823262	174.7539045893045	0	40017	783173	72	15663	7727	70	168.07550738176357		254.10197506567084	True
leveldb	/tmp/online-bootstrap-leveldb-z3-firstuse512k.json	72	143868249	524288	first-use	pretrained-online-k2	True	True	722389	199.15620116031667	79138	35568	607611	72	13207	5928	70	213.1746028058417	0.8874885799159201	265.82208041969335	True
simdjson	/tmp/online-bootstrap-simdjson-z3-firstuse512k.json	153	468377342	524288	first-use	empty-online-k2	True	False	910698	514.3058862542797	0	45394	865151	153	16284	10354	149	318.0152751469231	0.3870737496093481	1410.598306279909	True
simdjson	/tmp/online-bootstrap-simdjson-z3-firstuse512k.json	153	468377342	524288	first-use	pretrained-online-k2	True	True	754467	620.8056044863459	79138	38587	636589	153	13710	7367	140	393.7514620713387	0.3870737496093481	1506.1305517382532	True
cereal	/tmp/online-bootstrap-cereal-z3-firstuse512k.json	84	326899429	524288	first-use	empty-online-k2	True	True	271696	1203.1808675873035	0	8699	262913	84	13807	2792	47	706.9770163119802	0.7563121745312072	4476.651845546419	True
cereal	/tmp/online-bootstrap-cereal-z3-firstuse512k.json	84	326899429	524288	first-use	pretrained-online-k2	True	False	325411	1004.5739971912443	79138	7991	238198	84	10751	2202	78	569.983856302278	0.7563121745312072	4195.787727041249	True
