corpus	screen_tus	raw_bytes	empty_wire_bytes	installed_wire_bytes	seed_wire_bytes	empty_ratio	installed_ratio	seed_ratio	seed_vs_empty_percent	seed_vs_installed_percent	seed_first_strict_win_vs_empty_tu	seed_stable_strict_win_vs_empty_tu	seed_first_strict_win_vs_installed_tu	seed_stable_strict_win_vs_installed_tu	seed_selected_tus	promoted_assets	seed_published_assets	all_published_assets	candidate_observations	final_logical_state_bytes	definition_wire_bytes	seed_artifact_assets	seed_artifact_raw_bytes	seed_artifact_compressed_bytes	seed_artifact_sha256	seed_strictly_smaller_than_empty	seed_strictly_smaller_than_installed	exact
llvm	1238	3620271340	4635624	4417664	4336582	780.9674253131833	819.4990248239794	834.8213731459476	6.895799502926492	1.8697213612010488	2	2	1	1	1231	17409	1612	12839	1662077	54239451	67349	4476	248831	79134	8fb47610e74309ea15bd1c0c2080ee07b5931518bb8e638b49ddb2785f322430	True	True	True
rocksdb	622	3114320596	16574832	16398399	16222540	187.8945497607457	189.91613730096455	191.97490627238398	2.1716204737359135	1.0840410934416012	2	2	1	1	594	23461	1557	19766	1900587	36040876	68743	4557	248586	82083	4a2950b18807e6981e87cbacb28311e5789c089fbc630669eae9ebb9a4c504a6	True	True	True
duckdb	689	1985715205	7323010	6873100	6805445	271.161066965633	288.91114708064777	291.78330072464036	7.605160279746581	0.994130435261753	2	2	1	1	686	14583	1897	11569	1146045	25965263	61663	4476	248831	79134	8fb47610e74309ea15bd1c0c2080ee07b5931518bb8e638b49ddb2785f322430	True	True	True
abseil	700	2581008467	9222174	9057215	8984575	279.8698514038013	284.9671192524413	287.27106924924107	2.644521304569225	0.8084967847672209	2	2	1	1	697	15389	1930	11667	2469580	44687572	68291	4476	248831	79134	8fb47610e74309ea15bd1c0c2080ee07b5931518bb8e638b49ddb2785f322430	True	True	True
opencv	1506	4630994774	7245168	7158584	7050009	639.1839049142822	646.9149169724068	656.877852780046	2.7682092320733265	1.5400689559403435	2	2	1	1	1474	12242	1336	7034	5943949	34784537	56552	4557	248586	82083	4a2950b18807e6981e87cbacb28311e5789c089fbc630669eae9ebb9a4c504a6	True	True	True
godot	2207	5932762185	8634807	7899272	7820558	687.0752507844124	751.0517659095674	758.6111099745057	10.41164837598545	1.0065010706397093	2	2	1	1	2172	11369	1666	8625	3034180	46653867	53205	4476	248831	79134	8fb47610e74309ea15bd1c0c2080ee07b5931518bb8e638b49ddb2785f322430	True	True	True
fmt	50	136350082	1209222	1116040	1042007	112.75851911394268	122.1731138668865	130.85332632122433	16.047396994453965	7.104846704484702	2	2	1	1	49	11163	1774	6993	103676	6080541	33117	4476	248831	79134	8fb47610e74309ea15bd1c0c2080ee07b5931518bb8e638b49ddb2785f322430	True	True	True
spdlog	34	98384472	462996	380252	304544	212.49529585568774	258.7349231562227	323.05503309866555	52.029263423347686	24.859462015340974	2	2	1	1	32	6904	1417	3393	62523	2017646	12868	4476	248831	79134	8fb47610e74309ea15bd1c0c2080ee07b5931518bb8e638b49ddb2785f322430	True	True	True
catch2	857	947252235	1177453	1156614	1083120	804.4926081975246	818.9873501444735	874.5588992909373	8.70937661570279	6.78539773986262	2	2	1	1	854	11352	1660	7003	46559	2975148	46386	4476	248831	79134	8fb47610e74309ea15bd1c0c2080ee07b5931518bb8e638b49ddb2785f322430	True	True	True
nlohmann-json	99	293917707	819926	722970	648648	358.46857765212957	406.5420515374082	453.12358474858473	26.405384738718073	11.457986457986458	2	2	1	1	98	14288	1988	8434	107038	6460649	43696	4476	248831	79134	8fb47610e74309ea15bd1c0c2080ee07b5931518bb8e638b49ddb2785f322430	True	True	True
range-v3	259	632049016	890225	778550	705428	709.9879423741189	811.8284194977844	895.9794847950465	26.196436773136323	10.365622005364127	2	2	1	1	257	13084	1672	8626	243102	13775462	64098	4476	248831	79134	8fb47610e74309ea15bd1c0c2080ee07b5931518bb8e638b49ddb2785f322430	True	True	True
eigen	650	3532268956	2492788	1408832	1488122	1416.9953305295116	2507.2322008585834	2373.6420508533574	67.51234105805838	-5.328192177791868	2	126	1		649	17235	1383	8508	1038507	9433584	26498	4476	248831	79134	8fb47610e74309ea15bd1c0c2080ee07b5931518bb8e638b49ddb2785f322430	True	False	True
re2	72	110231455	391804	327644	252641	281.34336300803466	336.43666601555344	436.316571736179	55.08330001860347	29.687580400647562	2	2	1	1	71	10025	1466	5359	49005	3618942	29016	4476	248831	79134	8fb47610e74309ea15bd1c0c2080ee07b5931518bb8e638b49ddb2785f322430	True	True	True
leveldb	72	143868249	823262	722389	647944	174.7539045893045	199.15620116031667	222.0380912547998	27.05758522341437	11.489418838665078	2	2	1	1	71	13207	1663	7591	81450	4914558	41745	4476	248831	79134	8fb47610e74309ea15bd1c0c2080ee07b5931518bb8e638b49ddb2785f322430	True	True	True
simdjson	153	468377342	910698	754467	678634	514.3058862542797	620.8056044863459	690.1766519213596	34.195752054863135	11.174359080152186	2	2	1	1	152	13710	1989	10048	135840	7140071	47952	4476	248831	79134	8fb47610e74309ea15bd1c0c2080ee07b5931518bb8e638b49ddb2785f322430	True	True	True
cereal	84	326899429	271696	325411	271607	1203.1808675873035	1004.5739971912443	1203.5751250888231	0.03276793307978032	19.80950417330922	2	46	1	1	83	10751	1130	3340	135417	2127941	11175	4476	248831	79134	8fb47610e74309ea15bd1c0c2080ee07b5931518bb8e638b49ddb2785f322430	True	True	True
