corpus	screen_tus	raw_bytes	empty_wire_bytes	installed_wire_bytes	seed_wire_bytes	empty_ratio	installed_ratio	seed_ratio	seed_vs_empty_percent	seed_vs_installed_percent	seed_first_strict_win_vs_empty_tu	seed_stable_strict_win_vs_empty_tu	seed_first_strict_win_vs_installed_tu	seed_stable_strict_win_vs_installed_tu	seed_selected_tus	promoted_assets	seed_published_assets	all_published_assets	candidate_observations	final_logical_state_bytes	definition_wire_bytes	seed_artifact_assets	seed_artifact_raw_bytes	seed_artifact_compressed_bytes	seed_artifact_sha256	seed_strictly_smaller_than_empty	seed_strictly_smaller_than_installed	exact
llvm	200	724323634	1651030	1511734	1436409	438.71015911279625	479.1343146347175	504.26002204107607	14.941496467928017	5.243979952785027	2	2	1	1	198	17409	1499	12028	408405	21886904	57502	4476	248831	79134	8fb47610e74309ea15bd1c0c2080ee07b5931518bb8e638b49ddb2785f322430	True	True	True
rocksdb	200	1224557334	11397698	11264073	11120503	107.43900513945886	108.71354739977271	110.11708139460958	2.492648039391754	1.2910387236980236	2	2	1	1	196	23461	1508	19405	1003491	24292016	64465	4557	248586	82083	4a2950b18807e6981e87cbacb28311e5789c089fbc630669eae9ebb9a4c504a6	True	True	True
duckdb	200	646795216	1655731	1437377	1367596	390.64027671161557	449.98300098025777	472.9431908253607	21.06872204949415	5.102457158400586	2	2	1	1	199	14583	1678	10428	335901	12899593	48675	4476	248831	79134	8fb47610e74309ea15bd1c0c2080ee07b5931518bb8e638b49ddb2785f322430	True	True	True
abseil	200	548396320	4005633	3871215	3797960	136.9062817287555	141.66000080078217	144.39233693877765	5.468014407734656	1.9287986182055628	2	2	1	1	199	15389	1876	11104	428720	23605702	60801	4476	248831	79134	8fb47610e74309ea15bd1c0c2080ee07b5931518bb8e638b49ddb2785f322430	True	True	True
opencv	200	307655351	1236927	1146027	1069170	248.72555211423148	268.45384183793226	287.7515745858937	15.690395353404973	7.188473301720011	2	2	1	1	192	12242	1287	6690	222943	9680433	52334	4557	248586	82083	4a2950b18807e6981e87cbacb28311e5789c089fbc630669eae9ebb9a4c504a6	True	True	True
godot	200	382645585	555383	513286	437169	688.9760489608072	745.4822165420447	875.2806923638227	27.040801154702176	17.411344354242875	2	2	1	1	197	11369	1041	6991	71008	3766868	37495	4476	248831	79134	8fb47610e74309ea15bd1c0c2080ee07b5931518bb8e638b49ddb2785f322430	True	True	True
fmt	50	136350082	1209222	1116040	1042007	112.75851911394268	122.1731138668865	130.85332632122433	16.047396994453965	7.104846704484702	2	2	1	1	49	11163	1774	6993	103676	6080541	33117	4476	248831	79134	8fb47610e74309ea15bd1c0c2080ee07b5931518bb8e638b49ddb2785f322430	True	True	True
spdlog	34	98384472	462996	380252	304544	212.49529585568774	258.7349231562227	323.05503309866555	52.029263423347686	24.859462015340974	2	2	1	1	32	6904	1417	3393	62523	2017646	12868	4476	248831	79134	8fb47610e74309ea15bd1c0c2080ee07b5931518bb8e638b49ddb2785f322430	True	True	True
catch2	200	212426768	452238	458926	385758	469.72339343443053	462.87804133999816	550.673655504228	17.233602413948645	18.967331850538404	2	2	1	1	199	11352	1553	6418	46559	2975148	41012	4476	248831	79134	8fb47610e74309ea15bd1c0c2080ee07b5931518bb8e638b49ddb2785f322430	True	True	True
nlohmann-json	99	293917707	819926	722970	648648	358.46857765212957	406.5420515374082	453.12358474858473	26.405384738718073	11.457986457986458	2	2	1	1	98	14288	1988	8434	107038	6460649	43696	4476	248831	79134	8fb47610e74309ea15bd1c0c2080ee07b5931518bb8e638b49ddb2785f322430	True	True	True
range-v3	200	484251452	778505	682388	609122	622.027414082119	709.6423911323177	794.9991167615026	27.807729814388573	12.028132295336569	2	2	1	1	198	13084	1660	8450	197248	12124155	61630	4476	248831	79134	8fb47610e74309ea15bd1c0c2080ee07b5931518bb8e638b49ddb2785f322430	True	True	True
eigen	200	1098381060	971955	765012	828042	1130.0739849067086	1435.7697134162602	1326.4798887012978	17.37991551153204	-7.61193272805003	2	126	1		199	17235	1339	7685	556401	6539465	23717	4476	248831	79134	8fb47610e74309ea15bd1c0c2080ee07b5931518bb8e638b49ddb2785f322430	True	False	True
re2	72	110231455	391804	327644	252641	281.34336300803466	336.43666601555344	436.316571736179	55.08330001860347	29.687580400647562	2	2	1	1	71	10025	1466	5359	49005	3618942	29016	4476	248831	79134	8fb47610e74309ea15bd1c0c2080ee07b5931518bb8e638b49ddb2785f322430	True	True	True
leveldb	72	143868249	823262	722389	647944	174.7539045893045	199.15620116031667	222.0380912547998	27.05758522341437	11.489418838665078	2	2	1	1	71	13207	1663	7591	81450	4914558	41745	4476	248831	79134	8fb47610e74309ea15bd1c0c2080ee07b5931518bb8e638b49ddb2785f322430	True	True	True
simdjson	153	468377342	910698	754467	678634	514.3058862542797	620.8056044863459	690.1766519213596	34.195752054863135	11.174359080152186	2	2	1	1	152	13710	1989	10048	135840	7140071	47952	4476	248831	79134	8fb47610e74309ea15bd1c0c2080ee07b5931518bb8e638b49ddb2785f322430	True	True	True
cereal	84	326899429	271696	325411	271607	1203.1808675873035	1004.5739971912443	1203.5751250888231	0.03276793307978032	19.80950417330922	2	46	1	1	83	10751	1130	3340	135417	2127941	11175	4476	248831	79134	8fb47610e74309ea15bd1c0c2080ee07b5931518bb8e638b49ddb2785f322430	True	True	True
