corpus	scenario	tus	raw_bytes	empty_wire_bytes	seed_wire_bytes	empty_ratio	seed_ratio	seed_gain_vs_empty_percent	seed_strictly_smaller	seed_published_assets	all_published_assets	final_logical_state_bytes	package_sha256	affected_tus	affected_occurrences	exact	seed_change_vs_standard_percent	empty_change_vs_standard_percent
llvm	standard	200	724323634	1651030	1436409	438.71015911279625	504.26002204107607	14.941496467928017	True	1499	12028	21886904	8fb47610e74309ea15bd1c0c2080ee07b5931518bb8e638b49ddb2785f322430	0	0	True	0.0	0.0
rocksdb	standard	200	1224557334	11397698	11120503	107.43900513945886	110.11708139460958	2.492648039391754	True	1508	19405	24292016	4a2950b18807e6981e87cbacb28311e5789c089fbc630669eae9ebb9a4c504a6	0	0	True	0.0	0.0
duckdb	standard	200	646795216	1655731	1367596	390.64027671161557	472.9431908253607	21.06872204949415	True	1678	10428	12899593	8fb47610e74309ea15bd1c0c2080ee07b5931518bb8e638b49ddb2785f322430	0	0	True	0.0	0.0
abseil	standard	200	548396320	4005633	3797960	136.9062817287555	144.39233693877765	5.468014407734678	True	1876	11104	23605702	8fb47610e74309ea15bd1c0c2080ee07b5931518bb8e638b49ddb2785f322430	0	0	True	0.0	0.0
opencv	standard	200	307655351	1236927	1069170	248.72555211423148	287.7515745858937	15.690395353404973	True	1287	6690	9680433	4a2950b18807e6981e87cbacb28311e5789c089fbc630669eae9ebb9a4c504a6	0	0	True	0.0	0.0
godot	standard	200	382645585	555383	437169	688.9760489608072	875.2806923638227	27.040801154702176	True	1041	6991	3766868	8fb47610e74309ea15bd1c0c2080ee07b5931518bb8e638b49ddb2785f322430	0	0	True	0.0	0.0
fmt	standard	50	136350082	1209222	1042007	112.75851911394268	130.85332632122433	16.047396994453965	True	1774	6993	6080541	8fb47610e74309ea15bd1c0c2080ee07b5931518bb8e638b49ddb2785f322430	0	0	True	0.0	0.0
spdlog	standard	34	98384472	462996	304544	212.49529585568774	323.05503309866555	52.029263423347686	True	1417	3393	2017646	8fb47610e74309ea15bd1c0c2080ee07b5931518bb8e638b49ddb2785f322430	0	0	True	0.0	0.0
catch2	standard	200	212426768	452238	385758	469.72339343443053	550.673655504228	17.233602413948645	True	1553	6418	2975148	8fb47610e74309ea15bd1c0c2080ee07b5931518bb8e638b49ddb2785f322430	0	0	True	0.0	0.0
nlohmann-json	standard	99	293917707	819926	648648	358.46857765212957	453.12358474858473	26.405384738718073	True	1988	8434	6460649	8fb47610e74309ea15bd1c0c2080ee07b5931518bb8e638b49ddb2785f322430	0	0	True	0.0	0.0
