corpus	tus	raw_bytes	publication	package_wire_bytes	empty_wire_bytes	pretrained_wire_bytes	empty_ratio	pretrained_ratio	pretrained_delta_percent	first_win_tu	stable_win_tu	winner	exact
llvm	1238	3620271340	first-use	79138	4635624	4417664	780.9674253131833	819.4990248239794	4.933829281719948	6	6	pretrained	True
duckdb	689	1985715205	first-use	79138	7323010	6873100	271.161066965633	288.91114708064777	6.545954518339614	4	4	pretrained	True
abseil	700	2581008467	first-use	79138	9222174	9057215	279.8698514038013	284.9671192524413	1.8212993729308735	4	4	pretrained	True
godot	2207	5932762185	first-use	79138	8634807	7899272	687.0752507844124	751.0517659095674	9.311427685994357	5	5	pretrained	True
fmt	50	136350082	first-use	79138	1209222	1116040	112.75851911394268	122.1731138668865	8.349342317479657	4	4	pretrained	True
spdlog	34	98384472	first-use	79138	462996	380252	212.49529585568774	258.7349231562227	21.760306323175136	4	4	pretrained	True
catch2	857	947252235	first-use	79138	1177453	1156614	804.4926081975246	818.9873501444735	1.801724689481543	252	277	pretrained	True
nlohmann-json	99	293917707	first-use	79138	819926	722970	358.46857765212957	406.5420515374082	13.410791595778537	4	4	pretrained	True
range-v3	259	632049016	first-use	79138	890225	778550	709.9879423741189	811.8284194977844	14.343972769892744	4	4	pretrained	True
eigen	650	3532268956	first-use	79138	2492788	1408832	1416.9953305295116	2507.2322008585834	76.94004679053283	93	93	pretrained	True
re2	72	110231455	first-use	79138	391804	327644	281.34336300803466	336.43666601555344	19.58222949298627	6	6	pretrained	True
leveldb	72	143868249	first-use	79138	823262	722389	174.7539045893045	199.15620116031667	13.963806204136553	4	4	pretrained	True
simdjson	153	468377342	first-use	79138	910698	754467	514.3058862542797	620.8056044863459	20.70746633053533	5	5	pretrained	True
cereal	84	326899429	first-use	79138	271696	325411	1203.1808675873035	1004.5739971912443	-16.50681753228994			empty	True
