corpus	tus	raw_bytes	target_p29_wire_bytes	canonical_p29_wire_bytes	p29_host_delta_bytes	original_literal_wire_bytes	literal_group_wire_bytes	complete_wire_bytes	cold_gate_bytes	cold_delta_bytes	cold_size_pass	c_encode_gbps	f_decode_gbps	speed_pass	cold_size_and_speed_pass	tu100_wire_bytes	tu100_reference_bytes	tu100_pass	tu200_wire_bytes	tu200_reference_bytes	tu200_pass	wire_sha256	exact
llvm	1238	3620271340	9328055	9328055	0	6649726	4604028	7282357	8369687	-1087330	True	4.014	6.114	True	True	1351630	1593762	True	2361052	2884547	True	e566d2086b9fad6f31e6caae06c8ff64c259f24798e68124ed470071098a19ec	True
rocksdb	622	3114320596	9823481	9823481	0	3521608	2235832	8537705	6970751	1566954	False	3.126	3.974	True	False	3953028	3840198	False	5629451	5414625	False	6408411de7a6ed590b56a1bff1a78a048dc39306e808653237b533c085950489	True
duckdb	689	1985715205	9589726	9589726	0	5118367	3402126	7873485	7883713	-10228	True	1.716	2.774	True	True	1519485	2129543	True	2124228	2847389	True	747403411c10121fd00f16e4490c8776ae850598ae869c91e9b82d65dace2179	True
abseil	700	2581008467	5863183	5863183	0	2563162	1758522	5058543	4531877	526666	False	4.57	5.842	True	False	1583152	1645017	True	2270609	2329125	True	c8c04e81aa59f1e3467bc1d17536a32ae4f0cac5093df661cfcef11e2c46467c	True
opencv	1506	4630994774	8565550	8563234	2316	5979976	4156524	6742098	7255924	-513826	True	7.539	8.14	True	True	624012	639458	True	1535725	1493491	False	f9cee3e59cc790b68cd0e0fefcfbab94bab73d09e0e6308c7e1ea919347cf3e9	True
godot	2207	5932762185	39589524	39589524	0	13672703	9177348	35094169	64118473	-29024304	True	1.031	1.158	True	True	1064247	1290414	True	2057414	2211547	True	d7a2c4a406eac58db20b9e3512dd6dfc56b2c8a58377db181c9b29a5c54cb712	True
fmt	50	136350082	1046398	1046398	0	379562	265386	932222	813913	118309	False	0.798	1.032	False	False	932222	952554		932222	952554		65180c2fb8f7717b3f4489911a5bb205c3144c708ac4ce678568028196969f22	True
spdlog	34	98384472	539513	539513	0	211643	150042	477912	519412	-41500	True	0.926	1.273	False	False	477912	588456		477912	588456		0fbe132f16308fa73372d714733ee848788768c932693d7a5905ab6a90837a20	True
catch2	857	947252235	1006039	1006039	0	325225	226919	907733	932544	-24811	True	7.152	7.757	True	True	427504	532201	True	537411	617728	True	ba09a442987e51d2fa4ab6c05c0c72d38094a466ebfa3427c5d21f976e9e638b	True
nlohmann-json	99	293917707	1168818	1168818	0	457867	298546	1009497	894095	115402	False	1.35	1.822	True	False	1009497	1063308		1009497	1063308		729dd1ca81e47691080d1c0b74a51fda6d5e7cc83e8b73787dfb5b6be203094f	True
range-v3	259	632049016	874082	874082	0	385286	249340	738136	842700	-104564	True	4.545	5.35	True	True	473605	619941	True	675619	897361	True	3b94c1ebcbda40909dd27f4647ad6402d52fdf8c6947fb428d11f0d06b97947b	True
eigen	650	3532268956	1377958	1377958	0	753867	517706	1141797	1542344	-400547	True	13.132	9.927	True	True	675102	768113	True	900138	1159213	True	c50d555479cc56e866d4908bf02233778036faa383c09edae3a5bc2aa3c48f1b	True
re2	72	110231455	488243	488243	0	195959	143842	436126	472488	-36362	True	1.13	1.535	True	True	436126	533747		436126	533747		6280e06c38c0b611fd2764a10a35a3fa11d4c58d81de29b2bde7964dcfcc427b	True
leveldb	72	143868249	689700	685350	4350	245321	174434	618813	609514	9299	False	1.186	1.598	True	False	618813	706226		618813	706226		c65bafb84041d247b43a896f822e9278018a4b998ce411f8dcc4bcc95e353ef3	True
simdjson	153	468377342	1408595	1408595	0	529961	379406	1258040	1139682	118358	False	2.039	2.448	True	False	1092592	1162921	True	1258040	1328709		70155300e06051b00ba98f61b477d0a9d62f2c8a0164e27c2533dac026fe72ba	True
cereal	84	326899429	512588	512588	0	182720	129506	459374	541711	-82337	True	3.217	3.962	True	True	459374	619374		459374	619374		deb7d14d1c0708b168e62b0d2b0966adccd3d62af06984088ac8abe2380b4a91	True
