program	codec	raw_ii_bytes	residual_bytes	encoded_bytes	encode_seconds	decode_seconds	encode_MBps	vs_zstd19	projected_complete_bytes	delta_to_cold_gate	exact
DuckDB	zstd-6-long31	1985715205	31439473	4456114	0.35	0.07	89.827	1.256105	8941996	1058283	true
DuckDB	zstd-19-long31	1985715205	31439473	3547566	13.68	0.05	2.298	1	8033448	149735	true
DuckDB	zpaq-m1	1985715205	31439473	5025860	0.97	0.29	32.412	1.416707	9511742	1628029	true
DuckDB	zpaq-m2	1985715205	31439473	4416230	4.65	0.29	6.761	1.244862	8902112	1018399	true
DuckDB	zpaq-m3	1985715205	31439473	3423243	6.48	7.12	4.852	0.964955	7909125	25412	true
DuckDB	zpaq-m4	1985715205	31439473	2657612	18.75	18.95	1.677	0.749137	7143494	-740219	true
DuckDB	zpaq-m5	1985715205	31439473	2372254	55.8	57.83	0.563	0.668699	6858136	-1025577	true
Godot	zstd-6-long31	5932762185	96195716	11694628	0.96	0.16	100.204	1.261206	37678327	-26440146	true
Godot	zstd-19-long31	5932762185	96195716	9272575	40.97	0.18	2.348	1	35256274	-28862199	true
Godot	zpaq-m1	5932762185	96195716	13333617	2.47	0.78	38.946	1.437963	39317316	-24801157	true
Godot	zpaq-m2	5932762185	96195716	11605426	14.84	0.86	6.482	1.251586	37589125	-26529348	true
Godot	zpaq-m3	5932762185	96195716	9241472	20.61	20.73	4.667	0.996646	35225171	-28893302	true
Godot	zpaq-m4	5932762185	96195716	6909348	56.47	57.13	1.703	0.745138	32893047	-31225426	true
Godot	zpaq-m5	5932762185	96195716	6169401	171.87	172.69	0.560	0.665338	32153100	-31965373	true
