corpus	checkpoint	tu	corpus_tus	method	raw_bytes	build_wire_bytes	average_wire_bytes_per_tu	ratio	saved_vs_empty_bytes	saved_vs_empty_percent	installation_bytes_excluded	ideal_1gbit_seconds	ideal_1GBps_seconds	exact
llvm	50	50	1238	empty_online	175269860	843200	16864.0	207.86273719165087	0	0.0	0	0.0067456	0.0008432	True
llvm	50	50	1238	pre_shared_installed	175269860	656542	13130.84	266.9590978185706	186658	22.136859582542694	79138	0.005252336	0.000656542	True
llvm	50	50	1238	pre_shared_c_only	175269860	660032	13200.64	265.54751890817414	183168	21.722960151802656	0	0.005280256	0.000660032	True
llvm	100	100	1238	empty_online	360810728	1072860	10728.6	336.3073728165837	0	0.0	0	0.00858288	0.00107286	True
llvm	100	100	1238	pre_shared_installed	360810728	863550	8635.5	417.8226252098894	209310	19.50953526089145	79138	0.0069084	0.00086355	True
llvm	100	100	1238	pre_shared_c_only	360810728	868256	8682.56	415.55800132679764	204604	19.07089461812352	0	0.006946048	0.000868256	True
llvm	150	150	1238	empty_online	512723565	1269696	8464.64	403.8160039883563	0	0.0	0	0.010157568	0.001269696	True
llvm	150	150	1238	pre_shared_installed	512723565	1056148	7040.986666666667	485.46564023224016	213548	16.81882907404607	79138	0.008449184	0.001056148	True
llvm	150	150	1238	pre_shared_c_only	512723565	1060480	7069.866666666667	483.4825409248642	209216	16.477645042592872	0	0.00848384	0.00106048	True
llvm	200	200	1238	empty_online	724323634	1651030	8255.15	438.71015911279625	0	0.0	0	0.01320824	0.00165103	True
llvm	200	200	1238	pre_shared_installed	724323634	1432596	7162.98	505.6021613909295	218434	13.230165411894394	79138	0.011460768	0.001432596	True
llvm	200	200	1238	pre_shared_c_only	724323634	1436409	7182.045	504.26002204107607	214621	12.999218669557791	0	0.011491272	0.001436409	True
llvm	250	250	1238	empty_online	890515564	1826655	7306.62	487.51163410715213	0	0.0	0	0.01461324	0.001826655	True
llvm	250	250	1238	pre_shared_installed	890515564	1606753	6427.012	554.2330177693772	219902	12.038507545212424	79138	0.012854024	0.001606753	True
llvm	250	250	1238	pre_shared_c_only	890515564	1610254	6441.016	553.0280092457464	216401	11.84684573715343	0	0.012882032	0.001610254	True
llvm	300	300	1238	empty_online	1008784882	1984543	6615.143333333333	508.32099984732	0	0.0	0	0.015876344	0.001984543	True
llvm	300	300	1238	pre_shared_installed	1008784882	1762724	5875.746666666667	572.2874834630946	221819	11.177334026020096	79138	0.014101792	0.001762724	True
llvm	300	300	1238	pre_shared_c_only	1008784882	1766070	5886.9	571.2032263726805	218473	11.008730977358514	0	0.01412856	0.00176607	True
llvm	full	1238	1238	empty_online	3620271340	4635624	3744.4458804523424	780.9674253131833	0	0.0	0	0.037084992	0.004635624	True
llvm	full	1238	1238	pre_shared_installed	3620271340	4338526	3504.463651050081	834.4473076800738	297098	6.409018505383525	79138	0.034708208	0.004338526	True
