corpus	tus	raw_bytes	p18_structural_wire_bytes	prior_root_structural_wire_bytes	selected_structural_wire_bytes	structural_saving_bytes	root_selected	root_copy_selected_tus	root_copy_copies	root_copy_copied_regions	root_copy_receiver_state_bytes	root_copy_encoder_state_bytes	p21_line_wire_bytes	two_plane_projection_wire_bytes	two_plane_projection_ratio	two_plane_half_line_projection_wire_bytes	two_plane_half_line_projection_ratio	exact
llvm	1238	3620271340	3432366	1642398	1642398	1789968	True	1227	25471	4734400	19326364	20157148	7362680	9005078	402.0255393678989	5323738.0	680.0243250137404	True
rocksdb	622	3114320596	14479861	12857339	12857339	1622522	True	556	13567	3192694	17438800	19525240	4178690	17036029	182.8078947271104	14946684.0	208.3619748701451	True
duckdb	689	1985715205	5242891	4167260	4167260	1075631	True	681	12607	2258376	10090552	11007208	6914109	11081369	179.19403324625324	7624314.5	260.4450806692195	True
abseil	700	2581008467	7510940	5804742	5804742	1706198	True	647	17497	3017636	14385280	15773080	3138190	8942932	288.6087546008401	7373837.0	350.02244652275334	True
opencv	1506	4630994774	4820749	2123347	2123347	2697402	True	1470	9120	5999126	24538156	25357540	6380541	8503888	544.5738201161633	5313617.5	871.5333337410907	True
godot	2207	5932762185	5247034	2580411	2580411	2666623	True	2169	24756	5820864	23931304	25038008	51805645	54386056	109.0860897322652	28483233.5	208.28963063480836	True
fmt	50	136350082	929416	825016	825016	104400	True	46	1047	134619	802884	1035876	699008	1524024	89.46714881130481	1174520.0	116.09004699792256	True
spdlog	34	98384472	275140	185959	185959	89181	True	32	275	115033	500664	568112	512060	698019	140.94812891912684	441989.0	222.59484285808017	True
catch2	857	947252235	981891	674388	674388	307503	True	841	3012	1329521	5576604	5830620	691243	1365631	693.6370329906102	1020009.5	928.6700123871395	True
nlohmann-json	99	293917707	502142	350548	350548	151594	True	89	1635	304178	1406204	1574404	846478	1197026	245.53995234857055	773787.0	379.84317001965655	True
range-v3	259	632049016	621391	296158	296158	325233	True	257	6106	989456	4030812	4299276	720583	1016741	621.6421055116298	656449.5	962.8296098938304	True
eigen	650	3532268956	1140650	299675	299675	840975	True	648	940	4604707	18509276	18774148	1078330	1378005	2563.320855874979	838840.0	4210.897138906108	True
re2	72	110231455	243561	139059	139059	104502	True	71	1196	141224	597344	711312	453470	592529	186.03554425184254	365794.0	301.348450220616	True
leveldb	72	143868249	577535	459685	459685	117850	True	69	1300	159458	782864	970352	539172	998857	144.0328785802172	729271.0	197.27679970820176	True
simdjson	153	468377342	533104	320996	320996	212108	True	151	1899	589181	2443912	2657936	1044406	1365402	343.0325589093908	843199.0	555.4766336297837	True
cereal	84	326899429	151522	111505	111505	40017	True	83	191	369970	1505548	1562052	500995	612500	533.7133534693878	362002.5	903.030860284114	True
