corpus	tus	raw_bytes	cold_p27_wire_bytes	cold_p28_wire_bytes	cold_saving_bytes	cold_root_saving_bytes	cold_block_saving_bytes	cold_p28_ratio	cold_p28_pipeline_gbps	cold_s1_tokens	cold_s1_blocks	cold_log_sha256	bit0_p27_wire_bytes	bit0_p28_wire_bytes	bit0_saving_bytes	bit0_root_saving_bytes	bit0_block_saving_bytes	bit0_p28_ratio	bit0_p28_pipeline_gbps	bit0_s1_tokens	bit0_s1_blocks	bit0_log_sha256	bit1_p27_wire_bytes	bit1_p28_wire_bytes	bit1_saving_bytes	bit1_root_saving_bytes	bit1_block_saving_bytes	bit1_p28_ratio	bit1_p28_pipeline_gbps	bit1_s1_tokens	bit1_s1_blocks	bit1_log_sha256
llvm	1238	3620271340	9330294	9328055	2239	1412	827	388.10570263575846	4.53	86813	11057	65891e9db8cf857d6818a11379ff1be010a997245c1ceec61441ee7dff08a519	4915650	4913411	2239	1412	827	736.814270167914	6.664	86813	11057	7e0ac513f968b464afc90a5e6640e5a477919cde48d5f6a8ac72478881b749b7	5422973	5420734	2239	1412	827	667.8562976895748	6.163	86813	11057	4101b6604c34d61e086dc61cef7ed2db2363aa0a19eeb1ead68fd94f9f61d31a
rocksdb	622	3114320596	9825414	9823481	1933	1075	858	317.0282098575851	3.387	767455	7325	a205b5455cab9673db172522171ed98044388568d1433eb3bc4ac9eaef44630e	6014639	6012706	1933	1075	858	517.9565732966155	3.706	767455	7325	c55be63dbe629256c035fe9e9e9b9c1b8b0a461552ba0e3f442523e3e03082ff	6013349	6011416	1933	1075	858	518.067722480028	5.193	767455	7325	2bd4c8a4bc4bf2a6a4db3d59bc36d0d10eba24842a0efd4790c92e0d253a57fd
duckdb	689	1985715205	9590734	9589726	1008	505	503	207.06693861743287	2.011	236713	8016	c093eda5dbe00a49d62d453e5ba0adc17a71224fc0385b945f538d82915943d6	5907546	5906538	1008	505	503	336.1893557613614	2.784	236713	8016	e8c90522297b4443ca521bf6952142144ef2b0c237cae8717e8c0cf75683c2bf	4992901	4991893	1008	505	503	397.7880144866887	4.577	236713	8016	05f37c0b39cfdffb5d4889d871a773967227ef6f708ee132d6a0e35c9a5fc727
abseil	700	2581008467	5864879	5863183	1696	972	724	440.20602239432066	4.34	370731	12409	0c50ccc7e4e21ccc499f85c7adff6cb3f5ad1b3f35c2447762f501ede00cce0a	3540302	3538606	1696	972	724	729.3856583637738	6.202	370731	12409	f23b27f7bac6fd15b52151b29c0aae4bb3a5a2bda56a2964f92ee2e7fff1021a	3606422	3604726	1696	972	724	716.0068385225396	6.393	370731	12409	fd1ba389eddca6bc479522b52416dce2bf227f1facfadd838b498b7fe0ac96bd
opencv	1506	4630994774	8564687	8563234	1453	631	822	540.7997462173754	6.409	111636	4644	1d6be8fba176356e608375e263a55c13f79f0a0e83a3792c5e7f7598d0a5199a	5044333	5042880	1453	631	822	918.3234132083254	7.388	111636	4644	f99c8e6e7803134a69fb07ad532d407e5aeb2768c92b8693bb4c9e60948f7713	4760374	4758921	1453	631	822	973.1186489542482	6.878	111636	4644	2a4c377b1cc2f9b2d0f0ca375f51159e58a9348a9d64461ab100351d0cc1e3cb
godot	2207	5932762185	41695954	41693465	2489	1155	1334	142.2947741330686	0.915	137759	10525	9e49066fce876e07f031924064f1fb4f01e4aeb3d18845baa27e2fa201dad1bf	31314252	31311763	2489	1155	1334	189.473910651406	1.098	137759	10525	7e5b23c76d69d3c394df9aca8fe91225b66f55ef1bb43b5f2f57cded69610756	13698513	13696024	2489	1155	1334	433.17405000166474	4.238	137759	10525	07bdcacac6b5fefdbfa2c37e127bb0fc86da5f220095859d5b09d63e75e15803
fmt	50	136350082	1046398	1046398	0	0	0	130.30422649890386	1.446	53013	1501	8ffd61c90ef7140a336c01a1de85caf44b54b35a27035028fb563a8002f3d5c1	613040	613040	0	0	0	222.4162893122798	2.401	53013	1501	c6d9272f1aa50881d30e35ee6d77505a7d213fd9b1ff36d087bb1e51953e0b9f	627974	627974	0	0	0	217.12695430065577	2.085	53013	1501	46f5cac2817adc859b55d828407ccb131d49b6a6cd974737df238748e2b089e9
spdlog	34	98384472	539513	539513	0	0	0	182.3579265003809	1.624	9313	302	c5b857f6bc2d7ca0260345728cc520c2815eb557c1460c1c99d19891188438c4	301099	301099	0	0	0	326.75124128608866	2.274	9313	302	148a3f9ff75c9abadb82482a6c8e084a0087cf82f029cb669a931a314efb77d6	293188	293188	0	0	0	335.5678677162776	2.273	9313	302	341ef5d6e108531d1c8d0c0cb3a779c6e0013d28b0544068994fc988ba8d71f0
catch2	857	947252235	1006074	1006039	35	27	8	941.5661172181198	5.848	34599	1907	448054482abeff4012af2195c1f3f92ae1b40b53e9b0b9cf067b9e9ca1ad8bc3	619809	619774	35	27	8	1528.383305850197	7.473	34599	1907	26a934d2dc9940ef3a850f9d0071f771bc26f8811a10a783b16e1f42da0f8554	611778	611743	35	27	8	1548.4480165690495	7.3	34599	1907	d4eb953f18c5f73655e1d9a21bab15ba82a84256172caa3fa357c67b0dfdf5db
nlohmann-json	99	293917707	1168818	1168818	0	0	0	251.46576028089916	2.601	17869	1214	b384b764b04c085f920249964236493e57c65ffa38156f66c08d855bc27d132a	687318	687318	0	0	0	427.6298700164989	3.631	17869	1214	f0d1deb7314e91e13bbe67da16d2cf98fd632b73f6f568a14aeb608588171384	684633	684633	0	0	0	429.3069527761589	3.659	17869	1214	79ae14863ad7a03a6c36422f655256ebab1388ca611c45784801bd07778f4d94
range-v3	259	632049016	874465	874082	383	241	142	723.1003681576785	4.802	16027	2265	6e8dd5452bb4b476d884025af6a805f6e3879c6fcd04a5fc590c2482f37862ba	511064	510681	383	241	142	1237.659157086322	6.627	16027	2265	3947a879c7da5e249591daec85f14ea07dabe78f637ce6768077c10c449ae574	517557	517174	383	241	142	1222.1206325143955	6.341	16027	2265	58fd6b3f3a0e6d37169bc8d133288936d44def82d13d557f28d7a9177c3282ef
eigen	650	3532268956	1378045	1377958	87	30	57	2563.4082867547486	6.857	14419	310	49bd0cc0e75444302c02a272b9e7e92f330b318c20ef3f9be4701632f4b1da32	868996	868909	87	30	57	4065.177085287412	8.521	14419	310	ff7d68f7cb956d2048bb398ade8a0f248ac3b600c627b43cdfea58422f5aa8c0	882463	882376	87	30	57	4003.133534910288	9.155	14419	310	d722a684d3ee6dd00670d8a7e68398cad644114f3f36879b7142254be224b68f
re2	72	110231455	488243	488243	0	0	0	225.77170589235277	1.642	7115	782	63f2e3a25d2c7b914e285297876455d2303ab5580da927a8618ff877160e84ad	287285	287285	0	0	0	383.7006979132221	2.982	7115	782	ab64c199fffbd8cb7a325f9235b7016110cb33e37e1a9886aa693ce6f5fd8402	256325	256325	0	0	0	430.04566468350725	3.018	7115	782	4801d8ee3d59378d0f2a34d798ebf6857f3087722f1a6a5b996573a2f12754f7
leveldb	72	143868249	685363	685350	13	8	5	209.91938279711096	2.017	27954	1195	d29787babac1ed86b9ea38b90fd031162bf99a4f313856b00cfd63479a869971	398451	398438	13	8	5	361.0806424086056	2.869	27954	1195	b8442877dd4651cb2ab92a594a0da67b750c8186a3911ac655946d3df4cff63d	407208	407195	13	8	5	353.3153624184973	2.888	27954	1195	3d17400fe979082825ddc22bf2641938f0d0e70e968fde43939e407eb8f65443
simdjson	153	468377342	1408733	1408595	138	37	101	332.51384677639777	3.049	16521	1287	18f22ba99af20ad9878e6f2d55f3d6f27762aa154b94880c167e0cfd6fb121bf	847835	847697	138	37	101	552.5291961632518	4.558	16521	1287	9cc1fbc7365303a378b867505f9c092453e566a8a028fb5ce8fdab681fe29f00	801883	801745	138	37	101	584.1973969279509	4.464	16521	1287	71dbbf6f8fdfa446ee2afae0ce7988d5eca04c637609fa53fc81fad4440fa528
cereal	84	326899429	512588	512588	0	0	0	637.7430392439933	3.44	5643	166	e851db1a392a82a67c26330d90e1f43276bd1a014e90a90e2434f42e070209db	280175	280175	0	0	0	1166.7687302578745	5.106	5643	166	d59bec67cea9fb4b092cc682633232213bc446df73fd6a99a15507b195ad1e06	286067	286067	0	0	0	1142.73729231264	4.852	5643	166	13f4cc5e5f14201d41786de04714ac9aa357fb60bb575184739c703d9bbdbe61
