corpus	tus	raw_bytes	total_wire_bytes	current_ratio	root_raw_bytes	block_raw_bytes	current_structure_wire_bytes	separate_root_wire_bytes	separate_block_wire_bytes	separate_wire_bytes	separate_saving_bytes	separate_projected_wire_bytes	joint_wire_bytes	joint_saving_bytes	joint_projected_wire_bytes	ldm_wire_bytes	ldm_saving_bytes	ldm_projected_wire_bytes	zero_projected_wire_bytes	zero_projected_ratio	log_sha256
llvm	1238	3620271340	9328055	388.10570263575846	241269	85775	314310	194214	75640	269854	44456	9283599	276563	37747	9290308	276560	37750	9290305	9013745	401.63897913686264	65891e9db8cf857d6818a11379ff1be010a997245c1ceec61441ee7dff08a519
rocksdb	622	3114320596	9823481	317.0282098575851	2283264	56749	1454277	1524220	49421	1573641	-119364	9942845	1578573	-124296	9947777	1578569	-124292	9947773	8369204	372.1167026159238	a205b5455cab9673db172522171ed98044388568d1433eb3bc4ac9eaef44630e
duckdb	689	1985715205	9589726	207.06693861743287	688785	58842	572311	534416	52629	587045	-14734	9604460	591434	-19123	9608849	591385	-19074	9608800	9017415	220.20891852044073	c093eda5dbe00a49d62d453e5ba0adc17a71224fc0385b945f538d82915943d6
abseil	700	2581008467	5863183	440.20602239432066	1090523	113102	732936	678991	102531	781522	-48586	5911769	783503	-50567	5913750	783500	-50564	5913747	5130247	503.09633571249105	0c50ccc7e4e21ccc499f85c7adff6cb3f5ad1b3f35c2447762f501ede00cce0a
opencv	1506	4630994774	8563234	540.7997462173754	315837	38843	305603	249578	33340	282918	22685	8540549	285506	20097	8543137	285503	20100	8543134	8257631	560.8139639564906	1d6be8fba176356e608375e263a55c13f79f0a0e83a3792c5e7f7598d0a5199a
godot	2207	5932762185	41693465	142.2947741330686	390149	84626	440446	312077	74293	386370	54076	41639389	382093	58353	41635112	382090	58356	41635109	41253019	143.81401237567607	9e49066fce876e07f031924064f1fb4f01e4aeb3d18845baa27e2fa201dad1bf
fmt	50	136350082	1046398	130.30422649890386	137980	13114	105142	112832	10924	123756	-18614	1065012	128680	-23538	1069936	128677	-23535	1069933	941256	144.85972147853505	8ffd61c90ef7140a336c01a1de85caf44b54b35a27035028fb563a8002f3d5c1
spdlog	34	98384472	539513	182.3579265003809	18448	1801	18024	17680	1494	19174	-1150	540663	19355	-1331	540844	19354	-1330	540843	521489	188.66068507677056	c5b857f6bc2d7ca0260345728cc520c2815eb557c1460c1c99d19891188438c4
catch2	857	947252235	1006039	941.5661172181198	86089	14785	96958	75284	12247	87531	9427	996612	88299	8659	997380	88296	8662	997377	909081	1041.9888161780964	448054482abeff4012af2195c1f3f92ae1b40b53e9b0b9cf067b9e9ca1ad8bc3
nlohmann-json	99	293917707	1168818	251.46576028089916	36097	8310	39963	36111	6827	42938	-2975	1171793	43657	-3694	1172512	43656	-3693	1172511	1128855	260.36798968866685	b384b764b04c085f920249964236493e57c65ffa38156f66c08d855bc27d132a
range-v3	259	632049016	874082	723.1003681576785	31869	16205	51526	30959	13933	44892	6634	867448	46000	5526	868556	45999	5527	868555	822556	768.3963353254976	6e8dd5452bb4b476d884025af6a805f6e3879c6fcd04a5fc590c2482f37862ba
eigen	650	3532268956	1377958	2563.4082867547486	28667	2413	38348	28681	2040	30721	7627	1370331	30548	7800	1370158	30547	7801	1370157	1339610	2636.7890326288993	49bd0cc0e75444302c02a272b9e7e92f330b318c20ef3f9be4701632f4b1da32
re2	72	110231455	488243	225.77170589235277	14021	5374	19085	13089	4330	17419	1666	486577	17798	1287	486956	17797	1288	486955	469158	234.95593169039003	63f2e3a25d2c7b914e285297876455d2303ab5580da927a8618ff877160e84ad
leveldb	72	143868249	685350	209.91938279711096	63843	9165	58539	59654	7644	67298	-8759	694109	67865	-9326	694676	67862	-9323	694673	626811	229.5241292829896	d29787babac1ed86b9ea38b90fd031162bf99a4f313856b00cfd63479a869971
simdjson	153	468377342	1408595	332.51384677639777	32846	9215	39846	32860	7528	40388	-542	1409137	41116	-1270	1409865	41115	-1269	1409864	1368749	342.1937418767064	18f22ba99af20ad9878e6f2d55f3d6f27762aa154b94880c167e0cfd6fb121bf
cereal	84	326899429	512588	637.7430392439933	11134	1173	13026	10246	1003	11249	1777	510811	11307	1719	510869	11306	1720	510868	499562	654.3720879490434	e851db1a392a82a67c26330d90e1f43276bd1a014e90a90e2434f42e070209db
