phase	loop	x_end	TUs	sum_root_tok	sum_O_z3	sum_B_z3	sum_A_z3	sum_full_wire_z	blocks_pub	new_blk_loop	Q_loop	tok_per_reg	bits_per_byte	plateau
cold	0	1238	1238	276115	662647	9433948	200905	11231573	38706	38706	0.9500	0.05718	0.02482	0
warm	1	2476	1238	117631	317631	9433948	200905	388802	49269	10563	0.9874	0.02436	0.00086	0
warm	2	3714	1238	94612	260359	9433948	200905	319578	54635	5366	0.9936	0.01959	0.00071	0
warm	3	4952	1238	89786	250475	9433948	200905	301187	100579	45944	0.9946	0.01859	0.00067	0
warm	4	6190	1238	61763	184565	9433948	200905	355936	107368	6789	1.0018	0.01279	0.00079	0
warm	5	7428	1238	53157	159379	9433948	200905	211703	112159	4791	1.0045	0.01101	0.00047	0
warm	6	8666	1238	46823	140354	9433948	200905	185696	114977	2818	1.0066	0.00970	0.00041	0
warm	7	9904	1238	43781	131517	9433948	200905	168429	137517	22540	1.0075	0.00907	0.00037	0
warm	8	11142	1238	30199	97470	9433948	200905	197788	140894	3377	1.0112	0.00625	0.00044	0
warm	9	12380	1238	27361	89195	9433948	200905	128701	143533	2639	1.0121	0.00567	0.00028	0
warm	10	13618	1238	24942	81916	9433948	200905	117559	145363	1830	1.0129	0.00516	0.00026	0
warm	11	14856	1238	23397	77281	9433948	200905	108562	156906	11543	1.0134	0.00484	0.00024	0
warm	12	16094	1238	16399	58776	9433948	200905	126467	158920	2014	1.0154	0.00340	0.00028	0
warm	13	17332	1238	14845	54283	9433948	200905	86673	160629	1709	1.0159	0.00307	0.00019	0
warm	14	18570	1238	13543	50436	9433948	200905	81434	161753	1124	1.0163	0.00280	0.00018	0
warm	15	19808	1238	12670	47811	9433948	200905	74874	167795	6042	1.0166	0.00262	0.00017	0
warm	16	21046	1238	9132	38123	9433948	200905	85348	168936	1141	1.0176	0.00189	0.00019	0
warm	17	22284	1238	8284	35605	9433948	200905	62323	169938	1002	1.0179	0.00172	0.00014	0
warm	18	23522	1238	7521	33317	9433948	200905	59618	170592	654	1.0182	0.00156	0.00013	0
warm	19	24760	1238	7029	31845	9433948	200905	54561	173740	3148	1.0183	0.00146	0.00012	0
warm	20	25998	1238	5118	26343	9433948	200905	62523	174305	565	1.0189	0.00106	0.00014	0
edit	1	27236	1238	9823	39929	9433948	200905	85543	174639	334	1.0174	0.00203	0.00019	0
edit	2	28474	1238	9539	39081	9433948	200905	58393	174888	249	1.0175	0.00198	0.00013	0
edit	3	29712	1238	9325	38439	9433948	200905	56718	176066	1178	1.0176	0.00193	0.00013	0
edit	4	30950	1238	8543	36094	9433948	200905	61752	181654	5588	1.0179	0.00177	0.00014	0
edit	5	32188	1238	5408	27021	9433948	200905	74405	181879	225	1.0188	0.00112	0.00016	0
edit	6	33426	1238	5231	26490	9433948	200905	44363	182036	157	1.0189	0.00108	0.00010	0
edit	7	34664	1238	5101	26100	9433948	200905	43204	182749	713	1.0189	0.00106	0.00010	0
edit	8	35902	1238	4614	24639	9433948	200905	47206	185076	2327	1.0191	0.00096	0.00010	0
edit	9	37140	1238	3169	20494	9433948	200905	56666	185211	135	1.0195	0.00066	0.00013	0
edit	10	38378	1238	3061	20170	9433948	200905	36897	185330	119	1.0196	0.00063	0.00008	0
edit	11	39616	1238	2971	19900	9433948	200905	36345	185715	385	1.0196	0.00062	0.00008	0
edit	12	40854	1238	2683	19036	9433948	200905	38761	186667	952	1.0197	0.00056	0.00009	0
edit	13	42092	1238	1852	16635	9433948	200905	45217	186761	94	1.0200	0.00038	0.00010	0
edit	14	43330	1238	1772	16395	9433948	200905	32664	186835	74	1.0200	0.00037	0.00007	0
edit	15	44568	1238	1706	16197	9433948	200905	32218	187140	305	1.0200	0.00035	0.00007	0
edit	16	45806	1238	1457	15450	9433948	200905	34667	187271	131	1.0201	0.00030	0.00008	0
edit	17	47044	1238	1364	15208	9433948	200905	31262	187286	15	1.0201	0.00028	0.00007	0
edit	18	48282	1238	1349	15163	9433948	200905	30284	187298	12	1.0201	0.00028	0.00007	0
edit	19	49520	1238	1337	15127	9433948	200905	30195	187359	61	1.0201	0.00028	0.00007	0
edit	20	50758	1238	1277	14947	9433948	200905	30862	187397	38	1.0201	0.00026	0.00007	0
revert	1	51996	1238	3214	20636	9433948	200905	43687	187560	163	1.0195	0.00067	0.00010	1
