phase	loop	x_end	TUs	sum_root_tok	sum_O_z3	sum_B_z3	sum_A_z3	sum_full_wire_z	blocks_pub	new_blk_loop	Q_loop	tok_per_reg	bits_per_byte	plateau	sum_root_tok_memo	sum_full_wire_memo_z	resident_blk	never_blk	reclaim_def_bytes
cold	0	1506	1506	312056	703784	13436555	210281	9782584	45947	45947	0.9627	0.05089	0.01690	0	312056	9788608	29317	16630	99780
warm	1	3012	1506	148167	356756	13436555	210281	442695	63654	17707	0.9889	0.02416	0.00076	0	148058	447968	21307	22386	134316
warm	2	4518	1506	115843	285549	13436555	210281	360645	68834	5180	0.9943	0.01889	0.00062	0	115759	366034	19673	17673	106038
warm	3	6024	1506	110738	273486	13436555	210281	314319	146631	77797	0.9952	0.01806	0.00054	0	110623	319563	17975	92520	555120
warm	4	7530	1506	66882	179185	13436555	210281	408878	151008	4377	1.0024	0.01091	0.00071	0	66882	414902	44938	56150	336900
warm	5	9036	1506	59913	159486	13436555	210281	200690	157036	6028	1.0038	0.00977	0.00035	0	59859	206123	44495	59357	356142
warm	6	10542	1506	52608	142469	13436555	210281	184757	158688	1652	1.0051	0.00858	0.00032	0	50735	182929	42730	57644	345864
warm	7	12048	1506	52289	141969	13436555	210281	173126	195138	36450	1.0052	0.00853	0.00030	0	52237	178578	42632	92850	557100
warm	8	13554	1506	31006	92089	13436555	210281	219916	197057	1919	1.0089	0.00506	0.00038	0	31006	225940	25265	75427	452562
warm	9	15060	1506	29378	87251	13436555	210281	119508	199745	2688	1.0093	0.00479	0.00021	0	27327	115192	24657	76652	459912
warm	10	16566	1506	26861	80919	13436555	210281	112501	200784	1039	1.0098	0.00438	0.00019	0	22180	96765	23565	76067	456402
warm	11	18072	1506	25831	78028	13436555	210281	103086	218659	17875	1.0100	0.00421	0.00018	0	17761	75527	23061	93310	559860
warm	12	19578	1506	16138	55435	13436555	210281	132254	220065	1406	1.0117	0.00263	0.00023	0	15366	131672	14401	85256	511536
warm	13	21084	1506	15081	52336	13436555	210281	82798	221505	1440	1.0119	0.00246	0.00014	0	11161	68280	13863	85712	514272
warm	14	22590	1506	14035	49553	13436555	210281	77355	222218	713	1.0122	0.00229	0.00013	0	9789	58756	13194	85521	513126
warm	15	24096	1506	13505	48027	13436555	210281	73029	231170	8952	1.0123	0.00220	0.00013	0	7911	50353	12866	93969	563814
warm	16	25602	1506	8628	36528	13436555	210281	88780	231888	718	1.0131	0.00141	0.00015	0	7790	85546	8278	89861	539166
warm	17	27108	1506	8068	34823	13436555	210281	60910	232639	751	1.0133	0.00132	0.00011	0	3957	43959	7837	90059	540354
warm	18	28614	1506	7530	33358	13436555	210281	57983	233028	389	1.0134	0.00123	0.00010	0	4581	41977	7374	89930	539580
warm	19	30120	1506	7232	32486	13436555	210281	54969	237556	4528	1.0134	0.00118	0.00009	0	3725	36546	7116	94161	564966
warm	20	31626	1506	4699	26318	13436555	210281	65312	237848	292	1.0139	0.00077	0.00011	0	4312	61018	4635	91928	551568
edit	1	33132	1506	10284	43115	13436555	210281	85147	238113	265	1.0126	0.00168	0.00015	0	10284	91171	6060	89988	539928
edit	2	34638	1506	10076	42554	13436555	210281	62914	238254	141	1.0127	0.00164	0.00011	0	3045	31958	5905	89948	539688
edit	3	36144	1506	9939	42143	13436555	210281	62373	239960	1706	1.0127	0.00162	0.00011	0	3105	31675	5825	91523	549138
edit	4	37650	1506	8965	39845	13436555	210281	65983	245910	5950	1.0129	0.00146	0.00011	0	3671	41607	4976	96500	579000
edit	5	39156	1506	5615	29817	13436555	210281	81840	246075	165	1.0136	0.00092	0.00014	0	5605	87810	5430	93317	559902
edit	6	40662	1506	5500	29492	13436555	210281	49142	246188	113	1.0137	0.00090	0.00008	0	1795	27548	5346	93315	559890
edit	7	42168	1506	5401	29194	13436555	210281	48924	247132	944	1.0137	0.00088	0.00008	0	2057	28225	5284	94160	564960
edit	8	43674	1506	4839	27818	13436555	210281	51416	249579	2447	1.0138	0.00079	0.00009	0	2356	34784	4784	96045	576270
edit	9	45180	1506	3306	23233	13436555	210281	63875	249683	104	1.0141	0.00054	0.00011	0	2874	65965	3281	94616	567696
edit	10	46686	1506	3230	23015	13436555	210281	42192	249779	96	1.0142	0.00053	0.00007	0	1564	26119	3206	94636	567816
