phase	loop	x_end	TUs	sum_root_tok	sum_O_z3	sum_B_z3	sum_A_z3	sum_full_wire_z	blocks_pub	new_blk_loop	Q_loop	tok_per_reg	bits_per_byte	plateau
cold	0	622	622	943407	1918403	9630719	1372140	11805073	35974	35974	0.9339	0.21645	0.03032	0
warm	1	1244	622	794380	1494793	9630719	1372140	1537650	46567	10593	0.9851	0.18226	0.00395	0
warm	2	1866	622	774028	1426550	9630719	1372140	1464683	51050	4483	0.9934	0.17759	0.00376	0
warm	3	2488	622	769184	1416063	9630719	1372140	1443747	790858	739808	0.9947	0.17648	0.00371	0
warm	4	3110	622	394384	843072	9630719	1372140	2533611	794512	3654	1.0641	0.09049	0.00651	0
warm	5	3732	622	388771	824144	9630719	1372140	848845	798257	3745	1.0664	0.08920	0.00218	0
warm	6	4354	622	384924	812909	9630719	1372140	837704	800103	1846	1.0677	0.08832	0.00215	0
warm	7	4976	622	383026	809139	9630719	1372140	829060	1169637	369534	1.0682	0.08788	0.00213	0
edit	1	5598	622	197695	479114	9630719	1372140	1481541	1171548	1911	1.1081	0.04536	0.00381	0
edit	2	6220	622	195985	474277	9630719	1372140	501364	1173613	2065	1.1087	0.04497	0.00129	0
edit	3	6842	622	194228	468902	9630719	1372140	490017	1174777	1164	1.1094	0.04456	0.00126	0
revert	1	7464	622	193049	465018	9630719	1372140	482215	1358369	183592	1.1098	0.04429	0.00124	1
