pass	tu_ord	region_count	root_tokens	blocks_after	new_blocks	max_depth	deep_refs	root_raw	root_z1	root_z3	root_z6	changed	tok_per_reg
0	0	1453	1453	0	0	0	0	4359	2850	2857	2856	0	1.0000
0	1	5602	5602	0	14	0	0	16806	12047	12024	11964	0	1.0000
0	2	5602	5573	14	5	1	29	16719	12019	11990	11968	0	0.9948
0	3	4963	4928	19	1333	2	27	14784	10614	10619	10593	0	0.9929
0	4	4940	4223	1352	3150	2	700	12669	8939	8943	8918	0	0.8549
0	5	3889	2163	4502	49	2	1701	6489	4695	4695	4695	0	0.5562
0	6	4229	2374	4551	39	2	1827	7122	5205	5205	5211	0	0.5614
0	7	4914	2992	4590	469	3	1880	8976	6624	6626	6619	0	0.6089
0	8	4092	1987	5059	1066	3	1646	5961	4425	4425	4425	0	0.4856
0	9	3819	1273	6125	269	3	1089	3819	2794	2794	2794	0	0.3333
0	10	4938	1927	6394	145	3	1733	5781	4299	4299	4299	0	0.3902
0	11	4999	1896	6539	400	3	1739	5688	4211	4211	4211	0	0.3793
0	12	3948	1140	6939	353	4	957	3420	2515	2515	2515	0	0.2888
0	13	4938	1448	7292	134	4	1355	4344	3214	3214	3214	0	0.2932
0	14	4999	1426	7426	723	4	1299	4278	3161	3161	3161	0	0.2853
0	15	3948	875	8149	223	4	725	2625	1918	1918	1918	0	0.2216
0	16	3948	723	8372	248	5	638	2169	1582	1582	1582	0	0.1831
0	17	3787	629	8620	110	5	559	1887	1367	1367	1367	0	0.1661
0	18	3761	556	8730	91	5	516	1668	1178	1178	1178	0	0.1478
0	19	4275	810	8821	76	5	561	2430	1754	1754	1754	0	0.1895
0	20	4855	1329	8897	480	6	539	3987	2839	2839	2839	0	0.2737
0	21	3750	330	9377	59	6	307	990	687	687	687	0	0.0880
0	22	5139	855	9436	129	6	588	2565	1868	1868	1868	0	0.1664
0	23	4587	720	9565	76	6	410	2160	1576	1576	1580	0	0.1570
0	24	3998	427	9641	78	6	326	1281	962	962	962	0	0.1068
0	25	3902	579	9719	87	6	392	1737	1310	1310	1310	0	0.1484
0	26	3787	194	9806	35	7	183	582	435	435	435	0	0.0512
0	27	4212	335	9841	35	7	287	1005	736	736	736	0	0.0795
0	28	4151	465	9876	22	7	191	1395	1001	1003	1003	0	0.1120
0	29	4046	355	9898	39	7	291	1065	808	808	808	0	0.0877
0	30	3947	295	9937	116	8	244	885	674	674	674	0	0.0747
0	31	2384	185	10053	40	7	147	555	453	453	453	0	0.0776
0	32	2257	331	10093	5	8	198	993	790	790	790	0	0.1467
0	33	2027	85	10098	7	8	65	255	223	223	223	0	0.0419
0	34	92	20	10105	0	7	9	60	69	69	69	0	0.2174
0	35	2633	166	10105	15	8	143	498	406	406	406	0	0.0630
0	36	2797	199	10120	60	8	149	597	468	468	468	0	0.0711
0	37	2646	138	10180	49	9	107	414	341	341	341	0	0.0522
0	38	2639	106	10229	7	9	81	318	270	270	270	0	0.0402
0	39	2096	48	10236	7	9	41	144	125	125	125	0	0.0229
0	40	2626	84	10243	8	9	76	252	198	198	198	0	0.0320
0	41	2639	91	10251	43	9	70	273	226	226	226	0	0.0345
0	42	2639	65	10294	12	10	55	195	158	158	158	0	0.0246
0	43	2646	64	10306	3	10	51	192	158	158	158	0	0.0242
0	44	2642	60	10309	3	10	48	180	156	156	156	0	0.0227
0	45	2829	96	10312	31	10	76	288	258	258	258	0	0.0339
0	46	2833	153	10343	32	11	37	459	369	371	371	0	0.0540
0	47	2171	80	10375	1	11	28	240	193	193	193	0	0.0368
0	48	4138	302	10376	16	11	191	906	734	734	734	0	0.0730
0	49	4156	287	10392	27	11	193	861	697	697	697	0	0.0691
0	50	3888	251	10419	21	12	194	753	600	600	600	0	0.0646
0	51	4303	378	10440	80	9	294	1134	880	880	880	0	0.0878
0	52	4110	216	10520	50	12	170	648	522	522	522	0	0.0526
0	53	4130	226	10570	16	12	174	678	533	533	533	0	0.0547
0	54	5016	680	10586	42	12	501	2040	1531	1531	1531	0	0.1356
0	55	4109	243	10628	39	9	210	729	569	569	569	0	0.0591
0	56	4207	304	10667	50	13	203	912	727	727	727	0	0.0723
0	57	4397	338	10717	66	13	242	1014	789	789	789	0	0.0769
0	58	4319	522	10783	42	8	405	1566	1210	1210	1210	0	0.1209
0	59	4202	464	10825	98	9	329	1392	1082	1082	1082	0	0.1104
0	60	4187	229	10923	31	11	172	687	555	555	555	0	0.0547
0	61	2384	54	10954	3	12	36	162	156	156	156	0	0.0227
0	62	2257	278	10957	98	8	195	834	667	667	667	0	0.1232
0	63	2027	24	11055	4	12	14	72	81	81	81	0	0.0118
0	64	92	20	11059	12	7	9	60	69	69	69	0	0.2174
0	65	2633	54	11071	9	11	42	162	162	162	162	0	0.0205
0	66	2797	85	11080	5	11	51	255	224	224	224	0	0.0304
0	67	2646	53	11085	3	11	39	159	155	155	155	0	0.0200
0	68	2639	45	11088	11	12	36	135	129	129	129	0	0.0171
0	69	2096	27	11099	3	12	17	81	90	90	90	0	0.0129
0	70	2626	36	11102	3	12	27	108	109	109	109	0	0.0137
0	71	2639	34	11105	8	12	27	102	101	101	101	0	0.0129
0	72	2639	29	11113	4	13	22	87	88	88	88	0	0.0110
0	73	2646	31	11117	3	13	20	93	97	97	97	0	0.0117
0	74	2642	27	11120	4	13	17	81	83	83	83	0	0.0102
0	75	2829	63	11124	3	13	45	189	177	177	177	0	0.0223
0	76	2833	123	11127	9	13	38	369	308	308	308	0	0.0434
0	77	2171	75	11136	60	13	22	225	183	183	183	0	0.0345
0	78	4138	146	11196	18	14	110	438	376	376	376	0	0.0353
0	79	4156	135	11214	26	14	101	405	351	351	351	0	0.0325
0	80	3888	142	11240	21	14	123	426	359	359	359	0	0.0365
0	81	4303	227	11261	25	11	187	681	541	541	541	0	0.0528
0	82	4110	96	11286	12	14	81	288	247	247	247	0	0.0234
0	83	4130	125	11298	9	14	102	375	309	309	309	0	0.0303
0	84	5016	615	11307	64	14	468	1845	1384	1384	1384	0	0.1226
0	85	4109	167	11371	50	11	145	501	414	414	414	0	0.0406
0	86	4207	176	11421	16	14	133	528	430	434	434	0	0.0418
0	87	4397	245	11437	45	14	173	735	580	580	580	0	0.0557
0	88	4319	344	11482	50	9	295	1032	789	789	789	0	0.0796
0	89	4202	282	11532	33	10	215	846	645	645	645	0	0.0671
0	90	4187	154	11565	21	14	116	462	399	399	399	0	0.0368
0	91	4141	756	11586	43	14	119	2268	1543	1543	1543	0	0.1826
0	92	4294	739	11629	25	14	122	2217	1512	1512	1512	0	0.1721
0	93	2380	31	11654	2	14	24	93	98	98	98	0	0.0130
0	94	5784	1170	11656	190	9	503	3510	2526	2526	2526	0	0.2023
0	95	5353	1211	11846	581	15	276	3633	2558	2558	2561	0	0.2262
0	96	4817	469	12427	22	10	422	1407	986	986	986	0	0.0974
0	97	4804	681	12449	35	10	599	2043	1510	1510	1510	0	0.1418
0	98	4820	675	12484	31	10	579	2025	1500	1500	1502	0	0.1400
0	99	4828	547	12515	302	9	462	1641	1173	1173	1173	0	0.1133
0	100	4792	305	12817	48	14	267	915	668	668	668	0	0.0636
0	101	4804	487	12865	50	9	428	1461	1104	1104	1104	0	0.1014
0	102	4804	454	12915	205	10	402	1362	1022	1022	1022	0	0.0945
0	103	4806	347	13120	146	10	336	1041	699	699	699	0	0.0722
0	104	4784	257	13266	17	11	241	771	588	588	588	0	0.0537
0	105	4788	248	13283	22	12	230	744	566	566	566	0	0.0518
0	106	4795	336	13305	49	10	293	1008	765	765	765	0	0.0701
0	107	4788	224	13354	87	12	210	672	508	508	508	0	0.0468
0	108	4808	221	13441	18	10	208	663	478	478	478	0	0.0460
0	109	5203	575	13459	126	12	395	1725	1313	1313	1313	0	0.1105
0	110	5667	527	13585	45	12	430	1581	1203	1203	1203	0	0.0930
0	111	4784	162	13630	65	12	156	486	377	377	377	0	0.0339
0	112	5072	378	13695	8	12	160	1134	841	841	841	0	0.0745
0	113	4788	124	13703	27	12	115	372	301	301	301	0	0.0259
0	114	5015	425	13730	34	10	219	1275	982	982	982	0	0.0847
0	115	4804	186	13764	46	11	177	558	425	425	425	0	0.0387
0	116	4804	159	13810	71	12	152	477	375	375	375	0	0.0331
0	117	4804	119	13881	12	12	114	357	282	282	282	0	0.0248
0	118	5225	598	13893	120	10	336	1794	1354	1354	1354	0	0.1144
0	119	5217	296	14013	61	12	191	888	688	688	688	0	0.0567
0	120	4903	470	14074	57	12	296	1410	1084	1084	1084	0	0.0959
0	121	4869	479	14131	61	10	332	1437	1113	1113	1113	0	0.0984
0	122	5898	607	14192	86	10	454	1821	1381	1381	1381	0	0.1029
