tu	cum_src	srcbytes	onl_tu_wire	ceil_tu_wire	cum_onl_wire	cum_ceil_wire	onl_tu_tok	ceil_tu_tok	cum_onl_tok	cum_ceil_tok	blocks	pairs
1	839260	839260	160877	168174	160877	168174	1453	57	1453	57	0	1444
2	6273455	5434195	779329	801166	940206	969340	5602	260	7055	317	1	5650
3	11707650	5434195	10239	556	950445	969896	5594	260	12649	577	5	5660
4	15802644	4094994	35592	45880	986037	1015776	4948	386	17597	963	12	6017
5	19892235	4089591	9216	10915	995253	1026691	4911	233	22508	1196	15	6049
6	23336706	3444471	33242	45872	1028495	1072563	3849	84	26357	1280	16	6393
7	27126942	3790236	37601	31724	1066096	1104287	4183	162	30540	1442	17	6574
8	31462954	4336012	102678	106728	1168774	1211015	4851	698	35391	2140	1291	7267
9	35009186	3546232	21044	16605	1189818	1227620	3391	216	38782	2356	3238	8083
10	38283493	3274307	12822	13040	1202640	1240660	2111	279	40893	2635	3289	9251
11	42163346	3879853	7325	984	1209965	1241644	3195	14	44088	2649	3450	9516
12	46261895	4098549	34445	27962	1244410	1269606	3164	75	47252	2724	3472	9707
13	49711452	3449557	11433	14621	1255843	1284227	2198	98	49450	2822	3498	9906
14	53591305	3879853	6052	55	1261895	1284282	3066	14	52516	2836	3590	9949
15	57689854	4098549	6288	177	1268183	1284459	3069	75	55585	2911	4434	10039
16	61139411	3449557	4102	275	1272285	1284734	2108	98	57693	3009	5061	10101
17	64540011	3400600	10339	5326	1282624	1290060	1777	95	59470	3104	5949	10536
18	67860872	3320861	6929	1980	1289553	1292040	1245	20	60715	3124	5996	11119
19	71071807	3210935	4603	2255	1294156	1294295	1188	18	61903	3142	6095	11202
20	74935143	3863336	36385	33702	1330541	1327997	1525	201	63428	3343	6114	11510
21	79099458	4164315	63378	62303	1393919	1390300	2058	295	65486	3638	6193	12008
22	82306915	3207457	3837	1801	1397756	1392101	1093	20	66579	3658	6209	12066
23	86520638	4213723	22806	18209	1420562	1410310	1920	202	68499	3860	6278	12592
24	90611194	4090556	47890	45992	1468452	1456302	1652	273	70151	4133	6604	12902
25	94056366	3445172	12513	9870	1480965	1466172	1063	138	71214	4271	7073	13214
26	97668791	3612425	19574	21676	1500539	1487848	893	297	72107	4568	7114	13691
27	100996038	3327247	3780	2251	1504319	1490099	657	20	72764	4588	7178	13827
28	104670201	3674163	4878	3226	1509197	1493325	919	51	73683	4639	7189	13932
29	108286822	3616621	38762	37462	1547959	1530787	945	253	74628	4892	7195	14204
30	111766065	3479243	5682	4443	1553641	1535230	780	124	75408	5016	7205	14291
31	115161549	3395484	4812	3812	1558453	1539042	712	102	76120	5118	7228	14344
32	117021365	1859816	12230	13797	1570683	1552839	404	37	76524	5155	7376	14376
33	118719868	1698503	7445	8652	1578128	1561491	432	182	76956	5337	7412	14655
34	120241059	1521191	2756	2186	1580884	1563677	227	14	77183	5351	7442	14719
35	123938465	3697406	851963	851955	2432847	2415632	21	15	77204	5366	7442	14725
36	125985108	2046643	4280	4874	2437127	2420506	303	12	77507	5378	7475	14772
37	128195966	2210858	17430	20031	2454557	2440537	340	45	77847	5423	7537	14852
38	130267124	2071158	5359	4713	2459916	2445250	265	15	78112	5438	7546	14903
39	132326090	2058966	1959	1464	2461875	2446714	253	10	78365	5448	7551	14924
40	134158176	1832086	78179	77833	2540054	2524547	189	9	78554	5457	7557	14936
41	136201134	2042958	1859	1445	2541913	2525992	232	15	78786	5472	7622	14956
42	138263961	2062827	3032	2445	2544945	2528437	209	10	78995	5482	7655	15010
43	140326061	2062100	3280	2812	2548225	2531249	187	10	79182	5492	7676	15054
44	142396189	2070128	4495	4111	2552720	2535360	179	15	79361	5507	7685	15088
45	144461205	2065016	3381	3042	2556101	2538402	168	13	79529	5520	7701	15113
46	146733965	2272760	3890	3497	2559991	2541899	198	37	79727	5557	7735	15181
47	148894165	2160200	14577	14798	2574568	2556697	253	42	79980	5599	7735	15290
48	150472420	1578255	2426	2142	2576994	2558839	179	33	80159	5632	7737	15298
49	153988719	3516299	4728	6627	2581722	2565466	560	143	80719	5775	7772	15447
50	157611119	3622400	4448	3752	2586170	2569218	543	137	81262	5912	7863	15502
51	160980551	3369432	3994	3787	2590164	2573005	447	79	81709	5991	7905	15659
52	164639145	3658594	7761	7650	2597925	2580655	613	97	82322	6088	7968	15813
53	168148137	3508992	3549	2771	2601474	2583426	425	75	82747	6163	8008	15875
54	171668025	3519888	3692	3680	2605166	2587106	433	117	83180	6280	8029	15962
55	175616258	3948233	10116	10578	2615282	2597684	991	249	84171	6529	8075	16296
56	179119811	3503553	3086	3066	2618368	2600750	417	110	84588	6639	8112	16365
57	182888541	3768730	3952	6427	2622320	2607177	507	238	85095	6877	8154	16470
58	186702624	3814083	8374	7841	2630694	2615018	548	171	85643	7048	8211	16603
59	190438563	3735939	5735	7182	2636429	2622200	699	168	86342	7216	8250	16744
60	194123991	3685428	5658	5579	2642087	2627779	617	206	86959	7422	8285	16839
61	197809841	3685850	7725	7738	2649812	2635517	396	269	87355	7691	8301	16941
62	199669657	1859816	315	133	2650127	2635650	95	37	87450	7728	8306	16960
63	201368160	1698503	739	482	2650866	2636132	317	182	87767	7910	8328	16978
64	202889351	1521191	193	65	2651059	2636197	47	14	87814	7924	8333	16987
65	206586757	3697406	71	69	2651130	2636266	18	15	87832	7939	8333	16987
