tu	cum_src	srcbytes	onl_tu_wire	ceil_tu_wire	cum_onl_wire	cum_ceil_wire	onl_tu_tok	ceil_tu_tok	cum_onl_tok	cum_ceil_tok	blocks	pairs
1	7069925	7069925	1174202	1217200	1174202	1217200	9351	690	9351	690	4	9252
2	11173200	4103275	21349	32020	1195551	1249220	4601	809	13952	1499	6	10147
3	18349333	7176133	43002	68057	1238553	1317277	10004	1533	23956	3032	15	11580
4	24573673	6224340	26989	31110	1265542	1348387	7253	899	31209	3931	21	12468
5	32740189	8166516	132943	135671	1398485	1484058	15781	7320	46990	11251	28	19675
6	39088587	6348398	30718	32186	1429203	1516244	7955	1452	54945	12703	30	21091
7	46878483	7789896	112907	107437	1542110	1623681	13161	4363	68106	17066	33	25599
8	50112099	3233616	11837	12452	1553947	1636133	3623	566	71729	17632	2631	26097
9	55963941	5851842	35238	25151	1589185	1661284	5285	1334	77014	18966	3408	28819
10	62202814	6238873	23942	19400	1613127	1680684	5488	892	82502	19858	4877	30095
11	65421698	3218884	7791	4570	1620918	1685254	2092	479	84594	20337	4883	30621
12	71802748	6381050	36903	31652	1657821	1716906	5621	1843	90215	22180	5788	33168
13	77413957	5611209	16083	13431	1673904	1730337	3669	900	93884	23080	5817	34093
14	84988038	7574081	63685	58855	1737589	1789192	9506	3843	103390	26923	5910	38469
15	92640130	7652092	92367	87829	1829956	1877021	8690	2929	112080	29852	6111	41508
16	92664141	24011	954	1134	1830910	1878155	85	8	112165	29860	6147	41556
17	92688180	24039	516	297	1831426	1878452	67	8	112232	29868	6147	41586
18	99037456	6349276	25568	24802	1856994	1903254	4828	1503	117060	31371	7211	43244
19	105841410	6803954	27980	20139	1884974	1923393	5006	900	122066	32271	7458	44625
20	113312895	7471485	48397	42301	1933371	1965694	7412	2493	129478	34764	8761	47085
21	113336723	23828	420	293	1933791	1965987	68	9	129546	34773	8761	47093
22	117126010	3789287	18941	18716	1952732	1984703	2910	1585	132456	36358	8936	48802
23	123468385	6342375	27140	22318	1979872	2007021	3644	1374	136100	37732	9419	50274
24	129726442	6258057	40919	33846	2020791	2040867	4994	3067	141094	40799	9566	53444
25	133201300	3474858	17957	17616	2038748	2058483	2294	1475	143388	42274	9591	54865
26	140241099	7039799	27998	22812	2066746	2081295	4477	1140	147865	43414	10521	56405
27	143544853	3303754	4269	4539	2071015	2085834	1113	203	148978	43617	10973	56572
28	146617662	3072809	7946	5189	2078961	2091023	1179	597	150157	44214	11047	57390
29	154409901	7792239	83269	74862	2162230	2165885	8231	5524	158388	49738	11414	63352
30	160664767	6254866	14400	12132	2176630	2178017	2593	1128	160981	50866	11466	64560
31	166952099	6287332	15989	13234	2192619	2191251	2589	1117	163570	51983	11562	65642
32	171488309	4536210	20569	20237	2213188	2211488	2166	1598	165736	53581	11580	67190
33	179596163	8107854	104236	100691	2317424	2312179	10676	8086	176412	61667	11796	75165
34	186672419	7076256	26957	26017	2344381	2338196	4100	1843	180512	63510	12091	76861
35	192160005	5487586	8377	6955	2352758	2345151	1323	441	181835	63951	12367	77427
36	199549542	7389537	66832	61571	2419590	2406722	6859	5159	188694	69110	12580	82787
37	206680522	7130980	25494	20757	2445084	2427479	3210	1373	191904	70483	12664	83964
38	214005641	7325119	44998	41490	2490082	2468969	4522	2661	196426	73144	12794	86563
39	222435441	8429800	135063	128499	2625145	2597468	13778	12410	210204	85554	13285	99028
40	230635777	8200336	97464	96476	2722609	2693944	9704	7904	219908	93458	13384	107241
41	236072877	5437100	9182	7571	2731791	2701515	1167	549	221075	94007	13429	107690
42	242333446	6260569	15188	14616	2746979	2716131	1778	994	222853	95001	13517	108636
