F	strat	total_z	root_z3	line_def	region_def	block_def	fill_z3	missing	framing
1	rr	12894819	639892	54733427	4439252	89227	11563276	670083	21568
1	shuffle	12894819	639892	54733427	4439252	89227	11563276	670083	21568
1	sticky	12894819	639892	54733427	4439252	89227	11563276	670083	21568
4	rr	21106479	639892	83973800	7177096	323367	19542722	901817	22048
4	shuffle	20744411	639892	82437438	7033328	318911	19188186	894285	22048
4	sticky	17043836	639892	69655216	6094608	237963	15571764	810612	21568
8	rr	28266919	639892	108906983	9771349	590088	26460686	1144293	22048
8	shuffle	27887809	639892	107466499	9671897	576246	26094574	1131295	22048
8	sticky	21858191	639892	86978055	7976443	390940	20239470	957181	21648
16	rr	40568070	639892	151928841	14218829	1029044	38365619	1540511	22048
16	shuffle	39797053	639892	148944622	13979701	998661	37624260	1510853	22048
16	sticky	31526650	639892	121721377	11454449	660968	29648141	1216633	21984
32	rr	60449751	639892	223364667	21803083	1725798	57611556	2176255	22048
32	shuffle	58941005	639892	217323725	21203787	1647293	56176752	2102313	22048
32	sticky	43744091	639892	166089508	16204446	1026383	41510805	1571378	22016
