F	strat	total_z	root_z3	line_def	region_def	block_def	fill_z3	missing	framing
1	rr	12190088	363819	40025224	4181240	112714	11547708	238945	39616
1	shuffle	12190088	363819	40025224	4181240	112714	11547708	238945	39616
1	sticky	12190088	363819	40025224	4181240	112714	11547708	238945	39616
4	rr	20664088	363819	69901344	7260999	414509	19735740	524913	39616
4	shuffle	20522290	363819	69357235	7208948	411765	19596885	521970	39616
4	sticky	17577927	363819	59216222	6171521	302484	16760705	413787	39616
8	rr	30065575	363819	103200867	10704989	764752	28818518	843622	39616
8	shuffle	29819406	363819	102238768	10625890	757398	28580617	835354	39616
8	sticky	23162818	363819	79143443	8236132	506876	22163089	596294	39616
16	rr	46147934	363819	160446150	16645897	1350634	44369699	1374800	39616
16	shuffle	45471119	363819	158079381	16404364	1330269	43715349	1352335	39616
16	sticky	30727531	363819	105665721	11030311	792761	29471238	852858	39616
32	rr	72548422	363819	255242984	26473292	2295649	69914208	2230779	39616
32	shuffle	70308964	363819	247435052	25644976	2211396	67755781	2149748	39616
32	sticky	45946243	363819	160239978	16720249	1331896	44200498	1342310	39616
