F	strat	total_z	root_z3	line_def	region_def	block_def	fill_z3	missing	framing
1	rr	12516958	1539676	44701802	6433521	99891	8987330	1970048	19904
1	shuffle	12516958	1539676	44701802	6433521	99891	8987330	1970048	19904
1	sticky	12516958	1539676	44701802	6433521	99891	8987330	1970048	19904
4	rr	17683899	1539676	61784993	8586884	362443	13900504	2223815	19904
4	shuffle	17630423	1539676	61605771	8561814	357048	13856103	2214740	19904
4	sticky	17149302	1539676	59945635	8392248	321940	13410401	2179321	19904
8	rr	23686502	1539676	81829430	11145374	658586	19632775	2494147	19904
8	shuffle	23627993	1539676	81624358	11128944	655153	19579867	2488546	19904
8	sticky	22549312	1539676	77993244	10722233	578555	18578289	2411443	19904
16	rr	34842543	1539676	119536814	16008207	1177209	30315971	2966992	19904
16	shuffle	34793594	1539676	119390468	15989169	1169932	30271265	2962749	19904
16	sticky	32712571	1539676	112384883	15167790	1025850	28328398	2824593	19904
32	rr	55913229	1539676	191591383	25328660	2070519	50556921	3796728	19904
32	shuffle	55683781	1539676	191020942	25265231	2049699	50342193	3782008	19904
32	sticky	51339790	1539676	176041148	23371138	1762744	46260583	3519627	19904
