aff_ord	tu	C_wire	B_wire	extra	C_tok	B_tok	new_regions	new_blocks	deepest
1	1	152	165	0	24	40	1	0	676
2	2	376	698	0	93	268	0	2	1667
3	3	300	642	0	91	265	0	5	1667
4	4	325	608	0	91	195	0	1	1333
5	5	60	174	0	14	34	0	0	1667
6	6	202	405	0	53	146	0	11	3228
7	7	336	621	0	118	231	0	0	3228
8	8	952	1313	0	427	661	0	28	2979
9	9	280	484	0	84	161	0	1	2085
10	10	262	429	0	65	140	0	4	1642
11	11	66	192	0	15	40	0	3	1667
12	12	177	244	0	47	101	0	0	1667
13	13	199	295	0	42	90	0	0	2979
14	14	63	162	0	14	39	0	1	1667
15	15	143	242	0	47	100	0	3	1667
16	16	142	293	0	42	89	0	5	2979
17	17	158	310	0	40	91	0	0	2979
18	18	94	228	0	15	65	0	0	3228
19	19	68	243	0	19	65	0	0	3228
20	20	361	609	0	172	247	0	1	3228
21	21	363	814	0	99	267	0	1	3228
22	22	70	212	0	21	60	0	0	3228
23	23	332	584	0	109	200	0	4	3228
24	24	424	779	0	182	293	0	3	3228
25	25	208	400	0	82	121	0	2	2979
26	26	274	432	0	89	127	0	3	2158
27	27	60	183	0	15	40	0	1	3228
28	28	150	233	0	36	72	0	0	3728
29	29	447	611	0	199	277	0	4	3728
30	30	199	324	0	45	93	0	1	2979
31	31	199	259	0	48	78	0	1	3200
32	32	67	108	0	14	29	0	0	2010
33	33	128	203	0	20	62	0	0	774
34	34	52	77	0	9	18	0	0	2010
35	35	43	63	0	6	13	0	0	82
36	36	52	124	0	9	23	0	0	2085
37	37	148	280	0	24	93	0	0	2093
38	38	61	104	0	12	28	0	0	1601
39	39	52	122	0	9	22	0	0	1601
40	40	43	60	0	6	12	0	0	2085
41	41	55	75	0	10	17	0	0	2085
42	42	49	88	0	8	22	0	0	1601
43	43	52	119	0	9	21	0	0	1601
44	44	61	135	0	12	24	0	1	1601
45	45	55	88	0	10	22	0	0	1601
46	46	116	180	0	13	48	0	0	2095
47	47	122	277	0	21	95	0	0	2085
48	48	49	115	0	8	16	0	0	2085
49	49	194	309	0	36	87	0	2	1572
50	50	136	290	0	37	78	0	3	1572
51	51	143	275	0	22	67	0	3	1530
52	52	200	311	0	41	90	0	2	2979
53	53	131	262	0	24	69	0	4	1530
54	54	131	271	0	24	76	0	3	1530
55	55	374	609	0	89	201	0	5	2085
56	56	143	244	0	25	48	0	3	2979
57	57	260	358	0	49	103	0	0	1572
58	58	253	462	0	60	146	0	2	1530
