aff_ord	tu	C_wire	B_wire	extra	C_tok	B_tok	new_regions	new_blocks	deepest
1	1	97	34	63	10	8	1	0	2
2	2	119	293	0	42	85	0	1	2199
3	3	83	165	0	25	40	0	0	2949
4	4	207	302	0	74	96	0	1	2197
5	5	239	347	0	62	104	0	0	795
6	6	148	240	0	35	58	0	1	2197
7	7	194	277	0	58	78	0	0	2118
8	8	332	547	0	103	184	0	2	1252
9	9	353	453	0	97	176	0	33	2950
10	10	507	607	0	140	247	0	1	1298
11	11	296	406	0	105	147	0	0	1160
12	12	205	416	0	58	138	0	4	2118
13	13	319	553	0	107	193	0	4	2118
14	14	177	275	0	43	75	0	0	2949
15	15	145	254	0	49	73	0	1	2197
16	16	225	367	0	66	110	0	2	1234
17	17	152	467	0	29	108	0	1	2950
18	18	79	145	0	21	46	0	0	2949
19	19	285	452	0	104	215	0	3	2273
20	20	143	233	0	33	80	0	1	1078
21	21	214	337	0	61	102	0	7	1895
22	22	482	776	0	178	273	0	2	1078
23	23	132	164	0	31	57	0	0	2118
24	24	74	169	0	19	38	0	0	2949
25	25	372	846	0	113	227	0	12	1232
26	26	157	269	0	31	68	0	2	2118
27	27	319	591	0	90	201	0	22	2197
28	28	317	487	0	59	158	0	1	2197
29	29	185	258	0	42	66	0	5	2949
30	30	220	312	0	50	81	0	0	556
31	31	381	572	0	138	209	0	0	1298
32	32	294	542	0	87	190	0	1	2197
33	33	127	244	0	23	61	0	2	957
34	34	82	167	0	19	34	0	0	2118
35	35	181	211	0	54	70	0	1	2197
36	36	248	472	0	56	153	0	0	1230
37	37	166	289	0	49	84	0	0	2118
38	38	234	342	0	63	100	0	0	1895
39	39	352	416	0	107	134	0	0	2273
40	40	133	234	0	25	59	0	2	1252
41	41	177	273	0	37	80	0	6	670
42	42	223	432	0	72	141	0	0	2202
43	43	213	454	0	54	127	0	0	2199
44	44	162	276	0	35	76	0	2	670
45	45	239	428	0	57	109	0	1	692
46	46	182	366	0	42	102	0	0	889
47	47	483	648	0	194	253	0	3	1895
48	48	140	485	0	39	122	0	0	2118
49	49	233	746	0	75	206	0	3	2273
50	50	512	685	0	162	243	0	2	665
51	51	393	656	0	108	213	0	5	665
52	52	109	201	0	29	49	0	0	2949
53	53	106	188	0	27	41	0	0	2197
54	54	518	765	0	188	285	0	3	1817
55	55	200	349	0	47	118	0	1	957
56	56	260	388	0	78	131	0	0	2197
57	57	315	502	0	92	148	0	1	1817
58	58	191	370	0	56	101	0	1	2953
59	59	185	286	0	42	76	0	1	2949
60	60	107	103	4	16	27	0	0	2197
61	61	124	251	0	22	58	0	0	2950
