aff_ord	tu	C_wire	B_wire	extra	C_tok	B_tok	new_regions	new_blocks	deepest
1	1	1167	1307	0	540	600	1	4	1517
2	2	1066	1317	0	620	712	0	5	538
3	3	2242	2811	0	1258	1405	0	8	898
4	4	1074	1275	0	616	678	0	0	1623
5	5	13107	13491	0	7030	7205	0	7	2738
6	6	2144	2507	0	1182	1346	0	43	1517
7	7	6730	7403	0	4004	4211	0	0	1454
8	8	907	1048	0	489	542	0	5	760
9	9	2068	2203	0	1170	1232	0	3	949
10	10	1295	1484	0	701	773	0	1	948
11	11	777	906	0	405	451	0	5	760
12	12	2835	3088	0	1649	1732	0	1	1060
13	13	1325	1717	0	742	859	0	1	1240
14	14	6054	6383	0	3634	3741	0	3	2204
15	15	4404	5001	0	2517	2712	0	25	1280
16	16	50	109	0	9	14	0	1	134
17	17	81	98	0	8	13	0	0	134
18	18	2395	2686	0	1322	1399	0	3	1358
19	19	1106	1744	0	528	755	0	5	1157
20	20	3532	3965	0	2159	2275	0	1	2204
21	21	52	67	0	9	14	0	0	134
22	22	2327	2472	0	1519	1557	0	1	1358
23	23	1722	2164	0	1041	1186	0	5	621
24	24	4647	4971	0	2860	2969	0	3	778
25	25	2069	2411	0	1292	1352	0	0	1060
26	26	1513	1780	0	859	926	0	2	2887
27	27	311	524	0	134	193	0	0	1857
28	28	808	1029	0	508	552	0	0	1403
29	29	9566	9967	0	5254	5328	0	4	2887
30	30	1574	1699	0	916	982	0	3	1403
31	31	1606	1896	0	879	1004	0	2	1517
32	32	2182	2458	0	1389	1434	0	2	1333
33	33	13928	14046	0	7842	7875	0	0	4679
34	34	2747	3017	0	1544	1616	0	5	4679
35	35	736	991	0	324	419	0	4	1358
36	36	8154	8403	0	5003	5079	0	3	1623
37	37	1809	2056	0	1001	1064	0	0	1623
38	38	3825	4175	0	2360	2466	0	2	1358
39	39	20263	20528	0	12263	12340	0	4	2440
40	40	13736	13880	0	7802	7843	0	0	5208
41	41	922	1207	0	415	502	0	0	1358
42	42	1462	1635	0	795	849	0	0	1638
43	43	6647	7093	0	3967	4083	0	5	1060
44	44	6964	7172	0	4206	4250	0	0	5208
45	45	5039	5215	0	2965	3018	0	1	1638
46	46	700	841	0	291	366	0	1	1358
47	47	6169	6399	0	3347	3426	0	1	2440
48	48	728	952	0	405	480	0	5	870
49	49	2400	2887	0	1389	1517	0	5	1391
50	50	2168	2374	0	1284	1331	0	1	4679
51	51	49	64	0	8	13	0	0	134
52	52	10801	11111	0	6048	6141	0	1	5208
53	53	1700	2080	0	986	1091	0	3	1517
54	54	31110	31441	0	16574	16661	0	1	5208
55	55	11089	11470	0	6195	6286	0	1	1623
56	56	3587	3959	0	2062	2158	0	3	2069
57	57	342	530	0	158	201	0	1	5208
58	58	7786	8142	0	4408	4500	0	8	1623
59	59	10421	10616	0	5912	5960	0	1	5129
60	60	7620	8083	0	4455	4586	0	0	1429
61	61	21179	21820	0	11686	11885	0	10	2768
62	62	558	753	0	265	312	0	0	5376
63	63	3610	3959	0	2094	2201	0	2	1358
64	64	4008	4221	0	2241	2288	0	0	5376
65	65	51789	61760	0	27096	27235	0	2	2069
66	66	1853	2071	0	1086	1124	0	0	5376
67	67	563	733	0	249	297	0	3	1517
68	68	43020	43255	0	22800	22846	0	1	5376
69	69	1103	1270	0	663	695	0	0	5376
70	70	14872	15194	0	8101	8152	0	1	4679
71	71	1613	1735	0	922	953	0	2	5376
72	72	2139	2530	0	1304	1437	0	1	1948
73	73	830	940	0	489	520	0	1	5376
74	74	4739	5260	0	2728	2846	0	3	2768
75	75	42120	42572	0	22222	22370	0	3	2239
76	76	588	814	0	304	355	0	1	2069
77	77	15574	15814	0	9206	9249	0	0	2069
78	78	1832	2140	0	1067	1148	0	2	2069
79	79	7664	7815	0	4385	4417	0	3	5208
80	80	4111	4378	0	2429	2505	0	0	1403
81	81	2122	2275	0	1217	1243	0	1	5208
82	82	2462	2581	0	1414	1435	0	0	5208
83	83	4330	4451	0	2453	2480	0	0	5208
84	84	4186	4290	0	2418	2446	0	1	5208
85	85	695	819	0	388	407	0	0	5208
86	86	10300	10460	0	5774	5824	0	0	3252
87	87	12674	12897	0	7383	7410	0	0	5208
88	88	21730	21792	0	11819	11837	0	1	5208
89	89	1523	1700	0	894	948	0	1	1517
90	90	2803	2937	0	1684	1710	0	1	5903
91	91	10073	10435	0	5603	5699	0	1	2069
92	92	8017	8036	0	4643	4659	0	0	5903
93	93	2083	2187	0	1276	1299	0	0	5903
94	94	3970	4111	0	2371	2403	0	2	5903
95	95	2927	3001	0	1611	1627	0	0	5903
96	96	41913	42928	0	19003	19176	0	3	1547
97	97	8834	8974	0	5113	5139	0	0	5903
98	98	15905	16129	0	8577	8601	0	1	5903
99	99	15724	15777	0	8436	8464	0	2	5903
100	100	6049	6587	0	3519	3730	0	3	1454
101	101	16847	16984	0	9054	9099	0	0	5903
102	102	2577	2871	0	1455	1550	0	2	3252
103	103	2535	2572	0	1487	1496	0	0	5903
104	104	3867	4010	0	2082	2109	0	1	2768
105	105	442	580	0	174	216	0	2	896
106	106	1111	1194	0	618	651	0	0	4679
107	107	3764	4092	0	2204	2310	0	5	609
108	108	49	61	0	8	12	0	0	134
109	109	2676	2798	0	1488	1521	0	1	1623
110	110	724	1069	0	405	504	0	2	1663
111	111	17019	17523	0	9338	9476	0	14	1616
112	112	214	382	0	81	127	0	1	559
113	113	10787	10892	0	6108	6123	0	1	5903
114	114	240	486	0	90	156	0	1	1060
115	115	17789	17914	0	9732	9839	0	12	5903
116	116	24271	24394	0	12959	12992	0	1	2768
117	117	1538	1726	0	889	940	0	4	1623
118	118	2033	2203	0	1137	1169	0	1	4679
119	119	2204	2531	0	1364	1455	0	1	846
120	120	437	578	0	165	209	0	1	446
121	121	1214	1376	0	724	766	0	2	1063
122	122	3768	3833	0	2197	2211	0	0	6759
123	123	1884	2487	0	1015	1177	0	32	1358
124	124	1060	1498	0	532	694	0	6	1060
125	125	659	1296	0	254	526	0	6	1314
126	126	5444	5711	0	3474	3540	0	1	720
127	127	473	601	0	200	236	0	1	1623
128	128	1665	2012	0	1009	1099	0	4	441
129	129	5789	5925	0	3028	3062	0	0	6759
130	130	2866	3453	0	1633	1896	0	3	448
131	131	1784	1991	0	1035	1093	0	1	961
132	132	257	445	0	91	131	0	0	871
133	133	49	61	0	8	12	0	0	134
134	134	1810	2012	0	1004	1062	0	0	1358
135	135	4181	4646	0	2350	2456	0	4	1314
136	136	7872	8151	0	4432	4490	0	0	2069
137	137	5692	6163	0	3542	3656	0	5	1060
138	138	10856	13540	0	6041	6235	0	24	2204
139	139	1257	1486	0	663	725	0	0	491
140	140	1372	1582	0	755	821	0	4	491
141	141	639	792	0	311	355	0	0	4679
142	142	4467	4793	0	2584	2680	0	7	1000
143	143	1973	2228	0	1214	1282	0	1	1236
144	144	535	810	0	264	349	0	2	1422
145	145	2477	2845	0	1476	1543	0	0	2887
