key	value
TUs	689
raw_MiB	1893.73
ceil_rules	37125
ceil_tokens	325737
ceil_wire	13122562
A_root_tok	462244
A_wire	13222150
A_blocks	20536
A_encode_s	1.05634
A_learn_s	0.0306933
A_pairs	258044
A_final_cum_wire	13222150
ceil_final_cum_wire	13122562
A_wire_regret_pct	0.758907
B_online_wire	697374
B_online_root_tok	283420
B_new_blocks	5328
B_frozenA_wire	703537
B_frozenA_root_tok	305134
frozenA_blocks	20536
perF_rr_1	12894819
perF_sticky_1	12894819
perF_rr_4	21106479
perF_sticky_4	17043836
perF_rr_8	28266919
perF_sticky_8	21858191
perF_rr_16	40568070
perF_sticky_16	31526650
perF_rr_32	60449751
perF_sticky_32	43744091
recI_first_extra	18
recI_p50_extra	0
recI_p95_extra	44
recI_cum_extra	9869
recI_affected	550
D_changed_wire	603746
D_revert_wire	599503
recII_first_extra	0
recII_p50_extra	0
recII_p95_extra	0
recII_cum_extra	137
recII_affected	689
editII_target_fanout	689
algo1_lines_wire	87943438
algo2_regions_wire	4752101
algo3_blocks_wire	545494
algo2_root_tok	2521258
algo3_root_tok	232722
blocks_vs_regions_pct	88.521
life_blocks	40037
life_never_pct	26.533
life_bytes_never	56549
life_use_p50	16
life_use_p95	2488
life_use_max	4118
life_depth_p50	2
life_depth_p95	9
life_depth_max	19
life_gap_p50	1
life_gap_p95	249
predictor_mem_MiB	5.89952
phrase_blocks	546819
phrase_root_tok	399581
phrase_wire	14835251
pair_blocks_A	40037
pair_wire_A	13222150
order_original_wire	13222150
order_reverse_wire	13227844
order_shuffle-s1_wire	13224043
order_shuffle-s2_wire	13213804
order_sched-proxy-s3_wire	13230812
order_min_wire	13213804
order_median_wire	13224043
order_max_wire	13230812
total_runtime_s	70.4997
ref_hash	13562262074477956993
frame_bytes_model	16
K	8
batch_min	16
