key	value
TUs	1238
raw_MiB	3452.56
ceil_rules	52611
ceil_tokens	217468
ceil_wire	12592266
A_root_tok	379727
A_wire	12645523
A_blocks	27431
A_encode_s	1.37525
A_learn_s	0.026788
A_pairs	116507
A_final_cum_wire	12645523
ceil_final_cum_wire	12592266
A_wire_regret_pct	0.422934
B_online_wire	448315
B_online_root_tok	138543
B_new_blocks	6587
B_frozenA_wire	443099
B_frozenA_root_tok	163636
frozenA_blocks	27431
perF_rr_1	12190088
perF_sticky_1	12190088
perF_rr_4	20664088
perF_sticky_4	17577927
perF_rr_8	30065575
perF_sticky_8	23162818
perF_rr_16	46147934
perF_sticky_16	30727531
perF_rr_32	72548422
perF_sticky_32	45946243
recI_first_extra	76
recI_p50_extra	0
recI_p95_extra	21
recI_cum_extra	2724
recI_affected	989
D_changed_wire	322733
D_revert_wire	308215
recII_first_extra	63
recII_p50_extra	0
recII_p95_extra	0
recII_cum_extra	538
recII_affected	1238
editII_target_fanout	1238
algo1_lines_wire	165226858
algo2_regions_wire	8507267
algo3_blocks_wire	257859
algo2_root_tok	4829113
algo3_root_tok	81437
blocks_vs_regions_pct	96.969
life_blocks	45845
life_never_pct	28.6945
life_bytes_never	70080
life_use_p50	21
life_use_p95	4428
life_use_max	7364
life_depth_p50	2
life_depth_p95	11
life_depth_max	20
life_gap_p50	2
life_gap_p95	368
predictor_mem_MiB	4.23602
phrase_blocks	914012
phrase_root_tok	347922
phrase_wire	15436074
pair_blocks_A	45845
pair_wire_A	12645523
order_original_wire	12645523
order_reverse_wire	12629517
order_shuffle-s1_wire	12641020
order_shuffle-s2_wire	12634361
order_sched-proxy-s3_wire	12637777
order_min_wire	12629517
order_median_wire	12637777
order_max_wire	12645523
total_runtime_s	105.506
ref_hash	404958161227739208
frame_bytes_model	16
K	8
batch_min	16
