key	value
TUs	622
raw_MiB	2970.05
ceil_rules	53149
ceil_tokens	883046
ceil_wire	12965782
A_root_tok	1029744
A_wire	13080053
A_blocks	24338
A_encode_s	1.61099
A_learn_s	0.108692
A_pairs	795510
A_final_cum_wire	13080053
ceil_final_cum_wire	12965782
A_wire_regret_pct	0.881327
B_online_wire	1594232
B_online_root_tok	808056
B_new_blocks	6016
B_frozenA_wire	1616536
B_frozenA_root_tok	826916
frozenA_blocks	24338
perF_rr_1	12516958
perF_sticky_1	12516958
perF_rr_4	17683899
perF_sticky_4	17149302
perF_rr_8	23686502
perF_sticky_8	22549312
perF_rr_16	34842543
perF_sticky_16	32712571
perF_rr_32	55913229
perF_sticky_32	51339790
recI_first_extra	2
recI_p50_extra	0
recI_p95_extra	10
recI_cum_extra	17456
recI_affected	528
D_changed_wire	1480217
D_revert_wire	1471079
recII_first_extra	0
recII_p50_extra	0
recII_p95_extra	0
recII_cum_extra	7
recII_affected	622
editII_target_fanout	622
algo1_lines_wire	131472534
algo2_regions_wire	8583252
algo3_blocks_wire	1415401
algo2_root_tok	4358454
algo3_root_tok	760917
blocks_vs_regions_pct	83.5097
life_blocks	41852
life_never_pct	30.9233
life_bytes_never	69105
life_use_p50	16
life_use_p95	2956
life_use_max	3626
life_depth_p50	2
life_depth_p95	10
life_depth_max	18
life_gap_p50	2
life_gap_p95	209
predictor_mem_MiB	14.0253
phrase_blocks	704133
phrase_root_tok	980615
phrase_wire	15995817
pair_blocks_A	41852
pair_wire_A	13080053
order_original_wire	13080053
order_reverse_wire	13056049
order_shuffle-s1_wire	13022003
order_shuffle-s2_wire	13020668
order_sched-proxy-s3_wire	13039458
order_min_wire	13020668
order_median_wire	13039458
order_max_wire	13080053
total_runtime_s	108.509
ref_hash	15490881900500653830
frame_bytes_model	16
K	8
batch_min	16
