tu	regions	root_tok	new_lines	new_regions	new_blocks	deepest	root_z3	line_def	region_def	block_def	missing	fill_z3	total_z	cum_z	blocks	pairs	srcbytes
0	1453	1453	12741	1420	0	0	2361	587679	57089	0	2776	155708	160877	160877	0	1444	839260
1	5602	5602	56474	4122	1	0	10214	3241497	323397	0	8244	760839	779329	940206	1	5650	5434195
2	5602	5594	0	0	4	2	10193	0	0	4	1	13	10239	950445	5	5660	5434195
3	4963	4948	1702	199	7	2	8935	121726	16196	12	401	26224	35592	986037	12	6017	4094994
4	4940	4911	7	5	3	3	8838	575	51	15	15	331	9216	995253	15	6049	4089591
5	3889	3849	1689	217	1	3	6798	98913	14787	8	436	25976	33242	1028495	16	6393	3444471
6	4229	4183	1675	134	1	3	7472	104071	13181	3	269	29828	37601	1066096	17	6574	3790236
7	4914	4851	5924	612	1274	3	8783	336682	36480	3	1225	92638	102678	1168774	1291	7267	4336012
8	4092	3391	546	68	1947	4	6386	37562	3221	2579	1428	13198	21044	1189818	3238	8083	3546232
9	3819	2111	170	36	51	4	3941	13030	1280	4028	2086	6763	12822	1202640	3289	9251	3274307
10	4938	3195	41	11	161	4	6131	2580	228	155	100	1062	7325	1209965	3450	9516	3879853
11	4999	3164	1574	58	22	4	6088	156522	8242	366	300	28025	34445	1244410	3472	9707	4098549
12	3948	2198	294	65	26	4	4150	19042	2892	73	168	7083	11433	1255843	3498	9906	3449557
13	4938	3066	0	0	92	4	5887	0	0	82	42	91	6052	1261895	3590	9949	3879853
14	4999	3069	0	0	844	4	5910	0	0	232	116	230	6288	1268183	4434	10039	4098549
15	3948	2108	0	0	627	4	3924	0	0	91	46	100	4102	1272285	5061	10101	3449557
16	3948	1777	240	34	888	6	3310	15716	1711	1283	726	6271	10339	1282624	5949	10536	3400600
17	3787	1245	81	9	47	6	2292	5478	509	1842	942	3663	6929	1289553	5996	11119	3320861
18	3761	1188	102	12	99	6	2174	6565	569	136	92	2305	4603	1294156	6095	11202	3210935
19	4275	1525	2233	155	19	6	2845	153901	17429	368	494	33014	36385	1330541	6114	11510	3863336
20	4855	2058	3672	384	79	6	3846	211373	21694	100	818	58682	63378	1393919	6193	12008	4164315
21	3750	1093	80	17	16	6	1961	6427	637	80	74	1770	3837	1397756	6209	12066	3207457
22	5139	1920	878	89	69	6	3583	54426	5445	1479	918	18273	22806	1420562	6278	12592	4213723
23	4587	1652	2633	192	326	7	3083	171799	16573	189	480	44295	47890	1468452	6604	12902	4090556
24	3998	1063	491	69	469	9	1961	33808	2986	659	468	10052	12513	1480965	7073	13214	3445172
25	3902	893	785	84	41	9	1691	47661	11442	991	666	17185	19574	1500539	7114	13691	3612425
26	3787	657	102	9	64	9	1166	7675	1035	270	154	2428	3780	1504319	7178	13827	3327247
27	4212	919	128	26	11	9	1689	9327	909	172	138	3019	4878	1509197	7189	13932	3674163
28	4151	945	2259	216	6	9	1784	132417	13561	63	515	36431	38762	1547959	7195	14204	3616621
29	4046	780	194	27	10	9	1478	14249	1222	66	115	4057	5682	1553641	7205	14291	3479243
30	3947	712	145	34	23	9	1330	10836	938	20	112	3338	4812	1558453	7228	14344	3395484
31	2384	404	790	14	148	9	766	38254	3774	24	54	11378	12230	1570683	7376	14376	1859816
32	2257	432	351	64	36	16	878	20752	2328	491	438	6097	7445	1578128	7412	14655	1698503
33	2027	227	116	7	30	17	444	5446	665	120	81	2199	2756	1580884	7442	14719	1521191
34	92	21	27462	4	0	17	61	3223139	94627	0	12	851858	851963	2432847	7442	14725	3697406
35	2633	303	191	13	33	17	587	10181	800	72	75	3586	4280	2437127	7475	14772	2046643
36	2797	340	1142	40	62	17	673	54109	6055	92	166	16559	17430	2454557	7537	14852	2210858
37	2646	265	233	9	9	17	521	13348	1490	120	87	4719	5359	2459916	7546	14903	2071158
38	2639	253	54	6	5	17	495	2489	603	28	32	1400	1959	2461875	7551	14924	2058966
39	2096	189	1871	6	6	17	365	276062	5839	7	22	77760	78179	2540054	7557	14936	1832086
40	2626	232	55	5	65	23	437	2915	239	24	27	1363	1859	2541913	7622	14956	2042958
41	2639	209	116	6	33	32	416	5411	938	144	90	2494	3032	2544945	7655	15010	2062827
42	2639	187	146	6	21	32	373	6049	1019	88	62	2813	3280	2548225	7676	15054	2062100
43	2646	179	169	8	9	32	359	10745	1184	52	50	4054	4495	2552720	7685	15088	2070128
44	2642	168	96	5	16	32	332	6579	583	38	33	2984	3381	2556101	7701	15113	2065016
45	2829	198	104	14	34	32	396	5939	2149	152	118	3344	3890	2559991	7735	15181	2272760
46	2833	253	884	75	0	32	511	53873	4349	78	263	13771	14577	2574568	7735	15290	2160200
47	2171	179	113	4	2	32	371	5377	462	0	12	2011	2426	2576994	7737	15298	1578255
48	4138	560	168	39	35	32	1103	9793	1162	112	171	3422	4728	2581722	7772	15447	3516299
49	4156	543	156	15	91	64	1072	10826	852	84	87	3257	4448	2586170	7863	15502	3622400
50	3888	447	121	18	42	64	882	6856	726	312	210	2870	3994	2590164	7905	15659	3369432
51	4303	613	366	21	63	64	1220	22006	1904	204	165	6344	7761	2597925	7968	15813	3658594
52	4110	425	133	12	40	64	840	8784	803	100	86	2591	3549	2601474	8008	15875	3508992
53	4130	433	105	14	21	64	863	6009	1191	172	128	2669	3692	2605166	8029	15962	3519888
54	5016	991	293	86	46	64	1961	17004	3518	373	446	7677	10116	2615282	8075	16296	3948233
