tu	regions	root_tok	new_lines	new_regions	new_blocks	deepest	root_z3	line_def	region_def	block_def	missing	fill_z3	total_z	cum_z	blocks	pairs	srcbytes
0	1453	40	0	0	0	344	99	0	0	16	9	25	165	165	20536	258055	839260
1	5602	268	0	0	3	1025	581	0	0	49	27	58	698	863	20539	258119	5434195
2	5602	265	0	0	53	1025	574	0	0	18	9	27	642	1505	20592	258125	5434195
3	4963	195	0	0	8	928	484	0	0	53	30	62	608	2113	20600	258169	4094994
4	4940	34	0	0	4	928	107	0	0	17	9	26	174	2287	20604	258183	4089591
5	3889	146	0	0	6	755	356	0	0	5	3	14	405	2692	20610	258207	3444471
6	4229	231	0	0	21	755	529	0	0	33	18	42	621	3313	20631	258259	3790236
7	4914	661	0	0	5	492	1212	0	0	39	21	48	1313	4626	20636	258331	4336012
8	4092	161	0	0	8	755	386	0	0	36	21	45	484	5110	20644	258371	3546232
9	3819	140	0	0	2	1022	326	0	0	38	24	47	429	5539	20646	258390	3274307
10	4938	40	0	0	0	1178	115	0	0	24	12	33	192	5731	20646	258406	3879853
11	4999	101	0	0	2	1178	228	0	0	0	0	0	244	5975	20648	258410	4098549
12	3948	90	0	0	1	492	246	0	0	5	3	14	295	6270	20649	258438	3449557
13	4938	39	0	0	0	1178	112	0	0	6	3	15	162	6432	20649	258440	3879853
14	4999	100	0	0	3	1178	226	0	0	0	0	0	242	6674	20652	258440	4098549
15	3948	89	0	0	6	492	243	0	0	6	3	15	293	6967	20658	258442	3449557
16	3948	91	0	0	0	492	233	0	0	24	12	33	310	7277	20658	258460	3400600
17	3787	65	0	0	4	1022	180	0	0	4	3	13	228	7505	20662	258469	3320861
18	3761	65	0	0	6	1022	176	0	0	17	9	26	243	7748	20668	258482	3210935
19	4275	247	0	0	6	1022	511	0	0	36	21	45	609	8357	20674	258519	3863336
20	4855	267	0	0	11	1022	634	0	0	85	54	94	814	9171	20685	258594	4164315
21	3750	60	0	0	6	1022	162	0	0	6	3	15	212	9383	20691	258598	3207457
22	5139	200	0	0	11	1022	476	0	0	43	24	52	584	9967	20702	258669	4213723
23	4587	293	0	0	24	1022	632	0	0	67	39	76	779	10746	20726	258735	4090556
24	3998	121	0	0	4	492	287	0	0	45	27	54	400	11146	20730	258767	3445172
25	3902	127	0	0	6	1054	320	0	0	47	24	56	432	11578	20736	258809	3612425
26	3787	40	0	0	0	1054	106	0	0	24	12	33	183	11761	20736	258824	3327247
27	4212	72	0	0	4	1054	183	0	0	6	3	15	233	11994	20740	258836	3674163
28	4151	277	0	0	5	1054	552	0	0	12	6	21	611	12605	20745	258861	3616621
29	4046	93	0	0	0	808	258	0	0	16	9	25	324	12929	20745	258878	3479243
30	3947	78	0	0	3	808	209	0	0	6	3	15	259	13188	20748	258894	3395484
31	2384	29	0	0	1	1054	92	0	0	0	0	0	108	13296	20749	258899	1859816
32	2257	62	0	0	5	928	187	0	0	0	0	0	203	13499	20754	258921	1698503
33	2027	18	0	0	0	1054	61	0	0	0	0	0	77	13576	20754	258923	1521191
34	92	13	0	0	1	40	47	0	0	0	0	0	63	13639	20755	258923	3697406
35	2633	23	0	0	1	1054	74	0	0	6	3	15	124	13763	20756	258930	2046643
36	2797	93	0	0	2	1054	216	0	0	14	9	23	280	14043	20758	258941	2210858
37	2646	28	0	0	1	1054	88	0	0	0	0	0	104	14147	20759	258943	2071158
38	2639	22	0	0	0	1054	72	0	0	6	3	15	122	14269	20759	258947	2058966
39	2096	12	0	0	0	1054	44	0	0	0	0	0	60	14329	20759	258949	1832086
40	2626	17	0	0	0	1054	59	0	0	0	0	0	75	14404	20759	258953	2042958
41	2639	22	0	0	1	1054	72	0	0	0	0	0	88	14492	20760	258955	2062827
42	2639	21	0	0	2	1054	69	0	0	6	3	15	119	14611	20762	258959	2062100
43	2646	24	0	0	0	1540	76	0	0	12	6	21	135	14746	20762	258965	2070128
44	2642	22	0	0	1	1540	72	0	0	0	0	0	88	14834	20763	258965	2065016
45	2829	48	0	0	5	1540	130	0	0	6	3	15	180	15014	20768	258973	2272760
46	2833	95	0	0	20	1540	227	0	0	6	3	15	277	15291	20788	258982	2160200
47	2171	16	0	0	0	1540	56	0	0	12	6	21	115	15406	20788	258989	1578255
48	4138	87	0	0	4	1054	236	0	0	20	12	29	309	15715	20792	259015	3516299
49	4156	78	0	0	2	1117	216	0	0	21	12	30	290	16005	20794	259028	3622400
50	3888	67	0	0	3	1117	194	0	0	25	15	34	275	16280	20797	259052	3369432
51	4303	90	0	0	8	808	252	0	0	12	6	21	311	16591	20805	259075	3658594
52	4110	69	0	0	2	1117	196	0	0	16	9	25	262	16853	20807	259084	3508992
53	4130	76	0	0	5	1117	212	0	0	12	6	21	271	17124	20812	259094	3519888
54	5016	201	0	0	6	1117	511	0	0	36	21	45	609	17733	20818	259154	3948233
55	4109	48	0	0	1	808	150	0	0	35	18	44	244	17977	20819	259175	3503553
56	4207	103	0	0	7	1117	281	0	0	24	12	33	358	18335	20826	259208	3768730
57	4397	146	0	0	5	1117	377	0	0	29	15	38	462	18797	20831	259242	3814083
58	4319	113	0	0	10	928	316	0	0	18	9	27	384	19181	20841	259273	3735939
59	4202	100	0	0	3	928	281	0	0	36	18	45	376	19557	20844	259299	3685428
60	4187	139	0	0	4	1117	354	0	0	55	38	64	488	20045	20848	259336	3685850
61	2384	25	0	0	1	1117	82	0	0	4	3	13	130	20175	20849	259339	1859816
62	2257	56	0	0	3	928	169	0	0	18	9	27	237	20412	20852	259345	1698503
63	2027	14	0	0	1	1530	49	0	0	6	3	15	99	20511	20853	259348	1521191
64	92	12	0	0	2	41	44	0	0	0	0	0	60	20571	20855	259348	3697406
65	2633	17	0	0	0	1117	56	0	0	0	0	0	72	20643	20855	259350	2046643
66	2797	80	0	0	22	1117	198	0	0	10	6	19	255	20898	20877	259354	2210858
67	2646	22	0	0	1	1117	70	0	0	0	0	0	86	20984	20878	259356	2071158
68	2639	16	0	0	0	1117	55	0	0	5	3	14	104	21088	20878	259360	2058966
69	2096	11	0	0	0	1117	41	0	0	0	0	0	57	21145	20878	259360	1832086
70	2626	13	0	0	0	1117	47	0	0	0	0	0	63	21208	20878	259362	2042958
71	2639	16	0	0	3	1117	55	0	0	0	0	0	71	21279	20881	259365	2062827
72	2639	14	0	0	0	1603	50	0	0	11	6	20	108	21387	20881	259372	2062100
73	2646	19	0	0	2	1603	63	0	0	0	0	0	79	21466	20883	259376	2070128
74	2642	16	0	0	1	1603	56	0	0	6	3	15	106	21572	20884	259379	2065016
75	2829	41	0	0	14	1603	114	0	0	9	6	18	170	21742	20898	259386	2272760
76	2833	73	0	0	2	1603	201	0	0	56	39	65	337	22079	20900	259405	2160200
77	2171	16	0	0	1	1603	56	0	0	0	0	0	72	22151	20901	259406	1578255
78	4138	70	0	0	6	1530	194	0	0	6	3	15	244	22395	20907	259415	3516299
79	4156	59	0	0	1	1530	169	0	0	35	21	44	266	22661	20908	259434	3622400
80	3888	56	0	0	1	1530	163	0	0	11	6	20	221	22882	20909	259443	3369432
81	4303	76	0	0	2	808	206	0	0	17	9	26	273	23155	20911	259449	3658594
82	4110	54	0	0	6	1530	152	0	0	6	3	15	202	23357	20917	259453	3508992
83	4130	57	0	0	4	1530	165	0	0	23	12	32	241	23598	20921	259465	3519888
84	5016	194	0	0	13	1603	494	0	0	28	15	37	578	24176	20934	259477	3948233
85	4109	44	0	0	2	808	138	0	0	0	0	0	154	24330	20936	259479	3503553
86	4207	89	0	0	2	1530	251	0	0	27	15	36	334	24664	20938	259493	3768730
87	4397	133	0	0	10	1530	350	0	0	24	12	33	427	25091	20948	259502	3814083
88	4319	101	0	0	3	986	281	0	0	42	21	51	385	25476	20951	259517	3735939
89	4202	89	0	0	5	986	254	0	0	12	6	21	313	25789	20956	259524	3685428
90	4187	119	0	0	3	1530	317	0	0	22	12	31	392	26181	20959	259536	3685850
91	4141	73	0	0	2	1117	206	0	0	12	6	21	265	26446	20961	259551	3351215
92	4294	69	0	0	0	1117	201	0	0	17	9	26	268	26714	20961	259564	3594506
