tu	regions	root_tok	new_lines	new_regions	new_blocks	deepest	root_z3	line_def	region_def	block_def	missing	fill_z3	total_z	cum_z	blocks	pairs	srcbytes
0	1453	36	1	1	1	634	87	40	5	4	6	58	183	183	25865	276166	839300
1	5602	188	0	0	5	1559	458	0	0	62	42	71	603	786	25870	276211	5434235
2	5602	183	0	0	8	1559	451	0	0	28	15	37	535	1321	25878	276221	5434235
3	4963	133	0	0	6	1189	361	0	0	64	42	73	508	1829	25884	276257	4095034
4	4940	20	0	0	0	1559	62	0	0	0	0	0	78	1907	25884	276261	4089631
5	3889	96	0	0	1	1094	219	0	0	0	0	0	235	2142	25885	276267	3444511
6	4229	161	0	0	6	1170	373	0	0	6	3	15	423	2565	25891	276281	3790276
7	4914	609	0	0	3	2122	1097	0	0	10	6	19	1154	3719	25894	276312	4336052
8	4092	117	0	0	8	1313	293	0	0	18	12	27	364	4083	25902	276332	3546272
9	3819	105	0	0	25	1170	226	0	0	6	3	15	276	4359	25927	276340	3274347
10	4938	24	0	0	0	1559	71	0	0	8	6	17	126	4485	25927	276346	3879893
11	4999	85	0	0	6	1559	193	0	0	0	0	0	209	4694	25933	276353	4098589
12	3948	63	0	0	1	2122	173	0	0	0	0	0	189	4883	25934	276370	3449597
13	4938	23	0	0	1	1617	68	0	0	6	3	15	118	5001	25935	276372	3879893
14	4999	79	0	0	1	1617	183	0	0	22	15	31	261	5262	25936	276383	4098589
15	3948	62	0	0	6	2122	170	0	0	6	3	15	220	5482	25942	276385	3449597
16	3948	52	0	0	0	2122	133	0	0	13	9	22	196	5678	25942	276395	3400640
17	3787	31	0	0	4	1170	89	0	0	6	3	15	139	5817	25946	276402	3320901
18	3761	28	0	0	0	1170	79	0	0	18	9	27	147	5964	25946	276410	3210975
19	4275	197	0	0	4	1170	409	0	0	4	3	13	457	6421	25950	276425	3863376
20	4855	174	0	0	16	1170	444	0	0	66	36	75	587	7008	25966	276468	4164355
21	3750	29	0	0	0	1170	78	0	0	6	3	15	128	7136	25966	276474	3207497
22	5139	146	0	0	4	1170	367	0	0	28	15	37	451	7587	25970	276510	4213763
23	4587	223	0	0	6	1273	492	0	0	69	42	78	644	8231	25976	276558	4090596
24	3998	91	0	0	0	2122	217	0	0	20	12	29	290	8521	25976	276572	3445212
25	3902	102	0	0	1	1374	249	0	0	22	12	31	324	8845	25977	276592	3612465
