tu	regions	root_tok	new_lines	new_regions	new_blocks	deepest	root_z3	line_def	region_def	block_def	missing	fill_z3	total_z	cum_z	blocks	pairs	srcbytes
0	11	8	0	0	0	4	18	0	0	0	0	0	34	34	27431	116509	1836
1	5043	85	0	0	3	2197	219	0	0	21	12	30	293	327	27434	116538	3726840
2	4704	40	0	0	2	2408	115	0	0	6	3	15	165	492	27436	116562	3341805
3	5061	96	0	0	2	2197	244	0	0	11	6	20	302	794	27438	116607	3871485
4	4026	104	0	0	4	365	283	0	0	14	9	23	347	1141	27442	116647	2894389
5	5061	58	0	0	1	2197	159	0	0	26	14	35	240	1381	27443	116674	3910918
6	5142	78	0	0	1	1296	202	0	0	22	12	31	277	1658	27444	116700	3977380
7	5525	184	0	0	6	947	456	0	0	32	18	41	547	2205	27450	116754	4423246
8	4600	176	0	0	2	2408	404	0	0	5	3	14	453	2658	27452	116798	3224620
9	4268	247	0	0	1	1292	536	0	0	18	12	27	607	3265	27453	116835	3022248
10	5209	147	0	0	1	538	349	0	0	10	6	19	406	3671	27454	116866	3755417
11	4712	138	0	0	16	1296	342	0	0	21	12	30	416	4087	27470	116897	3423516
12	4908	193	0	0	6	1296	447	0	0	38	27	47	553	4640	27476	116946	3591597
13	4958	75	0	0	0	2408	207	0	0	15	12	24	275	4915	27476	116971	3547473
14	5159	73	0	0	6	2197	195	0	0	12	6	21	254	5169	27482	116993	3893927
15	5128	110	0	0	1	1234	290	0	0	24	12	33	367	5536	27483	117035	3770999
16	5170	108	0	0	1	2408	287	0	0	102	51	97	467	6003	27484	117068	3608859
17	3901	46	0	0	1	2408	129	0	0	0	0	0	145	6148	27485	117074	2807366
18	4799	215	0	0	61	2197	436	0	0	0	0	0	452	6600	27546	117098	3437381
19	4448	80	0	0	5	939	217	0	0	0	0	0	233	6833	27551	117120	3531244
20	5228	102	0	0	2	1279	271	0	0	16	9	25	337	7170	27553	117151	3854245
21	5981	273	0	0	7	484	613	0	0	80	42	89	776	7946	27560	117225	4987004
22	2976	57	0	0	9	1296	148	0	0	0	0	0	164	8110	27569	117237	2098275
23	5005	38	0	0	2	2408	110	0	0	12	6	21	169	8279	27571	117245	3758634
24	5482	227	0	0	9	1230	547	0	0	202	102	165	846	9125	27580	117303	4102983
25	4021	68	0	0	1	1296	192	0	0	24	12	33	269	9394	27581	117318	2824953
26	5253	201	0	0	11	2197	496	0	0	36	18	45	591	9985	27592	117356	3666182
27	4975	158	0	0	5	2197	411	0	0	23	12	32	487	10472	27597	117367	3473988
28	5044	66	0	0	0	1205	190	0	0	18	9	27	258	10730	27597	117387	3563242
29	5155	81	0	0	4	1116	228	0	0	28	15	37	312	11042	27601	117425	3936287
30	5460	209	0	0	9	1292	504	0	0	18	9	27	572	11614	27610	117450	3971101
31	5063	190	0	0	10	2197	475	0	0	17	9	26	542	12156	27620	117476	3633439
32	2198	61	0	0	1	939	186	0	0	11	6	20	244	12400	27621	117493	1694908
33	4274	34	0	0	0	1296	109	0	0	11	6	20	167	12567	27621	117504	3149329
34	4164	70	0	0	1	2197	195	0	0	0	0	0	211	12778	27622	117526	2886351
35	5284	153	0	0	4	1230	408	0	0	14	9	23	472	13250	27626	117549	3700722
36	4947	84	0	0	2	1296	230	0	0	12	6	21	289	13539	27628	117571	3508974
37	4873	100	0	0	1	1279	283	0	0	12	6	21	342	13881	27629	117600	3500367
38	5144	134	0	0	2	2197	353	0	0	13	9	22	416	14297	27631	117649	3971550
39	3500	59	0	0	3	947	176	0	0	11	6	20	234	14531	27634	117662	2394412
40	4464	80	0	0	2	1116	226	0	0	3	3	12	273	14804	27636	117679	3541553
41	5734	141	0	0	3	1230	373	0	0	12	6	21	432	15236	27639	117708	4360803
42	5582	127	0	0	4	2197	343	0	0	46	24	55	454	15690	27643	117742	4455883
43	4446	76	0	0	4	484	227	0	0	5	3	14	276	15966	27647	117760	3528182
44	5387	109	0	0	2	1116	302	0	0	55	30	64	428	16394	27649	117798	4160577
45	4880	102	0	0	5	545	289	0	0	24	12	33	366	16760	27654	117826	3447564
46	4087	253	0	0	2	1279	580	0	0	18	9	27	648	17408	27656	117862	2968010
47	4181	122	0	0	3	1296	339	0	0	70	35	79	485	17893	27659	117907	3175279
48	5994	206	0	0	17	2197	505	0	0	122	87	122	746	18639	27676	117960	4578134
49	5859	243	0	0	9	1116	610	0	0	22	12	31	685	19324	27685	118032	4614383
50	5500	213	0	0	6	1116	549	0	0	39	27	48	656	19980	27691	118070	4158627
51	4751	49	0	0	0	1205	143	0	0	11	6	20	201	20181	27691	118086	3717490
52	4495	41	0	0	2	2197	129	0	0	12	6	21	188	20369	27693	118098	3579788
53	5937	285	0	0	13	947	666	0	0	37	21	46	765	21134	27706	118154	4934852
54	3926	118	0	0	7	939	333	0	0	0	0	0	349	21483	27713	118169	2822997
