tu	regions	root_tok	new_lines	new_regions	new_blocks	deepest	root_z3	line_def	region_def	block_def	missing	fill_z3	total_z	cum_z	blocks	pairs	srcbytes
0	11	10	1	1	0	2	21	40	5	0	3	54	110	110	34018	142710	1876
1	5043	67	0	0	2	1308	171	0	0	20	12	29	244	354	34020	142726	3726880
2	4704	35	0	0	0	1517	97	0	0	6	3	15	147	501	34020	142735	3341845
3	5061	85	0	0	1	1308	219	0	0	18	12	27	290	791	34021	142770	3871525
4	4026	72	0	0	3	803	192	0	0	16	9	25	258	1049	34024	142786	2894429
5	5061	43	0	0	0	1308	119	0	0	11	6	20	177	1226	34024	142796	3910958
6	5142	64	0	0	0	1025	162	0	0	16	9	25	228	1454	34024	142813	3977420
7	5525	141	0	0	6	1229	359	0	0	16	9	25	425	1879	34030	142835	4423286
8	4600	158	0	0	3	1517	372	0	0	29	18	38	460	2339	34033	142857	3224660
9	4268	216	0	0	67	1298	454	0	0	6	3	15	504	2843	34100	142874	3022288
10	5209	127	0	0	1	792	297	0	0	16	9	25	363	3206	34101	142894	3755457
11	4712	88	0	0	1	1025	227	0	0	45	33	54	346	3552	34102	142922	3423556
12	4908	147	0	0	8	1025	358	0	0	16	12	25	427	3979	34110	142953	3591637
13	4958	62	0	0	2	1517	173	0	0	41	21	50	276	4255	34112	142973	3547513
14	5159	63	0	0	4	1308	168	0	0	0	0	0	184	4439	34116	142982	3893967
15	5128	79	0	0	2	1652	209	0	0	33	18	42	301	4740	34118	143007	3771039
16	5170	63	0	0	1	1517	179	0	0	16	9	25	245	4985	34119	143020	3608899
17	3901	35	0	0	4	1517	101	0	0	0	0	0	117	5102	34123	143029	2807406
18	4799	162	0	0	1	1201	382	0	0	11	6	20	440	5542	34124	143042	3437421
19	4448	46	0	0	2	959	129	0	0	12	6	21	188	5730	34126	143060	3531284
20	5228	79	0	0	3	784	215	0	0	0	0	0	231	5961	34129	143078	3854285
21	5981	217	0	0	1	555	498	0	0	54	30	63	623	6584	34130	143132	4987044
22	2976	41	0	0	0	1025	106	0	0	0	0	0	122	6706	34130	143145	2098315
23	5005	27	0	0	1	1517	82	0	0	0	0	0	98	6804	34131	143152	3758674
24	5482	163	0	0	0	1230	415	0	0	154	78	146	671	7475	34131	143194	4103023
25	4021	49	0	0	1	1025	145	0	0	6	3	15	195	7670	34132	143202	2824993
26	5253	158	0	0	5	1308	406	0	0	18	9	27	474	8144	34137	143223	3666222
27	4975	129	0	0	52	1308	346	0	0	17	9	26	413	8557	34189	143232	3474028
28	5044	55	0	0	1	1517	166	0	0	6	3	15	216	8773	34190	143244	3563282
29	5155	65	0	0	0	959	191	0	0	5	3	14	240	9013	34190	143262	3936327
30	5460	169	0	0	4	1298	406	0	0	12	6	21	465	9478	34194	143280	3971141
31	5063	131	0	0	10	1515	350	0	0	161	81	144	607	10085	34204	143325	3633479
32	2198	47	0	0	2	668	148	0	0	23	12	32	224	10309	34206	143343	1694948
33	4274	28	0	0	2	1025	92	0	0	6	3	15	142	10451	34208	143352	3149369
34	4164	66	0	0	2	1515	191	0	0	12	6	21	250	10701	34210	143367	2886391
35	5284	101	0	0	4	1230	297	0	0	6	3	15	347	11048	34214	143379	3700762
36	4947	68	0	0	4	1025	197	0	0	12	6	21	256	11304	34218	143389	3509014
37	4873	79	0	0	3	1279	224	0	0	18	9	27	292	11596	34221	143405	3500407
38	5144	125	0	0	4	1201	342	0	0	20	12	29	415	12011	34225	143432	3971590
39	3500	40	0	0	0	1229	127	0	0	12	6	21	186	12197	34225	143443	2394452
40	4464	51	0	0	2	959	159	0	0	11	6	20	217	12414	34227	143460	3541593
41	5734	99	0	0	3	1230	276	0	0	125	63	110	481	12895	34230	143495	4360843
42	5582	86	0	0	5	1308	241	0	0	16	9	25	307	13202	34235	143510	4455923
43	4446	50	0	0	2	555	156	0	0	5	3	14	205	13407	34237	143523	3528222
44	5387	80	0	0	2	959	230	0	0	30	15	39	316	13723	34239	143548	4160617
45	4880	66	0	0	0	773	201	0	0	12	6	21	260	13983	34239	143567	3447604
46	4087	208	0	0	0	1279	467	0	0	6	3	15	517	14500	34239	143581	2968050
47	4181	67	0	0	2	1025	199	0	0	12	6	21	258	14758	34241	143598	3175319
48	5994	144	0	0	27	1205	383	0	0	54	27	63	505	15263	34268	143622	4578174
49	5859	200	0	0	5	959	505	0	0	18	9	27	573	15836	34273	143660	4614423
50	5500	164	0	0	3	959	438	0	0	86	45	91	606	16442	34276	143698	4158667
51	4751	43	0	0	0	1310	134	0	0	6	3	15	184	16626	34276	143710	3717530
52	4495	34	0	0	2	1308	110	0	0	6	3	15	160	16786	34278	143720	3579828
53	5937	230	0	0	8	1229	545	0	0	27	15	36	628	17414	34286	143750	4934892
54	3926	89	0	0	6	668	254	0	0	16	9	25	320	17734	34292	143764	2823037
55	5027	96	0	0	2	1308	261	0	0	6	3	15	311	18045	34294	143771	3679643
56	5427	121	0	0	0	1229	333	0	0	18	9	27	401	18446	34294	143793	4156424
57	5343	80	0	0	5	1310	230	0	0	6	3	15	280	18726	34299	143812	3892316
58	5401	53	0	0	2	1310	167	0	0	18	9	27	235	18961	34301	143824	4122446
59	3116	21	0	0	1	1308	71	0	0	0	0	0	87	19048	34302	143833	2236778
60	4237	43	0	0	3	1310	134	0	0	6	3	15	184	19232	34305	143844	2919890
61	4678	53	0	0	1	792	159	0	0	12	6	21	218	19450	34306	143859	3337405
62	4855	276	0	0	2	536	638	0	0	5	3	14	687	20137	34308	143879	3393657
63	5383	160	0	0	2	1296	381	0	0	18	9	27	449	20586	34310	143898	4192671
64	5338	64	0	0	2	1310	188	0	0	12	6	21	247	20833	34312	143919	4091428
65	5746	97	0	0	4	959	276	0	0	24	12	33	353	21186	34316	143945	4506293
66	4340	64	0	0	1	1478	191	0	0	12	6	21	250	21436	34317	143964	3238409
67	6055	160	0	0	3	1308	399	0	0	18	9	27	467	21903	34320	143997	4715785
68	5057	47	0	0	9	1310	143	0	0	12	6	21	202	22105	34329	144011	3527250
69	5623	133	0	0	1	1312	337	0	0	41	21	50	440	22545	34330	144038	4179965
70	5799	213	0	0	7	1652	494	0	0	18	9	27	562	23107	34337	144059	4390309
71	5099	57	0	0	1	1652	170	0	0	6	3	15	220	23327	34338	144076	3612787
72	5016	82	0	0	2	1308	233	0	0	26	15	35	315	23642	34340	144104	3544829
73	5377	62	0	0	2	959	186	0	0	23	12	32	262	23904	34342	144122	4062818
74	4703	30	0	0	1	1310	99	0	0	0	0	0	115	24019	34343	144128	3342990
75	5283	78	0	0	2	959	221	0	0	12	6	21	280	24299	34345	144147	4195717
76	5521	157	0	0	3	1308	392	0	0	12	6	21	451	24750	34348	144170	4317500
77	5113	113	0	0	2	417	306	0	0	24	12	33	383	25133	34350	144200	3962573
78	5020	121	0	0	0	1296	323	0	0	30	15	39	409	25542	34350	144226	3653778
79	6012	248	0	0	6	1308	563	0	0	17	9	26	630	26172	34356	144253	4360702
80	5217	166	0	0	9	1229	417	0	0	24	12	33	494	26666	34365	144273	3641536
81	6466	191	0	0	11	1230	493	0	0	32	18	41	584	27250	34376	144304	4854274
82	1953	10	0	0	0	1652	38	0	0	0	0	0	54	27304	34376	144308	1633631
83	5253	81	0	0	4	608	239	0	0	30	15	39	325	27629	34380	144333	3944740
84	6637	189	0	0	10	1296	481	0	0	24	12	33	558	28187	34390	144366	5042097
85	5142	95	0	0	0	1308	265	0	0	6	3	15	315	28502	34390	144394	3659761
86	3032	59	0	0	1	668	178	0	0	30	15	39	264	28766	34391	144406	2145016
87	4929	38	0	0	1	1308	122	0	0	0	0	0	138	28904	34392	144418	3561195
88	4923	34	0	0	1	1296	110	0	0	11	6	20	168	29072	34393	144432	3556735
89	4381	29	0	0	2	1296	96	0	0	0	0	0	112	29184	34395	144436	3272510
90	4958	63	0	0	4	1310	193	0	0	6	3	15	243	29427	34399	144446	3462000
91	4439	41	0	0	2	1034	131	0	0	0	0	0	147	29574	34401	144458	3523889
92	4910	78	0	0	1	1279	221	0	0	6	3	15	271	29845	34402	144476	3489739
93	4579	55	0	0	3	1308	170	0	0	0	0	0	186	30031	34405	144492	3220583
94	4633	48	0	0	1	1652	150	0	0	0	0	0	166	30197	34406	144503	3249127
95	5880	94	0	0	6	2197	271	0	0	60	30	69	402	30599	34412	144531	4333153
96	4479	87	0	0	2	959	245	0	0	18	9	27	313	30912	34414	144554	3517502
97	5063	138	0	0	0	2197	340	0	0	70	36	70	478	31390	34414	144578	3547715
98	4513	102	0	0	3	2197	295	0	0	6	3	15	345	31735	34417	144594	3179718
99	5502	163	0	0	35	410	436	0	0	27	15	36	519	32254	34452	144616	3859630
100	4817	102	0	0	4	1230	298	0	0	53	27	62	419	32673	34456	144641	3433235
101	4137	49	0	0	1	1296	154	0	0	12	6	21	213	32886	34457	144657	3071612
102	4864	39	0	0	2	2197	123	0	0	12	6	21	182	33068	34459	144668	3525755
103	6245	592	0	0	2	959	1212	0	0	17	9	26	1279	34347	34461	144693	5110665
104	4833	50	0	0	2	2197	157	0	0	0	0	0	173	34520	34463	144703	3463474
105	5027	56	0	0	1	668	175	0	0	18	9	27	243	34763	34464	144724	3540727
106	4571	35	0	0	1	2197	111	0	0	6	3	15	161	34924	34465	144729	3244423
107	4823	51	0	0	0	1296	151	0	0	0	0	0	167	35091	34465	144740	3662862
108	5548	106	0	0	4	1296	295	0	0	36	18	45	390	35481	34469	144756	4307409
109	5560	64	0	0	2	2197	185	0	0	24	12	33	262	35743	34471	144769	4136316
110	3883	43	0	0	1	1310	138	0	0	5	3	14	187	35930	34472	144780	2776774
111	4716	100	0	0	0	1652	282	0	0	6	3	15	332	36262	34472	144801	3350372
112	4470	79	0	0	4	2197	204	0	0	5	3	14	253	36515	34476	144809	3439509
113	5923	185	0	0	5	1280	450	0	0	17	9	26	517	37032	34481	144835	4692909
114	3580	58	0	0	2	1652	178	0	0	6	3	15	228	37260	34483	144851	2637227
115	11	8	0	0	0	4	32	0	0	0	0	0	48	37308	34483	144853	721
116	3283	87	0	0	1	615	251	0	0	43	24	52	359	37667	34484	144880	2409740
117	3388	76	0	0	8	939	216	0	0	12	6	21	275	37942	34492	144897	2524132
118	4521	46	0	0	0	2197	143	0	0	5	3	14	192	38134	34492	144902	3294168
119	5056	62	0	0	1	555	194	0	0	12	6	21	253	38387	34493	144921	3798949
120	5283	123	0	0	4	2118	341	0	0	24	12	33	418	38805	34497	144942	3950463
121	4201	73	0	0	40	1280	201	0	0	0	0	0	217	39022	34537	144955	3063978
122	3912	67	0	0	1	1478	205	0	0	15	9	24	270	39292	34538	144971	2856661
123	6031	275	0	0	3	1231	626	0	0	52	27	61	746	40038	34541	145012	5042232
124	5858	136	0	0	1	1205	349	0	0	17	9	26	416	40454	34542	145040	4617071
125	2861	35	0	0	0	2197	114	0	0	24	12	33	191	40645	34542	145058	2072293
126	3559	96	0	0	2	1280	268	0	0	6	3	15	318	40963	34544	145075	2568070
127	5852	527	0	0	9	939	1131	0	0	35	18	44	1225	42188	34553	145114	4567340
128	5133	150	0	0	23	668	410	0	0	35	18	44	504	42692	34576	145138	3953489
129	2507	54	0	0	0	673	163	0	0	132	66	111	372	43064	34576	145172	1955182
130	2040	41	0	0	1	678	131	0	0	24	12	33	208	43272	34577	145189	1647896
131	2940	249	0	0	2	835	436	0	0	18	9	27	504	43776	34579	145205	2236250
132	3519	131	0	0	4	665	320	0	0	6	3	15	370	44146	34583	145226	2592430
133	2060	24	0	0	0	939	81	0	0	0	0	0	97	44243	34583	145235	1743135
134	2598	49	0	0	1	678	156	0	0	12	6	21	215	44458	34584	145246	2022935
135	2698	169	0	0	6	287	440	0	0	168	120	156	748	45206	34590	145318	2052713
136	2537	61	0	0	0	1478	180	0	0	0	0	0	196	45402	34590	145324	1976810
137	3281	60	0	0	5	1478	179	0	0	6	3	15	229	45631	34595	145333	2369123
138	2410	42	0	0	3	1478	120	0	0	12	6	21	179	45810	34598	145341	1856761
139	2642	89	0	0	0	1213	214	0	0	0	0	0	230	46040	34598	145347	2076382
140	2638	39	0	0	0	2118	110	0	0	6	3	15	160	46200	34598	145356	1927755
141	2175	14	0	0	0	2118	51	0	0	0	0	0	67	46267	34598	145360	1758655
142	2578	56	0	0	3	444	168	0	0	12	6	21	227	46494	34601	145373	1962999
143	3147	53	0	0	1	2118	160	0	0	12	6	21	219	46713	34602	145383	2301864
144	5546	380	0	0	3	2118	859	0	0	27	15	36	942	47655	34605	145429	4466077
145	3775	157	0	0	5	853	403	0	0	456	228	305	968	48623	34610	145524	2786441
146	5157	183	0	0	19	1279	466	0	0	10	6	19	523	49146	34629	145552	4042831
147	3238	100	0	0	5	201	299	0	0	30	15	39	385	49531	34634	145574	2341831
148	6941	388	0	0	14	939	910	0	0	78	39	87	1068	50599	34648	145628	5338346
149	4635	51	0	0	5	1639	161	0	0	6	3	15	211	50810	34653	145636	3345845
150	4426	84	0	0	3	440	239	0	0	36	18	45	334	51144	34656	145664	3227030
151	4624	136	0	0	1	2118	348	0	0	5	3	14	397	51541	34657	145682	3603408
152	2771	44	0	0	2	2118	138	0	0	12	6	21	197	51738	34659	145689	2002332
153	4896	139	0	0	0	939	383	0	0	70	36	75	526	52264	34659	145722	3593765
154	4444	132	0	0	6	669	366	0	0	24	12	33	443	52707	34665	145753	3270740
155	4202	118	0	0	6	1279	335	0	0	30	15	39	421	53128	34671	145767	3103707
156	3163	25	0	0	1	2197	84	0	0	12	6	21	143	53271	34672	145779	2318958
157	3177	37	0	0	0	2197	114	0	0	6	3	15	164	53435	34672	145784	2324474
158	3977	76	0	0	3	2197	214	0	0	12	6	21	273	53708	34675	145807	2859602
159	3810	71	0	0	1	1279	204	0	0	24	12	33	281	53989	34676	145823	2745241
160	7148	262	0	0	9	1298	642	0	0	138	72	133	879	54868	34685	145886	5268477
161	5544	96	0	0	6	2118	279	0	0	23	12	32	355	55223	34691	145912	3901061
162	7307	186	0	0	5	2118	479	0	0	72	36	81	628	55851	34696	145967	5648936
163	6259	201	0	0	4	2118	476	0	0	11	6	20	534	56385	34700	145999	4647243
164	7060	231	0	0	6	2118	584	0	0	58	30	67	713	57098	34706	146049	5384149
165	5259	131	0	0	10	784	369	0	0	40	21	49	471	57569	34716	146084	3757918
166	5976	146	0	0	4	1279	400	0	0	66	33	75	540	58109	34720	146126	4255061
167	6188	163	0	0	12	1279	435	0	0	17	9	26	502	58611	34732	146145	4422706
168	4728	80	0	0	5	784	233	0	0	24	12	33	310	58921	34737	146162	3665093
169	7758	252	0	0	7	1280	629	0	0	36	18	45	724	59645	34744	146202	6169510
170	7012	270	0	0	6	2197	650	0	0	87	45	96	823	60468	34750	146260	5098688
171	6177	175	0	0	7	496	455	0	0	24	12	33	532	61000	34757	146294	4376041
172	5921	107	0	0	2	2118	297	0	0	18	9	27	365	61365	34759	146312	4191428
173	6430	183	0	0	3	2197	475	0	0	50	27	59	593	61958	34762	146346	4459507
