tu	regions	root_tok	new_lines	new_regions	new_blocks	deepest	root_z3	line_def	region_def	block_def	missing	fill_z3	total_z	cum_z	blocks	pairs	srcbytes
0	9351	9351	87207	9075	4	0	18242	4308133	544658	0	18969	1136959	1174202	1174202	4	9252	7069925
1	4603	4601	563	616	2	2	8304	32391	8970	8	1850	11163	21349	1195551	6	10147	4103275
2	10039	10004	1005	1070	9	2	19928	67193	14470	4	3211	19831	43002	1238553	15	11580	7176133
3	7303	7253	425	585	6	4	13948	26108	11277	22	1761	11248	26989	1265542	21	12468	6224340
4	15876	15781	5200	6151	7	5	33684	423803	61545	14	18458	80769	132943	1398485	28	19675	8166516
5	8042	7955	706	1101	2	5	15684	61324	10301	19	3308	11694	30718	1429203	30	21091	6348398
6	13282	13161	5040	3684	3	5	27470	313282	44953	6	11054	74351	112907	1542110	33	25599	7789896
7	3664	3623	240	386	2598	5	6592	19421	3196	3	1159	4054	11837	1553947	2631	26097	3233616
8	6717	5285	745	938	777	5	10868	58539	9730	5356	5505	18833	35238	1589185	3408	28819	5851842
9	7347	5488	504	572	1469	5	11262	40428	5500	1659	2541	10107	23942	1613127	4877	30095	6238873
10	3567	2092	137	301	6	5	4124	12775	2542	96	951	2684	7791	1620918	4883	30621	3218884
11	8231	5621	949	1332	905	5	11955	82335	13388	3011	5498	19418	36903	1657821	5788	33168	6381050
12	6153	3669	375	580	29	5	7590	32636	4818	363	1918	6543	16083	1673904	5817	34093	5611209
13	12644	9506	2020	3069	93	5	20747	180044	27861	1901	10153	32753	63685	1737589	5910	38469	7574081
14	11889	8690	4143	2488	201	6	18897	292744	33537	276	7600	65838	92367	1829956	6111	41508	7652092
15	145	85	18	19	36	4	178	1064	353	60	87	657	954	1830910	6147	41556	24011
16	145	67	8	6	0	5	160	748	49	54	54	270	516	1831426	6147	41586	24039
17	8008	4828	740	1126	1064	6	10320	64582	9278	713	3700	11516	25568	1856994	7211	43244	6349276
18	8826	5006	664	525	247	6	10619	44848	7162	2295	2723	14606	27980	1884974	7458	44625	6803954
19	11424	7412	1672	1731	1303	6	16119	123169	17240	686	5538	26708	48397	1933371	8761	47085	7471485
20	146	68	8	7	0	5	163	543	44	0	21	204	420	1933791	8761	47093	23828
21	5460	2910	668	1156	175	6	5446	67576	9083	360	3647	9816	18941	1952732	8936	48802	3789287
22	7780	3644	968	833	483	6	7788	65919	9158	1001	3086	16234	27140	1979872	9419	50274	6342375
23	9028	4994	1419	2202	147	6	10970	104310	17952	1074	7384	22533	40919	2020791	9566	53444	6258057
24	4501	2294	680	992	25	8	4341	60072	8307	341	3174	10410	17957	2038748	9591	54865	3474858
25	9506	4477	729	733	930	9	9674	57777	8160	2193	3625	14667	27998	2066746	10521	56405	7039799
26	3351	1113	78	95	452	9	2262	6324	848	79	338	1637	4269	2071015	10973	56572	3303754
27	3532	1179	200	373	74	9	2377	19736	2924	974	1848	3689	7946	2078961	11047	57390	3072809
28	14064	8231	3080	4657	367	9	18280	278257	39806	2283	15557	49400	83269	2162230	11414	63352	7792239
29	7590	2593	354	674	52	9	5454	28590	5636	844	2625	6289	14400	2176630	11466	64560	6254866
30	7647	2589	477	777	96	9	5769	44083	6579	178	2456	7732	15989	2192619	11562	65642	6287332
31	4961	2166	879	1065	18	9	4705	60977	9343	300	3370	12462	20569	2213188	11580	67190	4536210
32	16730	10676	4066	6608	216	16	23788	345834	55633	299	20025	60391	104236	2317424	11796	75165	8107854
33	10152	4100	818	1346	295	17	9237	69509	10995	269	4226	13462	26957	2344381	12091	76861	7076256
34	5427	1323	170	233	276	17	2983	17246	2040	838	1188	4174	8377	2352758	12367	77427	5487586
35	12778	6859	2560	3884	213	17	15191	218003	33820	1237	12371	39238	66832	2419590	12580	82787	7389537
36	9732	3210	903	821	84	17	7136	70102	8386	589	2817	15509	25494	2445084	12664	83964	7130980
37	11049	4522	1916	1861	130	17	10224	135707	19591	456	5880	28862	44998	2490082	12794	86563	7325119
38	19957	13778	5173	9448	491	17	30846	473988	80697	597	28717	75468	135063	2625145	13285	99028	8429800
39	16679	9704	3799	6519	99	17	19073	365583	53223	1801	20550	57809	97464	2722609	13384	107241	8200336
40	5455	1167	294	342	45	23	2625	31615	3177	137	1101	5424	9182	2731791	13429	107690	5437100
41	7473	1778	560	624	88	23	3746	36751	5944	278	2032	9378	15188	2746979	13517	108636	6260569
42	10828	4997	1878	3129	147	23	11371	182676	26135	523	9657	27586	48646	2795625	13664	112782	6811262
43	13094	5913	2732	3418	160	32	12977	209214	30905	700	10629	42406	66044	2861669	13824	117180	7622579
44	9742	3903	2096	2511	76	32	7537	161401	22109	201	7644	29720	44933	2906602	13900	120309	6603791
45	5354	905	955	240	92	32	2063	47391	7021	239	863	15694	18652	2925254	13992	120727	5641210
46	12248	5028	1679	2918	422	32	11350	141766	24243	819	9182	27404	47968	2973222	14414	124309	7504302
47	4101	848	270	291	18	32	1703	16074	2509	111	932	4537	7204	2980426	14432	124784	3837985
48	9133	2541	746	1157	85	32	5650	68247	10036	611	3800	12412	21894	3002320	14517	126426	6818735
49	10169	2602	589	1067	121	32	5728	52119	8517	1434	3930	10704	20394	3022714	14638	128007	7176383
50	145	53	6	6	1	23	140	528	46	5	21	174	367	3023081	14639	128022	23896
51	15089	7416	3330	5049	92	40	14592	287091	42206	446	15375	48258	78257	3101338	14731	134229	7933729
52	8460	2119	533	761	78	64	4477	47863	7253	389	2487	9688	16684	3118022	14809	135366	6545807
53	25859	18165	7947	13994	54	64	36015	668301	112922	393	42192	115783	194022	3312044	14863	152080	9246475
54	15078	7390	2995	5295	152	64	16017	277655	44037	263	16027	45959	78035	3390079	15015	158410	7889281
55	10920	3178	955	1745	201	64	6973	89496	14290	493	5484	15307	27796	3417875	15216	160641	7291990
56	9018	1130	65	133	75	64	2454	6634	1097	590	699	2052	5237	3423112	15291	160936	7018789
57	13285	5394	2102	3579	48	64	10582	195002	28942	297	10890	32218	53722	3476834	15339	165398	7675843
58	14973	6964	3126	5063	234	64	13325	282569	42402	260	15336	46530	75223	3552057	15573	171414	7893651
59	13765	5712	2363	3566	67	64	12683	199824	29782	834	11121	36514	60350	3612407	15640	176088	7760129
60	21050	12974	5424	9433	374	128	24753	495328	75542	356	28485	77657	130927	3743334	16014	187872	8829865
61	9126	988	137	222	41	128	2168	10900	1863	174	756	2674	5630	3748964	16055	188196	7029464
