tu	regions	root_tok	new_lines	new_regions	new_blocks	deepest	root_z3	line_def	region_def	block_def	missing	fill_z3	total_z	cum_z	blocks	pairs	srcbytes
0	9351	600	0	0	9	1458	1222	0	0	29	15	38	1307	1307	24347	795545	7069925
1	4603	712	0	0	7	315	1224	0	0	34	18	43	1317	2624	24354	795578	4103275
2	10039	1405	0	0	20	708	2505	0	0	187	95	179	2811	5435	24374	795675	7176133
3	7303	678	0	0	5	472	1189	0	0	30	15	39	1275	6710	24379	795711	6224340
4	15876	7205	0	0	58	1616	13406	0	0	29	15	38	13491	20201	24437	795791	8166516
5	8042	1346	0	0	18	506	2422	0	0	29	15	38	2507	22708	24455	795855	6348398
6	13282	4211	0	0	19	836	7292	0	0	46	24	55	7403	30111	24474	795892	7789896
7	3664	542	0	0	6	310	973	0	0	22	12	31	1048	31159	24480	795932	3233616
8	6717	1232	0	0	7	707	2108	0	0	36	18	45	2203	33362	24487	795988	5851842
9	7347	773	0	0	4	406	1372	0	0	47	24	56	1484	34846	24491	796037	6238873
10	3567	451	0	0	3	310	814	0	0	33	18	42	906	35752	24494	796061	3218884
11	8231	1732	0	0	7	571	3002	0	0	30	15	39	3088	38840	24501	796109	6381050
12	6153	859	0	0	9	734	1583	0	0	60	33	69	1717	40557	24510	796149	5611209
13	12644	3741	0	0	12	836	6308	0	0	22	12	31	6383	46940	24522	796197	7574081
14	11889	2712	0	0	8	750	4817	0	0	95	48	104	5001	51941	24530	796250	7652092
15	145	14	0	0	1	43	51	0	0	11	6	20	109	52050	24531	796256	24011
16	145	13	0	0	0	43	48	0	0	6	3	15	98	52148	24531	796262	24039
17	8008	1399	0	0	3	525	2583	0	0	41	21	50	2686	54834	24534	796304	6349276
18	8826	755	0	0	20	525	1578	0	0	83	42	92	1744	56578	24554	796371	6803954
19	11424	2275	0	0	7	836	3844	0	0	53	27	62	3965	60543	24561	796416	7471485
20	146	14	0	0	0	43	51	0	0	0	0	0	67	60610	24561	796420	23828
21	5460	1557	0	0	4	326	2422	0	0	6	3	15	2472	63082	24565	796434	3789287
22	7780	1186	0	0	12	406	2060	0	0	42	21	51	2164	65246	24577	796471	6342375
23	9028	2969	0	0	10	406	4921	0	0	6	3	15	4971	70217	24587	796505	6258057
24	4501	1352	0	0	0	571	2211	0	0	112	57	111	2411	72628	24587	796545	3474858
25	9506	926	0	0	2	1616	1694	0	0	30	15	39	1780	74408	24589	796583	7039799
26	3351	193	0	0	9	571	447	0	0	24	12	33	524	74932	24598	796595	3303754
