tu	regions	root_tok	new_lines	new_regions	new_blocks	deepest	root_z3	line_def	region_def	block_def	missing	fill_z3	total_z	cum_z	blocks	pairs	srcbytes
0	9351	575	1	1	2	1270	1168	40	5	34	21	88	1309	1309	30356	811261	7069965
1	4603	671	0	0	4	333	1131	0	0	6	3	15	1181	2490	30360	811276	4103315
2	10039	1330	0	0	8	894	2344	0	0	124	63	123	2562	5052	30368	811323	7176173
3	7303	646	0	0	7	1623	1107	0	0	35	18	44	1201	6253	30375	811351	6224380
4	15876	7124	0	0	14	923	13291	0	0	12	6	21	13350	19603	30389	811388	8166556
5	8042	1279	0	0	6	1265	2258	0	0	30	15	39	2344	21947	30395	811423	6348438
6	13282	4078	0	0	7	894	6892	0	0	24	12	33	6969	28916	30402	811458	7789936
7	3664	516	0	0	3	316	913	0	0	21	12	30	987	29903	30405	811478	3233656
8	6717	1205	0	0	2	799	2067	0	0	22	12	31	2142	32045	30407	811510	5851882
9	7347	736	0	0	7	582	1306	0	0	18	9	27	1374	33419	30414	811532	6238913
10	3567	430	0	0	2	316	775	0	0	0	0	0	791	34210	30416	811536	3218924
11	8231	1690	0	0	8	588	2887	0	0	12	6	21	2946	37156	30424	811565	6381090
12	6153	805	0	0	0	734	1419	0	0	24	12	33	1496	38652	30424	811582	5611249
13	12644	3692	0	0	9	894	6147	0	0	36	18	45	6242	44894	30433	811612	7574121
14	11889	2613	0	0	11	734	4562	0	0	258	129	209	4932	49826	30444	811682	7652132
15	145	11	0	0	2	123	38	0	0	6	3	15	88	49914	30446	811684	24051
16	145	10	0	0	0	123	37	0	0	4	3	13	85	49999	30446	811687	24079
17	8008	1363	0	0	3	641	2459	0	0	21	12	30	2533	52532	30449	811706	6349316
18	8826	630	0	0	6	619	1312	0	0	58	30	67	1441	53973	30455	811748	6803994
19	11424	2209	0	0	4	1265	3648	0	0	12	6	21	3707	57680	30459	811773	7471525
20	146	11	0	0	0	123	40	0	0	0	0	0	56	57736	30459	811775	23868
21	5460	1538	0	0	2	641	2362	0	0	0	0	0	2378	60114	30461	811784	3789327
22	7780	1105	0	0	8	727	1854	0	0	41	21	50	1957	62071	30469	811811	6342415
23	9028	2910	0	0	6	727	4758	0	0	18	9	27	4826	66897	30475	811843	6258097
24	4501	1324	0	0	3	571	2142	0	0	40	21	49	2244	69141	30478	811864	3474898
25	9506	905	0	0	5	866	1647	0	0	30	15	39	1733	70874	30483	811889	7039839
26	3351	161	0	0	4	428	373	0	0	24	12	33	450	71324	30487	811905	3303794
27	3532	527	0	0	2	568	858	0	0	6	3	15	908	72232	30489	811911	3072849
28	14064	5305	0	0	25	1517	9677	0	0	11	6	20	9735	81967	30514	811943	7792279
29	7590	947	0	0	4	734	1582	0	0	0	0	0	1598	83565	30518	811958	6254906
30	7647	965	0	0	1	1265	1692	0	0	6	3	15	1742	85307	30519	811973	6287372
31	4961	1406	0	0	2	1623	2232	0	0	6	3	15	2282	87589	30521	811984	4536250
32	16730	7856	0	0	1	1623	13915	0	0	24	12	33	13992	101581	30522	812004	8107894
33	10152	1578	0	0	3	1517	2819	0	0	30	15	39	2905	104486	30525	812027	7076296
34	5427	369	0	0	5	922	776	0	0	40	21	49	878	105364	30530	812053	5487626
35	12778	5030	0	0	0	1623	8161	0	0	18	9	27	8229	113593	30530	812078	7389577
36	9732	1028	0	0	5	1623	1841	0	0	0	0	0	1857	115450	30535	812107	7131020
37	11049	2408	0	0	1	922	3905	0	0	33	18	42	3997	119447	30536	812140	7325159
38	19957	12309	0	0	1	1517	20346	0	0	24	12	33	20423	139870	30537	812166	8429840
39	16679	7821	0	0	2	1517	13740	0	0	6	3	15	13790	153660	30539	812181	8200376
40	5455	464	0	0	15	922	965	0	0	12	6	21	1024	154684	30554	812190	5437140
41	7473	821	0	0	3	734	1469	0	0	23	12	32	1545	156229	30557	812214	6260609
42	10828	4024	0	0	9	621	6780	0	0	47	24	56	6892	163121	30566	812244	6811302
43	13094	4224	0	0	2	1517	7017	0	0	18	9	27	7085	170206	30568	812259	7622619
44	9742	2987	0	0	1	1623	5067	0	0	12	6	21	5126	175332	30569	812275	6603831
45	5354	331	0	0	2	922	697	0	0	10	6	19	754	176086	30571	812292	5641250
46	12248	3385	0	0	3	1422	6214	0	0	18	9	27	6282	182368	30574	812318	7504342
47	4101	434	0	0	3	484	749	0	0	12	6	21	808	183176	30577	812328	3838025
48	9133	1434	0	0	4	1265	2510	0	0	42	21	51	2614	185790	30581	812355	6818775
49	10169	1307	0	0	0	1422	2236	0	0	12	6	21	2295	188085	30581	812367	7176423
50	145	9	0	0	0	123	36	0	0	0	0	0	52	188137	30581	812370	23936
51	15089	6086	0	0	3	1517	10863	0	0	24	12	33	10940	199077	30584	812403	7933769
52	8460	1029	0	0	7	1265	1772	0	0	18	9	27	1840	200917	30591	812428	6545847
53	25859	16604	0	0	9	1517	31182	0	0	18	9	27	31250	232167	30600	812449	9246515
54	15078	6237	0	0	4	1623	11145	0	0	60	30	69	11276	243443	30604	812491	7889321
55	10920	2111	0	0	6	1454	3684	0	0	24	12	33	3761	247204	30610	812507	7292030
56	9018	170	0	0	1	1517	367	0	0	6	3	15	417	247621	30611	812514	7018829
57	13285	4450	0	0	9	1623	7880	0	0	30	15	39	7966	255587	30620	812544	7675883
58	14973	5935	0	0	0	1422	10459	0	0	0	0	0	10475	266062	30620	812555	7893691
